"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",129,0.347242391370505,1.88353310004501,1.41969365346206e-07,7.09846826731031e-06,4.33380167898945e-06,635,"tags=29%, list=9%, signal=27%","Ccl24/Inhba/Timp1/Ifitm1/Adora2b/Ccl17/Ccl2/Sell/Met/Emp3/Ripk2/Il7r/Hbegf/Lif/Sgms2/Ccr7/Cd69/Slc31a2/Il18/Pik3r5/Osm/Tnfsf9/Cd14/Nod2/Mefv/Clec5a/Nfkbia/Pdpn/Tnfrsf1b/Il6/Slc7a2/Hif1a/Plaur/Ly6e/Il1b/Gch1/Slc28a2/Cdkn1a"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",69,0.356146908811964,1.76148922204551,0.000536375145710592,0.0067046893213824,0.00409338926989662,610,"tags=33%, list=9%, signal=31%","Cxcl3/Inhba/Vcan/Cxcl2/Timp1/Capg/Thbs1/Spp1/Cxcl1/Vim/Fas/Emp3/Tgm2/Cd44/Sdc1/Nt5e/Notch2/Id2/Il6/Tgfbi/Plaur/Basp1/Lrp1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",80,-0.493313798844444,-1.60328515164967,0.000330681631874394,0.0067046893213824,0.00409338926989662,1420,"tags=40%, list=20%, signal=32%","Cnp/Cd74/Lpar6/Parp9/Uba7/Irf7/Stat2/Nmi/Bst2/Gbp3/Epsti1/Lap3/Dhx58/Cxcl10/Adar/Ifih1/Tmem140/Parp14/Eif2ak2/Rsad2/Isg15/Rtp4/Samd9l/Pnpt1/Trim14/Lgals3bp/Il15/Tdrd7/Herc6/Ddx60/Ifi44/Ifit2"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",127,0.267079212494808,1.43712738423409,0.000533882968136718,0.0067046893213824,0.00409338926989662,651,"tags=22%, list=9%, signal=20%","Cxcl3/Mmp8/S100a9/Cxcl2/Timp1/Dgkg/Apoc1/F7/Cxcl1/F10/Zeb1/Dusp5/Ehd1/Pik3r5/Itgam/Jak2/Lgals3/Cebpb/Fyn/Gnb4/Il6/Plaur/Pim1/Calm1/Dpp4/Lrp1/Dock10/Atox1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",129,0.26833108350177,1.45549762962914,0.000804080200429708,0.00804080200429708,0.00490912122367611,929,"tags=29%, list=13%, signal=26%","Inhba/H2-Q7/Timp1/Capg/Ccl2/Fas/Nos2/Ripk2/Lif/Irf4/Fgr/Tnf/Srgn/Il18/Mmp9/Ly75/Itgb2/Jak2/Bcl3/H2-Oa/Il6/Cd1d1/Hif1a/Cfp/Rps19/Il1b/Bcl10/Map4k1/Nlrp3/Tgfb1/Eif3j2/Degs1/Rpl9/Pf4/Ccr1/Eif5a/Ncf4/Rps9"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",133,-0.433140923023897,-1.45560177324364,0.00133968599854792,0.0111640499878994,0.00681594630840171,2196,"tags=44%, list=31%, signal=31%","Dync1h1/Rasa2/Incenp/Rabgap1/Septin9/Smc4/Actn4/Tubgcp2/Kif5b/Lrpprc/Itsn1/Prex1/Bcr/Kif3b/Top2a/Vcl/Nck1/Nf1/Cyth2/Arhgef7/Trio/Sptbn1/Ckap5/Arhgef11/Clip1/Tsc1/Sptan1/Marcks/Fscn1/Tlk1/Pdlim5/Sos1/Cdk5rap2/Mid1/Abl1/Rapgef5/Smc3/Ssh2/Cep250/Stk38l/Taok2/Cd2ap/Pcm1/Dynll2/Rasa1/Arhgef3/Rfc1/Cdk1/Map1s/Numa1/Wasl/Fgd6/Flnb/Ophn1/Dst/Fgd4/Arhgap5/Arhgef12"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",124,0.265944888141171,1.4529045414703,0.00161713461100126,0.0115509615071518,0.00705216597278744,463,"tags=23%, list=7%, signal=22%","Hopx/Plec/Glipr2/Capg/Spp1/Cish/Traf1/Sell/Lif/Irf4/Igf2r/Tgm2/Plin2/Uck2/Ikzf2/Il1r2/Tiam1/Cd44/Alcam/Nt5e/Ahnak/Rnh1/Smpdl3a/Il3ra/Socs2/Itgae/Bhlhe40/Ndrg1/Tnfrsf1b"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",34,-0.561139460350428,-1.65329070005868,0.00222599109603562,0.0123666172001979,0.00755014523801554,1388,"tags=41%, list=20%, signal=33%","Nf2/Topbp1/Vdac3/Zc3h14/Tle4/Pebp1/Ezh2/Mast2/Lpin1/Gmcl1/Hspa4l/Cdk1/Ide/Alox15"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",67,0.330570687374556,1.61499067654124,0.002052578160265,0.0123666172001979,0.00755014523801554,739,"tags=31%, list=10%, signal=28%","Cxcl3/Cxcl2/Cxcl1/Fas/Tnf/Il1r2/Cd44/Pik3r5/Cd14/Il3ra/Bak1/Tnfrsf1b/Il6/Csf2rb2/Cd9/Hmox1/Pim1/Il1b/Cd36/Tgfb1/Csf2ra"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",104,-0.441313504554521,-1.46078252582169,0.00252295892622868,0.0126147946311434,0.00770166409059282,3062,"tags=70%, list=43%, signal=41%","Ran/Myc/Ppm1d/Pold3/Jpt1/Birc5/Phf5a/Smc1a/Pole4/Rbbp7/Dut/Rad21/Syncrip/Mki67/Cnot9/Dctpp1/Pcna/Nop56/Naa38/Pa2g4/Usp1/Ctcf/Exosc8/Eif2s1/Rpa1/Smc6/Smc4/Orc2/Nup153/Ing3/Dck/Mcm5/Tubb5/Nudt21/Nasp/Prim2/Top2a/Tbrg4/Cks1b/Stmn1/Mcm3/Gspt1/Trp53/Rnaseh2a/Cse1l/Mcm6/Ssrp1/Prps1/Ilf3/Pnn/Rad50/Srsf1/Prkdc/Cdk4/Luc7l3/H2ax/Atad2/Rfc2/Xpo1/Nup205/Ipo7/Tmpo/Smc3/Nolc1/Ezh2/Prdx4/Ddx39a/Dnmt1/Rfc1/Cdk1/Paics/Pttg1/Pds5b"
