"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",55,-0.621781744127861,-2.49063862064596,2.11379503113293e-08,4.65034906849246e-07,4.00508532214661e-07,1063,"tags=49%, list=15%, signal=42%","Adam15/Adamtsl4/Egln1/Cst3/Timp1/Tgm2/Cstb/F10/Serpinb9/Plod1/Ctsd/Mmp19/Csta2/Egln3/Mmp8/Adam8/F13a1/Fam20a/F7/Serpinb6a/Ctsl/Slpi/Mmp12/Fam20c/Mmp9/Serpine1/Serpinb2"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",180,-0.383371626686637,-1.87621296837608,6.42569146613114e-07,7.06826061274425e-06,6.08749717844003e-06,1063,"tags=34%, list=15%, signal=30%","Adam15/Csf1/Adamtsl4/Srgn/Egln1/Cst3/Timp1/S100a10/Tgm2/Mfap1a/Cstb/Tgfb3/Clec4e/Mfge8/F10/Serpinb9/Fgf13/Plod1/Fn1/Lgals3/Ccl6/Anxa2/Ctsd/Cxcl2/Mmp19/Gdf15/Csta2/Egln3/Mmp8/Thbs1/Clec4d/Tnf/Vegfa/Adam8/Il1a/Plxdc1/F13a1/Ecm1/Il23a/Fam20a/F7/Lif/S100a9/Serpinb6a/Tnfsf9/Ctsl/Ints14/Slpi/Hbegf/Mmp12/S100a8/Fam20c/Cxcl1/Mmp9/Spp1/Ccn3/Ccl24/Pf4/Serpine1/Cxcl3/Inhba/Serpinb2"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",152,-0.396851622912801,-1.89928462402459,2.97888927231188e-06,2.18451879969538e-05,1.88140375093382e-05,464,"tags=35%, list=7%, signal=33%","Adam15/Csf1/Adamtsl4/Egln1/Cst3/Timp1/S100a10/Tgm2/Cstb/Tgfb3/Clec4e/F10/Serpinb9/Fgf13/Plod1/Lgals3/Ccl6/Anxa2/Ctsd/Cxcl2/Mmp19/Gdf15/Csta2/Egln3/Mmp8/Clec4d/Tnf/Vegfa/Adam8/Il1a/Plxdc1/F13a1/Il23a/Fam20a/F7/Lif/S100a9/Serpinb6a/Tnfsf9/Ctsl/Slpi/Hbegf/Mmp12/S100a8/Fam20c/Cxcl1/Mmp9/Ccl24/Pf4/Serpine1/Cxcl3/Inhba/Serpinb2"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",60,-0.398291622083802,-1.62059012871101,0.00468185086717809,0.0257501797694795,0.022177188318212,324,"tags=27%, list=5%, signal=26%","Cxcl2/Gdf15/Tnf/Vegfa/Il1a/Il23a/Lif/S100a9/Tnfsf9/Hbegf/S100a8/Cxcl1/Ccl24/Pf4/Cxcl3/Inhba"
"SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES",10,0.554681719798753,1.28084086591997,0.183123877917415,0.678855547801814,0.584660280403477,377,"tags=20%, list=5%, signal=19%","Ccnd1/Cdk4"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",11,0.496829693812548,1.17595455651413,0.275906946477957,0.678855547801814,0.584660280403477,1291,"tags=45%, list=18%, signal=37%","Casp3/Parp1/Srebf2/Casp7/Srebf1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",22,0.415867286742049,1.1686915350561,0.259198324857912,0.678855547801814,0.584660280403477,1579,"tags=41%, list=22%, signal=32%","Bcr/Rps6ka1/Vav2/Vav1/Hras/Jun/Shc1/Fos/Lyn"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",25,-0.338669133273076,-1.12594731391367,0.280881440099317,0.678855547801814,0.584660280403477,902,"tags=32%, list=13%, signal=28%","Mfap1a/Mfge8/Fn1/Thbs1/Ecm1/Ints14/Spp1/Ccn3"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",22,-0.344725471993287,-1.10218114738797,0.310916767189385,0.678855547801814,0.584660280403477,1986,"tags=55%, list=28%, signal=39%","Nfkbie/Mapk1/Map2k4/Mapk8ip3/Map2k7/Mapk9/Nfkbib/Nfkb1/Pik3ca/Mapkapk5/Nfkbia/Nfkb2"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",40,0.343673860266159,1.08952366209248,0.339427773900907,0.678855547801814,0.584660280403477,2523,"tags=52%, list=36%, signal=34%","Bcl2/Cd81/Bcr/Csk/Vav1/Bad/Inpp5d/Shc1/Pik3cd/Ptprc/Lyn/Map4k1/Itpr1/Flot2/Sos1/Blnk/Itpr2/Flot1/Btk/Ppp3ca/Mapk3"
