"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",79,0.738717813916537,2.65025470902121,5.71471507517826e-17,2.85735753758913e-15,1.92495665690215e-15,610,"tags=49%, list=9%, signal=46%","Ifi44/Irf7/Ifit2/Isg15/Rtp4/Ddx60/Oas1a/Dhx58/Herc6/Samd9l/Cxcl10/Bst2/Cnp/Lgals3bp/Eif2ak2/Rsad2/Ifi35/Helz2/Uba7/Nmi/Tdrd7/Sell/Trim14/Il15/Gbp2/Parp14/Epsti1/Stat2/Parp12/Oasl1/Gbp3/Ly6e/Ifih1/Sp110/Ifitm3/Trim12c/Trafd1/Parp9/Psme1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",158,0.602476377685861,2.35763694060763,6.48284444008154e-15,1.62071111002039e-13,1.09184748464531e-13,1104,"tags=39%, list=16%, signal=34%","Ifi44/Irf7/Ifit2/Isg15/Rtp4/Ddx60/Xaf1/Dhx58/Herc6/Samd9l/Cxcl10/Rigi/Zbp1/Bst2/Rnf213/Cfb/Lgals3bp/Eif2ak2/Rsad2/Ifi35/Helz2/Nmi/Bank1/Tdrd7/Trim14/Fcgr1/Casp3/Il15/Parp14/Epsti1/Stat2/Parp12/Oasl1/Gbp3/Ly6e/Ifih1/Sp110/Ifitm3/Il15ra/Tapbp/Znfx1/Psmb10/Trafd1/Gbp8/Marchf1/Samhd1/Psme1/Ccl2/Ogfr/Stat1/Pnpt1/Irf2/Wars1/Trim26/Ptpn6/Ccl7/Peli1/Irf9/Socs1/Ciita/Myd88/Casp7"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",104,0.543725649448499,2.02501452367078,5.44716530086491e-07,9.07860883477484e-06,6.11611542553253e-06,1725,"tags=51%, list=24%, signal=39%","Pttg1/Cdk1/Ddx39a/Nolc1/Dck/Pds5b/Ezh2/Cks1b/Tmpo/Rfc1/Top2a/Smc3/Prdx4/Birc5/Cdk4/Dnmt1/Nudt21/Ranbp1/H2ax/Mcm5/Mcm3/Ing3/Dctpp1/Jpt1/Ssrp1/Paics/Cse1l/Lyar/Nme1/Naa38/Nup205/Pa2g4/Eif2s1/Rfc2/Cdca3/Dut/Exosc8/Lbr/Nop56/Lig1/Nasp/Ran/Mcm6/Gspt1/Trp53/Ipo7/Pop7/Hnrnpd/Atad2/Srsf1/Nup107/Diaph3/Hmgb2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",179,0.459005206631306,1.81910252642228,7.40902118230628e-06,9.26127647788285e-05,6.23917573246844e-05,1614,"tags=44%, list=23%, signal=35%","Lsm2/Nolc1/Phb/Srm/Smarcc1/Iars/Psmd7/Tyms/Snrpa/Ddx18/Prdx4/Cct3/Cdk4/Impdh2/Lsm7/Tufm/Kars/Erh/Acp1/Snrpd1/Hspd1/Pole3/Ranbp1/Cbx3/Ywhaq/Ppm1g/Gnl3/Rsl1d1/Vdac3/Sf3a1/Nop16/Mcm5/Cct5/Hdac2/Ssbp1/Ncbp2/Tcp1/Cct4/Eif3j1/Ilf2/Mrpl9/Cyc1/Nme1/Snrpd3/Kpnb1/Psma4/Pa2g4/C1qbp/Eif2s1/Trim28/Nhp2/Eif2s2/Prdx3/Dut/Sf3b3/Psmc4/Hnrnpa3/Pabpc4/Hspe1/Hdgf/Ncbp1/Eif1ax/Ddx21/Nop56/Psma7/Cct7/Set/Rnps1/Prpf31/Clns1a/Snrpb2/Ran/Mcm6/Gspt1/Hnrnpu/Hnrnpd/Tfdp1/Eif3d/Ndufab1"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",122,-0.408040968106443,-1.89527121553609,1.62948057103519e-05,0.000162948057103519,0.000109775533206581,1224,"tags=39%, list=17%, signal=32%","Klhl24/Bhlhe40/Pnrc1/Casp6/Pgm1/Eno1/Gys1/Ilvbl/Ugp2/Hspa5/Tgm2/Ier3/Tpi1/Glrx/Tgfb3/Ddit3/Plin2/Btg1/Prdx5/Mxi1/Aldoc/Anxa2/Errfi1/Pdk1/Slc2a1/Adora2b/Aldoa/Ldha/Vegfa/Mt1/Mif/Gpi1/Ampd3/Gapdh/Pgk1/Ndrg1/Pfkl/Rora/Grhpr/Ero1a/Fam162a/Bnip3l/Mt2/Large1/Gbe1/Serpine1/Hmox1"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",34,0.665520303791783,2.04664209188165,2.61775120605279e-05,0.000218145933837733,0.000146961471216999,1301,"tags=59%, list=18%, signal=48%","Nolc1/Phb/Srm/Mrto4/Ddx18/Cdk4/Hspd1/Cbx3/Gnl3/Nop16/Mcm5/Prmt3/Mybbp1a/Nip7/Wdr43/Dctpp1/Pa2g4/Dusp2/Hspe1/Nop56"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",124,-0.36098837587859,-1.68399930965665,0.0001898943863014,0.00135638847358143,0.000913777497991698,992,"tags=26%, list=14%, signal=23%","Pik3ca/Timp1/Hspa5/Pik3r5/Prep/Gpd2/Usp16/F10/Ehd1/Dgkg/Fn1/Gnai3/Lgals3/Dpp4/Ctsd/Zeb1/Cxcl2/Olr1/Mmp8/Dusp5/F5/Apoc1/F7/S100a9/Ctsl/Mmp12/Hspa1a/Cxcl1/Cd36/Serpine1/Cxcl3/Serpinb2"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",60,-0.459171897865191,-1.87063366048469,0.000421726019709754,0.00263578762318596,0.00177568850404107,984,"tags=35%, list=14%, signal=30%","Timp1/Gng12/Prep/Furin/F10/Trf/Cd9/Fn1/Gsn/Dpp4/Olr1/Mmp8/Thbs1/Apoc1/Ctsl/Apoc2/Mmp9/Thbd/Pf4/Serpine1/Serpinb2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",67,-0.440260721963405,-1.83494703514318,0.00050097436230052,0.00278319090166955,0.00187499176533528,648,"tags=28%, list=9%, signal=26%","Plod1/Fn1/Notch2/Basp1/Cxcl2/Vim/Fas/Thbs1/Vegfa/Id2/Ecm1/Nt5e/Anpep/Cxcl1/Spp1/Pmp22/Serpine1/Cxcl3/Inhba"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",169,-0.325590249525867,-1.58412879103163,0.000868922839295193,0.00434461419647597,0.00292689798499434,804,"tags=24%, list=11%, signal=22%","Zc3h12a/Il6st/Slc2a6/Nfkbia/Rnf19b/Abca1/Ehd1/Btg1/Phlda1/Ptpre/Ripk2/Birc2/Eif1/Stat5a/Tnfaip2/Ninj1/Bcl3/Il7r/Cxcl2/Sqstm1/Olr1/Map2k3/Nfkb2/Tnf/Dusp5/Vegfa/Nr4a2/Id2/Il1a/Sod2/Ptgs2/Il23a/Tnfrsf9/Lif/Tnfsf9/Hbegf/Cxcl1/Serpine1/Cxcl3/Inhba/Serpinb2"
