"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",53,-0.601555739535015,-2.43595505511229,5.24793609461168e-08,1.15454594081457e-06,8.28621488622897e-07,834,"tags=53%, list=12%, signal=47%","Egln3/P4ha1/Adam17/F13a1/Adam10/Serpinb9/Sulf2/Adam15/Mmp19/Adam8/Adamdec1/Plod1/Mmp14/Ctsd/Ctsa/Tgm2/Mmp12/Plau/Serpine1/Timp1/Fam20a/Htra3/Mmp13/F7/Fam20c/Mmp9/Adam19/Serpinb2"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",179,-0.397825810913225,-1.99297232390295,2.34214942137309e-07,2.5763643635104e-06,1.84906533266297e-06,1038,"tags=35%, list=15%, signal=31%","Spp1/Il23a/Osm/Serpinb9/Cxcl1/Cxcl14/Tgfb1/Clec7a/Sulf2/Adam15/Mmp19/Gdf15/Il6/Csf1/Adam8/S100a9/Adamdec1/Plod1/Colec12/Mmp14/Vegfa/Igfbp4/Ctsd/Ctsa/Tgm2/Clec10a/Nrg1/Thbs1/Ccn3/Mmp12/Plau/Ints6l/Serpine1/Cxcl3/Timp1/Plxnc1/Fam20a/Hgf/Mgl2/Pf4/Htra3/Edil3/Tgfb3/Gas6/Ntng2/Mmp13/F7/Igf1/Lif/Ccl17/Plxdc2/Fam20c/Emilin1/Pgf/Fgf13/Fn1/Ccl24/Col14a1/Mmp9/Adam19/Ccl22/Ppbp/Serpinb2"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",151,-0.38574688260903,-1.8890589306235,2.78480258154451e-06,2.04218855979931e-05,1.46568556923395e-05,1006,"tags=34%, list=14%, signal=30%","Il23a/Osm/Serpinb9/Cxcl1/Cxcl14/Tgfb1/Clec7a/Sulf2/Adam15/Mmp19/Gdf15/Il6/Csf1/Adam8/S100a9/Adamdec1/Plod1/Colec12/Mmp14/Vegfa/Ctsd/Ctsa/Tgm2/Clec10a/Nrg1/Mmp12/Plau/Serpine1/Cxcl3/Timp1/Plxnc1/Fam20a/Hgf/Mgl2/Pf4/Htra3/Tgfb3/Mmp13/F7/Igf1/Lif/Ccl17/Plxdc2/Fam20c/Pgf/Fgf13/Ccl24/Mmp9/Adam19/Ccl22/Ppbp/Serpinb2"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",28,-0.53653109019929,-1.85436736807358,0.00234428562674756,0.0128935709471116,0.00925375905295089,413,"tags=36%, list=6%, signal=34%","Igfbp4/Thbs1/Ccn3/Ints6l/Edil3/Gas6/Ntng2/Emilin1/Fn1/Col14a1"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",25,-0.514422788394618,-1.72690045677656,0.0096,0.04224,0.0303157894736842,413,"tags=36%, list=6%, signal=34%","Igfbp4/Thbs1/Ccn3/Ints6l/Edil3/Gas6/Ntng2/Emilin1/Fn1"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.499652237567217,-1.63283884943285,0.0151892994785763,0.055694098088113,0.0399718407330955,3234,"tags=78%, list=46%, signal=42%","Mapkapk5/Dusp1/Traf5/Nfkbie/Mapk14/Mapk8/Map2k7/Mapk8ip3/Traf2/Mapk1/Nfkbia/Pik3cd/Nfkb2/Map2k4/Traf6/Traf3/Nfkb1/Pik3r1"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",62,-0.338939217974931,-1.4139385517062,0.0329207268896497,0.103465141653185,0.074257278698458,1006,"tags=37%, list=14%, signal=32%","Il23a/Osm/Cxcl1/Cxcl14/Tgfb1/Gdf15/Il6/Csf1/S100a9/Vegfa/Nrg1/Cxcl3/Hgf/Pf4/Tgfb3/Igf1/Lif/Ccl17/Pgf/Fgf13/Ccl24/Ccl22/Ppbp"
"SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES",10,0.567088412521852,1.38974739005956,0.115619047619048,0.317952380952381,0.228195488721805,346,"tags=20%, list=5%, signal=19%","Ccnd1/Cdk4"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",40,-0.324885268690594,-1.22401824570895,0.160147601476015,0.391471914719147,0.280960704343886,712,"tags=42%, list=10%, signal=38%","Pdpk1/Mapk1/Plcg2/Lyn/Ptprc/Pik3cd/Sos2/Grb2/Cd81/Syk/Nfatc2/Ppp3cc/Itpr2/Inpp5d/Nfatc1/Pik3r1/Blnk"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",11,0.484353692472073,1.21947682640972,0.229982964224872,0.505962521294719,0.363130996144535,584,"tags=27%, list=8%, signal=25%","Casp3/Srebf2/Srebf1"
