"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",80,0.813610080745091,3.22536915831644,9.05765569625571e-28,4.52882784812786e-26,2.86031232513338e-26,523,"tags=61%, list=7%, signal=57%","Isg15/Irf7/Ifi44/Ifit2/Rtp4/Samd9l/Gbp2/Nmi/Oas1a/Bst2/Rsad2/Cxcl10/Ddx60/Lgals3bp/Sell/Herc6/Gbp3/Dhx58/Ifi35/Parp14/Oasl1/Cnp/Uba7/Ifitm3/Il15/Psmb9/Eif2ak2/Casp1/Tdrd7/Ly6e/Parp12/Psmb8/Helz2/Sp110/H2-Q7/Pnpt1/Stat2/Ogfr/Trafd1/Psme1/Adar/Psme2/Ifih1/Epsti1/Irf2/Mvb12a/Tap1/Parp9/Irf1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",160,0.622375637913949,2.75731271166161,5.48925902693111e-20,1.37231475673278e-18,8.66725109515439e-19,523,"tags=38%, list=7%, signal=36%","Isg15/Irf7/Ifi44/Ifit2/Rtp4/Zbp1/Samd9l/Xaf1/Cfb/Casp3/Nmi/Bst2/Rsad2/Cxcl10/Cxcl9/Ddx60/Lgals3bp/Rigi/Herc6/Gbp3/Upp1/Dhx58/Ifi35/Fcgr1/Parp14/Stat1/Rnf213/Oasl1/Il18bp/Ifitm3/Socs1/Il15/Psmb9/Eif2ak2/Psmb10/Casp1/Tdrd7/Ly6e/Slamf7/Parp12/Psmb8/Helz2/Sp110/Tnfaip6/H2-Q7/Pnpt1/Stat2/Znfx1/Ogfr/Trafd1/Psme1/Adar/Psme2/Ifih1/Epsti1/Ccl5/Ccl2/Irf2/Tap1/Irf1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",173,0.461792842251884,2.06448160198601,3.46733733299868e-08,5.77889555499781e-07,3.64982877157756e-07,1882,"tags=46%, list=27%, signal=34%","Cycs/Mrpl11/Mrpl34/Vdac3/Tomm22/Hsd17b10/Grpel1/Ndufv1/Ndufa4/Timm17a/Mrpl35/Mtx2/Polr2f/Ndufb4/Sdhb/Mrpl15/Echs1/Idh3b/Mrps12/Pmpca/Ndufs8/Suclg1/Timm8b/Acadm/Acaa1a/Cyb5r3/Ndufa9/Surf1/Immt/Cox7a2/Uqcrc1/Slc25a4/Ndufb2/Ech1/Atp5j2/Atp5j/Ndufa7/Ndufv2/Etfdh/Mrps11/Atp5c1/Atp5o/Ndufab1/Cox5b/Acaa2/Ndufs4/Cyc1/Atp5pb/Ndufa5/Atp5k/Pdha1/Htra2/Ndufs2/Idh1/Uqcrb/Idh2/Ndufb6/Idh3a/Phb2/Acat1/Timm50/Prdx3/Ndufa3/Ndufb1/Cox6c/Vdac2/Ndufa8/Cox6a1/Casp7/Ndufb3/Mdh1/Cox6b1/Ndufb8/Ndufc1/Sucla2/Ndufb7/Ndufa6/Phyh/Cox7b"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",176,0.449864135434776,2.01601329996721,9.6293922744254e-08,1.20367403430317e-06,7.602151795599e-07,2295,"tags=57%, list=33%, signal=40%","Psmd7/Phb/Prdx4/Vdac3/Lsm2/Erh/Kars/Smarcc1/Cbx3/Cdk4/Ywhaq/Nolc1/Ncbp2/Acp1/Psma4/Snrpd1/Eif1ax/Ssbp1/Rnps1/Pole3/Cct3/Snrpd3/Mrpl9/Psma7/Hdgf/Eif2s2/Impdh2/Eif3j1/Psmb3/Psmd3/Cct4/Lsm7/Nop56/Hdac2/Ilf2/Cops5/Psmc4/Kpnb1/Eif3d/Nme1/Snrpb2/Srsf2/Cct5/Psma2/Tcp1/Psmb2/Ddx18/Ppm1g/Ndufab1/Snrpa/Cyc1/Iars/Sf3a1/Psmc6/Eif2s1/Hnrnpd/Srpk1/Ssb/Phb2/Pabpc4/U2af1/Ddx21/Prdx3/Nop16/Ranbp1/Rsl1d1/Tufm/Cct7/Hnrnpa3/Hprt/Srsf3/Sf3b3/Psma1/Hspd1/Gnl3/Ran/Myc/Clns1a/Psmd14/Set/Snrpg/Nhp2/Ube2l3/Snrpa1/Abce1/Ywhae/Trim28/Hspe1/Ptges3/Cct2/Tfdp1/Snrpd2/Cox5a/Dut/Bub3/Vdac1/Hnrnpu/Psmd8/Txnl4a/Tomm70a/C1qbp"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",69,-0.523241211463934,-2.22401789587204,4.16883188355666e-07,4.16883188355666e-06,2.63294645277263e-06,1038,"tags=42%, list=15%, signal=36%","Spp1/Cxcl1/Tnfaip3/Rhob/Tgfb1/Wipf1/Il6/Lrp1/Plod1/Nt5e/Id2/Mmp14/Vegfa/Igfbp4/Tgm2/Qsox1/Thbs1/Pmepa1/Serpine1/Itgb5/Cxcl3/Timp1/Itgav/Dab2/Edil3/Anpep/Fn1/Vcam1/Pmp22"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",94,0.512283995049222,2.09774114954855,1.83472498181606e-06,1.52893748484672e-05,9.65644727271612e-06,2115,"tags=60%, list=30%, signal=42%","Polr2c/Ddb1/Polr2d/Nelfb/Itpa/Polr2g/Adrm1/Ncbp2/Polr2f/Nudt21/Mrpl40/Dguok/Polr2j/Alyref/Polr2k/Zwint/Gtf2h5/Impdh2/Edf1/Surf1/Sf3a3/Polr1d/Rala/Nt5c/Nme1/Rae1/Polr2e/Nelfe/Rbx1/Polr1h/Guk1/Gtf2a2/Polr2i/Aprt/Taf12/Rfc2/Rnmt/Ssrp1/Polr1c/Pom121/Cant1/Hprt/Nudt9/Cetn2/Gmpr2/Tk2/Pold4/Vps28/Lig1/Umps/Ercc3/Pold3/Bcap31/Srsf6/Snapc5/Gtf2f1"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",59,-0.455525532597984,-1.87320637173596,0.000276683847568366,0.0019763131969169,0.00124819780857909,453,"tags=31%, list=6%, signal=29%","Klf7/Mmp14/Dpp4/Lgmn/Thbs1/Plau/Serpine1/Timp1/Fyn/Pf4/Olr1/Trf/Pecam1/Cfh/Fn1/Thbd/Mmp9/Serpinb2"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",126,-0.351513218503071,-1.66540722193918,0.000460319971816788,0.00287699982385493,0.00181705252032943,1001,"tags=32%, list=14%, signal=28%","Dusp5/Cxcl1/Dock10/Tnfaip3/Plek/Prkcd/Cblb/Dyrk2/Usp15/Il6/Lrp1/S100a9/Dock4/Dgkh/Gpd2/Pla2g4a/Cd36/Prcp/Mmp14/Dpp4/Ctsd/Lgmn/F5/Pik3r5/Jak2/Mmp12/Gnb4/Serpine1/Cxcl3/Timp1/Fyn/Olr1/Mmp13/F7/Cfh/Kynu/Hspa1a/Fn1/Zeb1/Serpinb2"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",78,-0.385976706565699,-1.6821935195004,0.00122094487958647,0.00610472439793236,0.00385561540922044,1914,"tags=50%, list=27%, signal=37%","Nek7/Vav2/Pik3cd/Notch2/Map2k5/Mt1/Atp2c1/Cdk13/Aggf1/Togaram1/Prkce/Atxn1/Runx1/Atrn/Zmiz1/Nr3c1/Lpar1/Rxra/Wdr37/Nipbl/Atp2b4/Bhlhe40/Sipa1l1/Pten/Grk5/Dyrk1a/Tgfbr2/Abcc1/Kit/Serpine1/Cacna1a/Igf1r/Fyn/Dab2/Nfkb1/Sfmbt1/Prkca/Syne1/Pmp22"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",100,-0.364024462913795,-1.65618379267582,0.00111525894086959,0.00610472439793236,0.00385561540922044,1560,"tags=45%, list=22%, signal=36%","Inhba/Cmklr1/Ikzf1/Il1b/Adam17/Usp12/F13a1/Nin/Dock2/Laptm5/Mtmr10/Etv5/Map3k1/Tnfrsf1b/Cxcr4/Spp1/Il7r/Tnfaip3/Gpnmb/Ptgs2/Adam8/Birc3/Adamdec1/Mafb/G0s2/Cbl/Prdm1/Id2/Ccser2/St6gal1/Mmd/Tspan13/Plau/Il1rl2/Ero1a/Pdcd1lg2/Hdac9/Arg1/Pecam1/Cfh/Lif/Rabgap1l/Mmp9/Satb1/Ppbp"
