"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",22,-0.609969203684014,-1.7138230517149,0.00966183574879227,0.12047452209724,0.101452229134518,1188,"tags=45%, list=19%, signal=37%","Mapk14/Mapk8/Mapk3/Nfkbie/Nfkb2/Traf6/Traf3/Dusp1/Nfkbia/Nfkb1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",18,-0.615866512155918,-1.65708324087032,0.018071178314586,0.12047452209724,0.101452229134518,1120,"tags=39%, list=18%, signal=32%","Grb2/Rps6ka3/Mapk3/Vav3/Jun/Fos/Lyn"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",25,-0.568646965803751,-1.64299438603133,0.0157689581856839,0.12047452209724,0.101452229134518,918,"tags=40%, list=15%, signal=34%","Akt3/Rps6ka3/Foxo3/Flot1/Tec/Itpr2/Itpr1/Cyth3/Dapp1/Lyn"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",86,-0.38994685259716,-1.43670492623715,0.0299282333180638,0.149641166590319,0.126013613970795,948,"tags=34%, list=15%, signal=29%","Srgn/Ccl3/Timp2/Tnf/Lamc1/Sema4d/Adam8/Sema6d/Ctsc/Serpinb6a/Cxcl10/Ints6l/Podnl1/Spock2/Serpinb1a/Lman1/Adam9/Ccl1/Ctsz/Fgl2/Areg/Igfbp7/Tnfsf8/Xcl1/Cst3/Plxdc2/Adamts6/Tnfsf11/Spp1"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",15,-0.545997383285683,-1.41037781460417,0.099405425492382,0.292844410491469,0.246605819361237,948,"tags=53%, list=15%, signal=45%","Srgn/Lamc1/Ints6l/Podnl1/Spock2/Fgl2/Igfbp7/Spp1"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",14,0.51592213265053,1.38023867405788,0.101651297447995,0.292844410491469,0.246605819361237,168,"tags=21%, list=3%, signal=21%","Casp3/Fasl/Prf1"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",24,-0.479193554823265,-1.37130860290188,0.102495543672014,0.292844410491469,0.246605819361237,1448,"tags=33%, list=23%, signal=26%","Pik3r1/Stat6/Grb2/Akt3/Mapk3/Bcl2/Il4ra/Irs2"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",33,-0.422717847076222,-1.3001366643395,0.137644821027149,0.32699261122465,0.275362198926021,1120,"tags=30%, list=18%, signal=25%","Grb2/Inpp5d/Akt3/Mapk3/Flot1/Itpr2/Nfatc2/Itpr1/Bcl2/Lyn"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",71,-0.348885138146258,-1.2418868822779,0.147146675051093,0.32699261122465,0.275362198926021,932,"tags=30%, list=15%, signal=26%","Ccl3/Timp2/Tnf/Sema4d/Adam8/Sema6d/Ctsc/Serpinb6a/Cxcl10/Serpinb1a/Lman1/Adam9/Ccl1/Ctsz/Areg/Tnfsf8/Xcl1/Cst3/Plxdc2/Adamts6/Tnfsf11"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",38,-0.395138724765648,-1.24862148737455,0.171365111908423,0.342730223816846,0.288614925319449,1120,"tags=21%, list=18%, signal=17%","Grb2/Akt3/Rps6ka3/Foxo3/Creb1/Nolc1/Cyth3/Irs2"
