"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",125,-0.669292753397424,-2.61630290139642,6.04911891709731e-16,2.90357708020671e-14,1.71922327117502e-14,820,"tags=50%, list=13%, signal=45%","Nrp1/Odc1/Uck2/Nfil3/Traf1/Hipk2/Il18r1/Gpx4/Lrrc8c/Galm/Serpinb6a/Bhlhe40/Cxcl10/Arl4a/Spred2/Sell/Pim1/Mapkapk2/Bcl2/Rabgap1l/Gadd45b/Ikzf2/Cish/Ncoa3/Nfkbiz/Dennd5a/Map3k8/Plscr1/Il4ra/Phtf2/Tnfrsf4/Cd44/Capg/Ctsz/P2rx4/Fgl2/Rora/Itgae/Tnfrsf9/Gpr65/Ikzf4/Syngr2/Cyfip1/Penk/Irf8/Nt5e/Furin/Car2/Swap70/Dhrs3/Hk2/Ahr/Tiam1/Itgav/Tnfsf11/Il2ra/Il1r2/Myo1e/Spp1/Bmpr2/Cd83/Igf1r/Il1rl1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",117,-0.605366907077196,-2.3415008149638,1.580766172935e-10,3.79383881504401e-09,2.24635192996027e-09,974,"tags=50%, list=15%, signal=43%","Relb/Bcl3/Smad3/Nampt/Tnf/Sik1/Stat5a/Cd69/Klf2/Nfil3/Nfkbie/Traf1/Tnip1/Nr4a3/Nfkb2/Egr1/Atp2b1/Dusp4/Ccnl1/Bhlhe40/Cxcl10/Birc2/Kdm6b/Tnfaip8/Zc3h12a/Rnf19b/Tank/Gadd45b/Junb/Ninj1/Fosl2/Cebpb/Pde4b/Dennd5a/Map3k8/Dusp1/Id2/Nfkbia/Rel/Birc3/Cd44/Ccrl2/Gem/Areg/Tnfrsf9/Nr4a1/Il7r/Nfkb1/Jun/Ets2/Cdkn1a/Zfp36/Fosb/Fos/Plaur/Cd83/Irs2/Cd80/Ifngr2"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",66,-0.637564581055227,-2.24328489872068,6.95694910807464e-08,1.11311185729194e-06,6.59079389186018e-07,942,"tags=41%, list=15%, signal=35%","Sfmbt1/Akt3/Smad3/Lamc1/Nrp1/Ythdc1/Itgb3/Atp2b4/Cdon/Atp2b1/Bhlhe40/Synj2/Map2k5/Slc7a1/Inpp4b/Nr3c1/Rasa2/Abcc1/Mt1/Cited2/Runx1/Dusp1/Nfkb1/Acvr2a/Kit/Igf1r/Plcb4"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",136,0.427123166086323,1.89545782822014,3.7922724689958e-06,4.55072696279496e-05,2.69450938586544e-05,838,"tags=37%, list=13%, signal=33%","Ccl5/Casp3/Bst2/Zbp1/Xaf1/Irf7/Rnf213/Usp18/Isg15/Isg20/Rtp4/Slc25a28/Epsti1/Gbp4/Cd38/Lgals3bp/Slamf7/Gbp9/H2-M3/Ifitm3/Ifih1/Irf9/Oas3/Gpr18/Socs3/Samd9l/Psmb8/Psmb10/Irf1/Pml/Nlrc5/Parp14/Psmb9/Nmi/Klrk1/Irf2/Ifit3/Herc6/Psme1/Il10ra/Cd86/Vamp8/Txnip/Ifi35/Rigi/Rbck1/H2-Q7/Ripk1/Trafd1/Trim26"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",38,-0.675396170672965,-2.13413111645208,8.13427172736273e-06,7.80890085826822e-05,4.62369129765881e-05,396,"tags=37%, list=6%, signal=35%","Fas/Gadd45b/Id2/Cd44/Capg/Gem/Areg/Nt5e/Jun/Itgav/Plaur/Spp1/Dst/Basp1"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",86,-0.530527137631307,-1.95013418219669,2.0985712684918e-05,0.000167885701479344,9.94060074548745e-05,868,"tags=37%, list=14%, signal=33%","Errfi1/Ldha/Nfil3/Foxo3/Ids/Atp7a/Xpnpep1/Bhlhe40/Glrx/Pim1/Gbe1/Nr3c1/Bcl2/Ddit4/Fosl2/Mt1/Rbpj/Cited2/Dusp1/Cxcr4/Klf7/Rora/Ero1a/Jun/Cdkn1a/Zfp36/Hk2/Ext1/Fos/Plaur/Irs2/Nedd4l"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",68,0.485711145476311,1.91604920746015,4.68770401172464e-05,0.000321442560803976,0.000190327832054986,861,"tags=50%, list=14%, signal=44%","Bst2/Irf7/Usp18/Isg15/Isg20/Rtp4/Slc25a28/Epsti1/Lgals3bp/Ifitm3/Ifih1/Irf9/Samd9l/Psmb8/Irf1/Oas1a/Parp14/Psmb9/Nmi/Parp9/Irf2/Ifit3/Herc6/Psme1/Cnp/Txnip/Ifi35/Gbp2/H2-Q7/Trim12c/Cd47/Trafd1/Trim26/Mov10"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",67,-0.547370213537047,-1.92879245971231,8.12407335861386e-05,0.000433283912459406,0.000256549685008859,687,"tags=36%, list=11%, signal=32%","Slc26a2/Tbc1d30/Bhlhe40/Elf1/Pmaip1/Aff1/Ret/Bcl2/Mybbp1a/Ar/Cish/Jak2/Sh3bp5/Retreg1/Cd44/Areg/Dhrs3/Slc24a3/Nrip1/Tiam1/Mast4/Fos/Flnb/Igf1r"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",68,-0.54418282920981,-1.92517058247325,8.01500183555848e-05,0.000433283912459406,0.000256549685008859,738,"tags=38%, list=12%, signal=34%","Atp2b4/St6galnac2/Impa2/Slc26a2/Top2a/Aff1/Ret/Bcl2/Dnajc1/Cish/Fabp5/Jak2/Id2/Ckb/Cd44/Areg/Ass1/Car2/Slc24a3/Zfp36/Nrip1/Tspan13/Tiam1/Fos/Flnb/Tpsb2"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",70,-0.543332644771006,-1.9353797203616,9.25032016231119e-05,0.000444015367790937,0.000262903836192002,820,"tags=34%, list=13%, signal=30%","Nrp1/Atg10/Traf1/Adam8/Cxcl10/Sdccag8/Satb1/Glrx/Gypc/Rabgap1l/Mmd/Cxcr4/Id2/Birc3/Pdcd1lg2/Ero1a/Irf8/Il7r/Car2/Lat2/Tspan13/Plaur/Spp1/Fcer1g"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",36,-0.632697976562157,-1.97980262449765,0.000121939592610876,0.000532100040483821,0.000315059234496999,1292,"tags=50%, list=20%, signal=40%","Fdps/Anxa5/Hmgcs1/Pmvk/Errfi1/Ethe1/Cpeb2/Nfil3/Atxn2/Idi1/Chka/Niban1/Trp53inp1/Fabp5/Plscr1/Antxr2/Clu/Plaur"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",82,-0.472563731467416,-1.72339345310995,0.0016298433385242,0.0065193733540968,0.00386015527545205,853,"tags=35%, list=13%, signal=31%","Sema4d/Cd69/Hif1a/Itgb3/Il18r1/Atp2b1/Kif1b/Cxcl10/Slc7a1/Sell/Ly6e/Ccr7/P2rx7/Pde4b/Il4ra/Nfkbia/Ifitm1/Ccrl2/P2rx4/Tnfrsf9/Il7r/Nfkb1/Cdkn1a/Ahr/Calcrl/Acvr2a/Plaur/Ifngr2/Lyn"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",156,0.340234510647009,1.54202739980531,0.00209432150473762,0.00773287940210815,0.00457867859335351,2784,"tags=67%, list=44%, signal=38%","Atp6v1e1/Isca1/Tomm22/Fxn/Pmpca/Acadm/Mrpl15/Slc25a4/Timm17a/Timm8b/Ndufs8/Ndufb7/Atp5g3/Mrps30/Acaa2/Grpel1/Ech1/Aifm1/Cox5b/Atp5c1/Uqcrq/Acaa1a/Ndufc1/Ndufb5/Aco2/Ndufv2/Cpt1a/Cox6b1/Atp5j/Cycs/Vdac2/Hccs/Cox5a/Cox17/Hadhb/Ndufa7/Ndufv1/Ndufb1/Uqcrh/Ndufa8/Ndufa6/Cox8a/Cox7b/Atp6v1d/Atp5h/Vdac3/Ndufb8/Atp5g1/Ndufb6/Ndufa3/Atp5l/Oxa1l/Ndufb3/Sdhb/Atp6v1f/Ndufb2/Cox4i1/Ndufc2/Ndufa4/Afg3l2/Prdx3/Uqcrfs1/Atp6v1c1/Ndufa5/Atp5o/Tomm70a/Cox6a1/Atp5k/Atp5pb/Atp5j2/Abcb7/Uqcrc1/Cox6c/Ndufs3/Sdhc/Mrpl35/Bax/Gpi1/Mrps12/Ogdh/Ndufs4/Atp6v0c/Cox7a2/Suclg1/Ndufa2/Ndufs6/Sdhd/Atp6v1g1/Ndufa9/Got2/Uqcrc2/Uqcr11/Iscu/Fh1/Ndufa1/Uqcrb/Uqcr10/Sdha/Dld/Cox7c/Mdh1/Atp6v0e/Idh3b/Mdh2"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",35,-0.545526048832776,-1.69809521261544,0.00683060109289617,0.0234192037470726,0.0138666337976088,1082,"tags=34%, list=17%, signal=29%","Ppp1r15a/Skil/Ncor2/Smad3/Hipk2/Sptbn1/Junb/Id2/Furin/Tgfbr1/Bmpr2/Ifngr2"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",54,-0.472621906451408,-1.60194164326724,0.0128018149408524,0.0409658078107276,0.0242560704142466,1381,"tags=43%, list=22%, signal=34%","Insig1/Camkk2/Xrcc6/Zmiz1/Arid5b/Hmgcs1/Elovl5/Pa2g4/Ube2j1/Rps6ka3/Fkbp5/Actn1/Cdk6/Spcs3/Slc26a2/Idi1/Maf/Inpp4b/Tnfaip8/Lman1/Uap1/Ell2/Itgav"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",44,-0.480119413239479,-1.563593010095,0.0197357417628366,0.0527083627464822,0.0312088989946276,786,"tags=43%, list=12%, signal=38%","Cbl/Ptpn2/Il6st/Il15ra/Grb2/Tyk2/Tnf/Itgb3/Il18r1/Cxcl10/Fas/Pim1/Map3k8/Il4ra/Cd44/Jun/Il2ra/Il1r2/Ifngr2"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",127,-0.370041333753263,-1.44946605599868,0.0189791516894321,0.0527083627464822,0.0312088989946276,1491,"tags=35%, list=24%, signal=28%","Ssh2/Nf1/Abi1/Nck2/Rhof/Map3k11/Cep192/Kif11/Bin1/Ppp4r2/Rfc1/Abl1/Akap13/Tbcd/Smc1a/Cdk5rap2/Nedd9/Alms1/Arhgap4/Fbxo5/Kif15/Kif4/Kif20b/Ccnb2/Klc1/Cdk1/Top2a/Kif1b/Birc5/Pcgf5/Rapgef6/Nusap1/Stk38l/Prc1/Cenpe/Sptbn1/Rasa2/Tpx2/Cenpf/Arhgef12/Epb41l2/Tiam1/Flnb/Myo1e/Dst"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",143,-0.360236179629896,-1.43275779277108,0.0197656360299308,0.0527083627464822,0.0312088989946276,1559,"tags=38%, list=25%, signal=30%","Dnmt1/Mre11a/Mcm3/Eif2s1/Rnaseh2a/Pnn/Nasp/Gspt1/Prim2/Pole4/Ranbp1/Nup205/Rfc1/Xrcc6/Cbx5/Nup107/Ssrp1/Cdk4/Pa2g4/Nme1/Smc1a/Tmpo/Stmn1/Rfc2/Kif4/Mki67/Ccnb2/Pold3/Rrm2/Cdk1/Ak2/Eed/Top2a/Cks1b/Dctpp1/Ncapd2/Mcm5/Birc5/Aurkb/Cdca3/Brca1/Cenpe/Spc24/Nolc1/Asf1b/Cdca8/H2az1/Rad50/Diaph3/Tfrc/Lig1/Mcm2/Cit/Tk1/Cdkn1a"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",28,-0.512977297129921,-1.52054317161232,0.0367775831873905,0.0882661996497373,0.052262881371555,816,"tags=39%, list=13%, signal=34%","Klk8/Itgb3/Csrp1/Dusp14/Arf4/Prep/Adam9/Klf7/Furin/Clu/Trf"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",84,-0.3874936845563,-1.41996911439054,0.0365310821181888,0.0882661996497373,0.052262881371555,781,"tags=25%, list=12%, signal=22%","Ago2/Nxf1/Mrpl23/Bsg/Pole3/Chka/Ret/Dgat1/Tfrc/Cltb/Junb/Nfkbia/Rrad/Nr4a1/Furin/Creg1/Car2/Fosb/Fos/Plcl1/Lyn"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",92,-0.371954146143715,-1.38330238805598,0.0436369165272921,0.0997415234909533,0.0590574810143803,771,"tags=26%, list=12%, signal=23%","Casp7/Zeb1/Csrp1/Actn2/Fdx1/Cd40lg/Ctsc/Xpnpep1/Pim1/Gngt2/Spock2/Prep/Cebpb/Plscr1/Jak2/Gnb4/Adam9/Car2/Gata3/Clu/Cpm/Plaur/Fcer1g/Lyn"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",14,-0.607962005563172,-1.52759788920102,0.0506636754533558,0.110538928261867,0.0654506812076845,600,"tags=36%, list=9%, signal=32%","Crybg1/Brca1/Gata3/Plaur/Lyn"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",31,-0.475261126528153,-1.43892082753061,0.0605799102519848,0.126427638786751,0.0748584703342604,1153,"tags=39%, list=18%, signal=32%","Cdk4/Tfb2m/Pa2g4/Ndufaf4/Supv3l1/Dctpp1/Mcm5/Nolc1/Gnl3/Mybbp1a/Rcl1/Hk2"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",37,-0.443251397439123,-1.39351986035443,0.0750974741481607,0.144187150364469,0.0853739706105406,675,"tags=27%, list=11%, signal=24%","Actn2/Bhlhe40/Gadd45b/Ifrd1/Psen2/Ckb/Igfbp7/Syngr2/Clu/Cdkn1a"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",144,-0.324137944699064,-1.2902698015785,0.072919605077574,0.144187150364469,0.0853739706105406,1392,"tags=33%, list=22%, signal=27%","Gspt1/G3bp1/Prim2/Kif11/E2f3/Tle3/Abl1/Mapk14/Cdk4/Slc38a1/Smc1a/Tmpo/Nup98/Stmn1/Bcl3/Smad3/Fbxo5/Ube2c/Kif15/Kif4/Odc1/Smc2/Kif20b/Mki67/Ccnb2/Hif1a/Ythdc1/Uck2/Rps6ka5/Cdk1/Knl1/Top2a/Cks1b/Mcm5/Birc5/Foxn3/Aurkb/Slc7a1/Nusap1/Prc1/Cenpe/Nolc1/H2az1/Ccna2/Tpx2/Mcm2/Mnat1/Cenpf"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",140,-0.316953956414094,-1.25667626023422,0.0945485519591141,0.174551172847595,0.103352668133445,1381,"tags=30%, list=22%, signal=24%","Insig1/Tomm40/Nup205/Adipor2/Pdk1/Tpi1/Hspa4/Slc2a1/Hmgcs1/Elovl5/Ppp1r15a/Hspa9/Dhfr/Sdf2l1/Nampt/Ldha/Nfil3/Rrm2/Skap2/Calr/Idi1/Fkbp2/Ctsc/Bhlhe40/Got1/Eprs/Glrx/Niban1/Gbe1/Tfrc/Gclc/Ddit4/Mcm2/Ifrd1/Cxcr4/Elovl6/Dapp1/Sytl2/Fgl2/Ero1a/Cdkn1a/Hk2"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",48,0.331936143139726,1.21918983387837,0.158280657395702,0.281387835370136,0.166611218311265,1447,"tags=42%, list=23%, signal=32%","Sult2b1/Slc25a4/Hras/Ctbp1/Nudt19/Acsl5/Ech1/Abcb1a/Fis1/Acaa1a/Ide/Abcb9/Cat/Pex14/Pabpc1/Prdx5/Cdk7/Sod2/Pex13/Atxn1"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",83,-0.328131777801082,-1.19995417790135,0.179640718562874,0.298267747862823,0.176605903339829,588,"tags=17%, list=9%, signal=16%","Got1/Glrx/Glce/Gclc/Ddit4/Pygl/Cited2/Cxcr4/Cd44/Ero1a/Nt5e/Hk2/Ext1/Irs2"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",94,-0.319338529514079,-1.19016497567587,0.180203431000455,0.298267747862823,0.176605903339829,866,"tags=19%, list=14%, signal=17%","Apaf1/Elp1/H1f2/Klk8/Foxo3/Mapkapk3/Fas/Rnf19b/Ddit4/Ninj1/Gm2a/Rrad/Sesn1/Jun/Cdkn1a/Zfp36l1/Fos/Zbtb16"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",101,0.268535049212508,1.13784278539053,0.19159867029314,0.306557872469024,0.181514529751396,1979,"tags=37%, list=31%, signal=26%","Rpa2/Polr2j/Guk1/Dguok/Itpa/Gtf2h1/Supt4a/Polr2g/Tk2/Ak3/Polr2k/Gtf2h5/Arl6ip1/Nt5c3/Eif1b/Nelfb/Polr1d/Rfc3/Gtf2b/Polr1c/Rbx1/Cox17/Taf12/Nfx1/Polr2i/Umps/Sdcbp/Aprt/Vps28/Dut/Taf10/Hprt/Zwint/Gtf2a2/Polr2c/Rala/Alyref"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",101,-0.301168924092193,-1.13655936812144,0.240101598685193,0.371770217319009,0.22012710235994,1005,"tags=26%, list=16%, signal=22%","Slc2a1/Fbxo34/Sec14l1/Slc66a2/Ucp2/Nudt4/Clcn3/Foxo3/Bsg/Tspan5/Alad/Synj1/Gypc/Nr3c1/Tfdp2/Smox/Tfrc/Gclc/Tent5c/Bmp2k/Rcl1/Picalm/Arhgef12/Car2/Ell2/Mfhas1"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",18,0.404721975475549,1.16088111612092,0.265907568653717,0.398861352980576,0.236167906370078,1230,"tags=39%, list=19%, signal=31%","Lfng/St3gal6/Maml2/Notch1/Dtx4/Ppard/Rbx1"
