"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",81,0.568958684457453,2.28002081221504,9.64489478137371e-09,1.92897895627474e-07,1.11677729047485e-07,904,"tags=44%, list=15%, signal=38%","Prss2/Il1b/Serpinb1a/Lman1/Cxcl2/Cxcl10/Lgals3/Serpinb9/Ctsh/Areg/Lgals1/Serpinb6a/S100a13/S100a4/Cst3/Timp2/Ctse/S100a6/Plxdc2/Sdc4/Ctsc/Tnfsf11/Ky/Sema6d/Ctsd/Serpine1/Adam9/Plxnc1/Csf2/Adam8/Ebi3/Anxa5/S100a10/Tnfsf4/S100a11/Xcl1"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",99,0.519772465394449,2.15439011750237,8.27244138260716e-08,8.27244138260716e-07,4.78930816887783e-07,904,"tags=41%, list=15%, signal=36%","Prss2/Il1b/Serpinb1a/Lman1/Cxcl2/Cxcl10/Lgals3/Serpinb9/Ctsh/Areg/Lgals1/Serpinb6a/S100a13/S100a4/Thsd4/Cst3/Timp2/Ctse/Spp1/S100a6/Plxdc2/Sdc4/Ctsc/Tnfsf11/Fgl2/Ky/Sema6d/Ctsd/Serpine1/Adam9/Plxnc1/Csf2/Adam8/Ebi3/Srgn/Anxa5/S100a10/Tnfsf4/S100a11/Vwa5a/Xcl1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",33,0.591540606516061,1.98125863341299,0.000284727167645973,0.00189818111763982,0.00109894696284411,704,"tags=42%, list=12%, signal=38%","Prss2/Serpinb1a/Serpinb9/Ctsh/Serpinb6a/Cst3/Timp2/Ctse/Ctsc/Ky/Ctsd/Serpine1/Adam9/Adam8"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",15,0.715046237547558,1.97830499132269,0.000612751568424512,0.00306375784212256,0.00177375454017622,787,"tags=53%, list=13%, signal=46%","Lman1/Lgals3/Lgals1/Plxdc2/Sdc4/Sema6d/Plxnc1/Anxa5"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",15,-0.633370263729086,-1.8410255244221,0.00389989856377237,0.0155995942550895,0.00903134404242022,1378,"tags=53%, list=23%, signal=41%","Rbl2/Mapk1/Ipcef1/Pik3ca/Akt3/Pik3cd/Akt2/Sos1"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",33,0.514009530766225,1.7215822705478,0.00556211023091185,0.0185403674363728,0.0107338969368474,904,"tags=42%, list=15%, signal=36%","Il1b/Cxcl2/Cxcl10/Areg/S100a13/S100a4/S100a6/Tnfsf11/Csf2/Ebi3/S100a10/Tnfsf4/S100a11/Xcl1"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",23,-0.51162748518945,-1.67072795128894,0.0137051039697543,0.0391574399135836,0.0226700967920747,975,"tags=39%, list=16%, signal=33%","Mapk1/Pik3ca/Raf1/Akt3/Sos2/Pik3cd/Akt2/Ppp1r13b/Sos1"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",13,0.603828437252753,1.60181346547428,0.0275314116777531,0.0688285291943829,0.0398480958493796,174,"tags=15%, list=3%, signal=15%","Gzmb/Prf1"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",28,-0.433800617855124,-1.50113887430509,0.038914244535191,0.086476098967091,0.0500651099283159,1461,"tags=43%, list=24%, signal=33%","Senp2/Jun/Fbxw4/Fbxw2/Csnk1d/Ctbp1/Apc/Ccnd3/Nlk/Lef1/Btrc/Tcf7"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",33,-0.396382241456497,-1.42731696842596,0.0525927746375031,0.105185549275006,0.0608968969486878,975,"tags=33%, list=16%, signal=28%","Mapk1/Pik3ca/Raf1/Akt3/Sos2/Pik3cd/Ppp3cc/Akt2/Ppp1r13b/Sos1/Ppp3cb"
