"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",168,0.539082192125172,2.40929720476968,2.47381952822848e-13,1.18743337354967e-11,6.24964933447196e-12,1779,"tags=62%, list=30%, signal=45%","Mcm2/Tyms/Nhp2/Impdh2/Cyc1/Rrm1/Eif1ax/Dut/Acp1/Nme1/Cdk4/Hdgf/Tfdp1/Trim28/Psmd1/Ran/Eif3j2/Snrpa/Ranbp1/Ncbp2/Pa2g4/Mcm5/Ldha/H2az1/Ywhaq/Mrpl23/Odc1/Snrpd1/Fbl/Mcm4/Pgk1/Rnps1/Snrpd2/Ndufab1/C1qbp/Txnl4a/Eif3d/Hdac2/Canx/Mcm6/Nolc1/Tcp1/Pcbp1/Psma7/Set/Snrpg/Rpl34/Mrpl9/Slc25a3/Snrpd3/Uba2/Pcna/Usp1/Nap1l1/Cops5/Cct2/Cox5a/Vdac3/U2af1/Kpnb1/Mcm7/Eif4a1/Cct5/Psma1/Ppia/Serbp1/Vdac1/Hprt/Xrcc6/Psmd7/Psmc4/Rpl6/Dek/Eif2s2/Psma4/Psma2/Ifrd1/Ddx18/Snrpa1/Psma6/Rsl1d1/Snrpb2/Phb2/Pwp1/Ywhae/Lsm2/Nop56/Rpl14/Psmb3/Iars/Rpl22/Hsp90ab1/Srsf2/Hnrnpa3/Prpf31/Psmc6/Eif2s1/Rps10/Hnrnpu/Psmd3/Srsf7/Ppm1g/Rps2/Hnrnpa1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",124,0.53810103556002,2.31203996621898,2.44588049143255e-10,5.87011317943812e-09,3.08953325233585e-09,1340,"tags=50%, list=22%, signal=40%","Birc5/Cks1b/Spc24/Stmn1/H2ax/Rrm2/Tk1/Mcm2/Ncapd2/Top2a/Mki67/Orc6/Dctpp1/Diaph3/Cbx5/Rfc3/Cdkn1a/Dut/Cks2/Nme1/Hmgb2/Cdk4/Dnmt1/Mcm3/Ssrp1/Lig1/Ran/Tubb5/Paics/Ranbp1/Lyar/Pa2g4/Mcm5/H2az1/Rpa3/Mcm4/Hells/Plk4/Ddx39a/Pold3/Pttg1/Mcm6/Pop7/Ak2/Rfc2/Nolc1/Nup107/Tipin/Pnn/Naa38/Pole4/Snrpb/Pcna/Usp1/Nap1l1/Nudt21/Mcm7/Xrcc6/Phf5a/Dek/Mms22l/Lmnb1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",152,0.492959406816809,2.17744248282339,4.41834416572888e-09,7.06935066516621e-08,3.72071087640327e-08,1626,"tags=58%, list=27%, signal=43%","Fdx1/Cyc1/Etfb/Mrpl11/Polr2f/Mrps12/Cox7b/Uqcr10/Slc25a4/Cox7c/Atp5e/Cox7a2/Ndufb2/Ndufa9/Ldha/Ndufb8/Mtx2/Mrpl35/Uqcrb/Cox5b/Ndufa4/Atp5k/Cycs/Atp5j2/Timm13/Atp5d/Atp5b/Ndufab1/Cox6c/Ndufb6/Ndufs6/Ndufa1/Cox6a1/Idh3b/Ndufv1/Atp5g2/Etfdh/Ndufb1/Grpel1/Mrpl34/Slc25a5/Cox17/Gpx4/Ndufs2/Atp5j/Ndufc2/Slc25a3/Por/Cox6b1/Hsd17b10/Ndufa5/Cox5a/Vdac3/Sdhd/Atp5l/Ndufa7/Atp6v0e/Hspa9/Atp5h/Vdac2/Acadvl/Cox8a/Ndufa8/Vdac1/Atp6ap1/Atp5c1/Atp5o/Atp6v1g1/Sdhb/Fh1/Ndufb3/Slc25a20/Atp6v0b/Gpi1/Uqcr11/Phb2/Atp5pb/Uqcrq/Ech1/Bax/Timm17a/Atp6v1f/Cox4i1/Ndufc1/Ndufa2/Ndufa3/Atp5g1/Ndufb7"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",127,0.512414430212898,2.20856196561133,9.70889633930442e-09,1.16506756071653e-07,6.131934530087e-08,852,"tags=30%, list=14%, signal=26%","Birc5/Cenpf/Cks1b/Stmn1/Nusap1/Ube2c/H2ax/Kif11/Mcm2/Smc2/Prc1/Top2a/Mki67/Orc6/Kif15/Dtymk/Hmgn2/E2f3/Incenp/Cks2/Cdk4/Mcm3/Kif20b/Tfdp1/Mcm5/H2az1/Odc1/Notch2/Snrpd1/Slc7a5/Kmt5a/Plk4/Dkc1/H2az2/Ddx39a/Pttg1/Mcm6/Nolc1"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",97,0.518564771174609,2.14282279732417,7.15184252088864e-07,6.86576882005309e-06,3.61356253687005e-06,804,"tags=29%, list=13%, signal=25%","Large1/Cited2/Ddit4/Plac8/Hk2/Isg20/Hdlbp/Hs3st1/S100a4/Nfil3/Cdkn1a/Sdc4/Irs2/Tpi1/Sult2b1/Lxn/Errfi1/Atp7a/Eno1/Serpine1/Plaur/Ldha/Tiparp/Hspa5/Pgk1/Bhlhe40/Slc6a6/Glrx"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",132,0.460707121444865,1.99834387349598,1.80531732719802e-06,1.44425386175842e-05,7.601336114518e-06,1448,"tags=45%, list=24%, signal=35%","Sdf2l1/Fkbp2/Rrm2/Mcm2/Ddit4/Hk2/Stard4/Nfil3/Cdkn1a/Phgdh/Ctsc/Tpi1/Ebp/Gclc/Calr/Fgl2/Eno1/Psme3/Ldha/Hmgcr/Hsp90b1/Rpn1/Mcm4/Slc7a5/Hspa5/Pgk1/Atp2a2/Bhlhe40/Ddx39a/Slc6a6/Nfkbib/Canx/Glrx/Psmc2/Cct6a/Sytl2/Cyb5b/Txnrd1/Ppa1/Ufm1/Ssr1/Ero1a/Cops5/Ykt6/Aldoa/Hspa9/Psmb5/Ppia/Hprt/Arpc5l/Psmc4/Eif2s2/Psma4/Ifrd1/Xbp1/Psmd13/Gpi1/Tfrc/M6pr"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",91,0.48667498823132,1.99028595015016,9.54061723153489e-06,6.54213753019535e-05,3.44323027905019e-05,1308,"tags=46%, list=22%, signal=37%","Tyms/Impdh2/Rfc3/Ddb1/Dut/Nme1/Polr2f/Nelfe/Ssrp1/Lig1/Polr2i/Prim1/Mrpl40/Ncbp2/Rad51/Zwint/Alyref/Nudt9/Polr2h/Rpa3/Edf1/Pola1/Pold3/Rfc2/Nt5c/Bola2/Cox17/Sec61a1/Gpx4/Cetn2/Pole4/Pcna/Mpc2/Hcls1/Rbx1/Nudt21/Gtf2f1/Aprt/Rala/Hprt/Dad1/Pde4b"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",29,0.656679053309252,2.15257571780543,1.93683962113805e-05,0.000116210377268283,6.11633564569912e-05,1166,"tags=55%, list=19%, signal=45%","Lgals3/Stard4/Nfil3/Errfi1/Ebp/Fabp5/Plaur/Hmgcr/Anxa5/Plscr1/S100a11/Atxn2/Ethe1/Ctnnb1/Antxr2/Clu"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",69,0.502417313185803,1.96197175297318,5.60877128105916e-05,0.000299134468323155,0.000157439193854292,782,"tags=38%, list=13%, signal=33%","Large1/Abhd2/Klf4/Top2a/Isg20/Areg/Tpsb2/Ncor2/Ckb/Etfb/Farp1/Slc26a2/Sult2b1/Car2/Nxt1/Fabp5/Impa2/Id2/Fkbp5/Flnb/Slc7a5/Ret/Plk4/Cox6c/Dusp2/Ugdh"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",29,0.629888008449961,2.064755416049,8.59205944201988e-05,0.000398484904544806,0.000209728897128845,852,"tags=45%, list=14%, signal=39%","Hk2/Dctpp1/Nip7/Cdk4/Mybbp1a/Pa2g4/Mcm5/Mrto4/Tcof1/Mcm4/Plk4/Dusp2/Nolc1"
