"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.621820121259459,-1.89061064205301,0.000712090903911435,0.0142418180782287,0.00899483247046023,1757,"tags=74%, list=29%, signal=53%","Traf5/Nfkbil1/Mapk9/Pik3r1/Pik3cd/Map2k4/Mapk8/Nfkb2/Pik3ca/Mapk14/Nfkbie/Mapk1/Traf6/Traf3/Nfkbia/Dusp1/Nfkb1"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",23,-0.588183263233192,-1.78833958395203,0.00357142857142857,0.0357142857142857,0.0225563909774436,1630,"tags=61%, list=27%, signal=45%","Pik3r1/Akt2/Pik3cd/Pik3ca/Raf1/Stat6/Grb2/Mapk1/Bcl2/Sos1/Ppp1r13b/Akt3/Il4ra/Irs2"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",13,0.635011707824066,1.73327398821292,0.0105263157894737,0.0569835111542192,0.0359895859921384,71,"tags=31%, list=1%, signal=30%","Gzmb/Casp3/Prf1/Fasl"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",69,0.381855175926891,1.56488175700763,0.0113967022308438,0.0569835111542192,0.0359895859921384,1076,"tags=36%, list=18%, signal=30%","Ccl5/Serpinb9/S100a13/Fasl/Ctse/Lgals3/Ifng/Sema4a/S100a4/Ctsd/Plxnc1/Ctsw/Cst7/Lgals1/S100a6/Egln1/S100a11/S100a10/Anxa2/Cxcl10/Timp2/Ctsa/Anxa6/Serpinb1a/Serpinb6a"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",82,0.349070672674759,1.48042158937876,0.0156939676311918,0.062775870524767,0.0396479182261687,420,"tags=22%, list=7%, signal=21%","Ccl5/Serpinb9/Crim1/S100a13/Fasl/Ctse/Lgals3/Ifng/Sema4a/Lamb3/S100a4/Ctsd/Plxnc1/Ctsw/Cst7/Lgals1/S100a6/Egln1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",18,-0.561555842715463,-1.60204826905138,0.0268323428777238,0.0894411429257458,0.0564891429004711,1120,"tags=44%, list=18%, signal=36%","Grb2/Mapk1/Rps6ka3/Sos1/Vav3/Fos/Jun/Lyn"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",32,-0.457656763725522,-1.50643175084771,0.0364937388193202,0.104267825198058,0.0658533632829838,1630,"tags=53%, list=27%, signal=39%","Vav1/Pik3r1/Akt2/Ppp3cb/Pik3cd/Pik3ca/Raf1/Grb2/Mapk1/Itpr1/Nfatc2/Bcl2/Sos1/Ppp1r13b/Akt3/Itpr2/Lyn"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",14,0.542385726308198,1.51241437537093,0.0489667565139263,0.122416891284816,0.0773159313377784,1036,"tags=43%, list=17%, signal=36%","Lgals3/Sema4a/Plxnc1/Lgals1/Anxa2/Anxa6"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",25,-0.449567221808657,-1.39378663268137,0.0828550932568149,0.184122429459589,0.116287850185003,620,"tags=32%, list=10%, signal=29%","Rps6ka3/Ppp1r13b/Cyth3/Foxo3/Akt3/Itpr2/Dapp1/Lyn"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",15,-0.512650418731066,-1.39779033667981,0.0980887125856473,0.196177425171295,0.123901531687133,1588,"tags=60%, list=26%, signal=45%","Rbl2/Ptk2b/Akt2/Pik3cd/Pik3ca/Grb2/Mapk1/Sos1/Akt3"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",27,0.375964398315376,1.25000159892477,0.15870500339597,0.284090909090909,0.179425837320574,1076,"tags=37%, list=18%, signal=31%","Serpinb9/Ctse/Ctsd/Ctsw/Cst7/Egln1/Timp2/Ctsa/Serpinb1a/Serpinb6a"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",28,0.369877446128085,1.23717541618087,0.170454545454545,0.284090909090909,0.179425837320574,806,"tags=32%, list=13%, signal=28%","Ccl5/S100a13/Fasl/Ifng/S100a4/S100a6/S100a11/S100a10/Cxcl10"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",13,-0.437599504863881,-1.14386038411572,0.296008668954307,0.455397952237396,0.287619759307829,140,"tags=38%, list=2%, signal=38%","Fgl2/Podnl1/Spock2/Ints6l/Spp1"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",36,-0.317661430462249,-1.07202514739007,0.360007128854037,0.51429589836291,0.324818462123943,1133,"tags=31%, list=18%, signal=25%","Pak2/Grb2/Creb1/Rps6ka3/Tsc1/Sos1/Ppp1r13b/Cyth3/Foxo3/Akt3/Irs2"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",11,-0.42559549629182,-1.06018587255028,0.389141920204044,0.518855893605393,0.327698459119195,1588,"tags=64%, list=26%, signal=47%","Akt2/Pik3cd/Pik3ca/Grb2/Sos1/Cdkn1a/Akt3"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",28,-0.313294901759352,-0.99856326779688,0.455373081042485,0.569216351303106,0.359505063980909,475,"tags=32%, list=8%, signal=30%","Ccnd2/Nlk/Btrc/Apc/Senp2/Ccnd3/Lef1/Tcf7/Jun"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",16,0.337221604598124,0.977617874795471,0.488529014844804,0.574740017464476,0.362993695240721,1655,"tags=50%, list=27%, signal=37%","Cfl2/Wasl/Flna/Pfn1/Gdi2/Cfl1/Cdc42/Akt1"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",10,-0.383754822454185,-0.929294127283925,0.547270062293881,0.608077846993201,0.384049166522021,116,"tags=40%, list=2%, signal=39%","Ints14/Fgl2/Ints6l/Spp1"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",35,-0.271804359898983,-0.912189868372633,0.588570411251558,0.619547801317429,0.391293348200482,1630,"tags=40%, list=27%, signal=30%","Pik3r1/Akt2/Pik3cd/Pik3ca/Raf1/Foxo1/Grb2/Mapk1/Cbl/Rps6ka3/Sos1/Cyth3/Akt3/Irs2"
"SIG_CHEMOTAXIS","SIG_CHEMOTAXIS","SIG_CHEMOTAXIS",27,-0.2750307776445,-0.867890369236841,0.658549686660698,0.658549686660698,0.415926117890967,1771,"tags=48%, list=29%, signal=34%","Rps4x/Pik3r1/Akt2/Pik3cd/Rock1/Arhgap4/Pik3ca/Pak2/Itpr1/Ppp1r13b/Gdi1/Akt3/Itpr2"
