"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",167,0.599463128550851,2.83563706683654,6.03565296436708e-21,2.8971134228962e-19,1.39773016016922e-19,1477,"tags=63%, list=24%, signal=49%","Slc25a4/Idh3a/Ndufb4/Cox5b/Grpel1/Cox7b/Ndufb8/Timm17a/Cycs/Ndufb2/Mrps12/Ndufb7/Ndufv1/Tomm22/Ndufb6/Ndufa4/Ndufb1/Etfb/Cox17/Cyc1/Acadm/Ech1/Cox7a2/Atp5j/Atp5c1/Cox6b1/Mrpl35/Cox7c/Ndufa9/Atp5k/Uqcr10/Acaa2/Uqcrq/Cox5a/Ndufa7/Vdac2/Timm8b/Atp5j2/Cox6a1/Ndufc1/Uqcrb/Surf1/Cox6c/Ndufa8/Vdac3/Cox8a/Atp5h/Atp5l/Ndufs6/Atp6v1e1/Atp5g3/Ndufc2/Mrpl11/Ndufs8/Fdx1/Ndufa5/Mrps30/Ndufa1/Ndufb3/Idh3b/Atp5e/Mrps11/Atp5d/Sdhb/Mrpl15/Atp5g1/Uqcrh/Polr2f/Ndufa3/Atp6v1f/Atp5o/Cox4i1/Ndufv2/Sdhd/Timm13/Atp5g2/Ndufs2/Ndufab1/Atp5pb/Atp6v0e/Gpi1/Bax/Atp6v1g1/Etfdh/Uqcrfs1/Atp6ap1/Atp5b/Slc25a5/Echs1/Acadvl/Uqcr11/Ndufa2/Phb2/Eci1/Ndufb5/Pmpca/Fh1/Slc25a20/Slc25a3/Suclg1/Isca1/Ndufa6/Atp6v1c1/Atp6v0b/Uqcrc1"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",124,-0.596579899023312,-2.55736423443632,2.5920601926186e-14,6.22094446228464e-13,3.00133285461101e-13,545,"tags=35%, list=9%, signal=33%","Huwe1/Nfkbiz/Car2/Tnfrsf4/Bcl2/Galm/Ccnd3/Hipk2/Pou2f1/Hycc2/Cd44/Syngr2/P2rx4/Tnfrsf9/Dennd5a/Lclat1/Ctsz/Dhrs3/Penk/Il4ra/Phtf2/Rabgap1l/Nt5e/Rora/Ncoa3/Ikzf2/Tnfsf11/Lrig1/Il1r2/Ahr/Ikzf4/Spp1/Cyfip1/Sell/Il2ra/Myo1e/Itgav/Tiam1/Itgae/Swap70/Bmpr2/Il1rl1/Igf1r/Cd83"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",168,0.489399434686775,2.31671851355617,2.6055201698408e-11,4.16883227174528e-10,2.01127872759641e-10,1916,"tags=55%, list=31%, signal=39%","Eif1ax/Dut/Hdgf/Ssbp1/Psma4/Tyms/Cyc1/Psmb3/Cbx3/Psmd7/Tfdp1/Psmd1/Eif3j2/Cox5a/Eif3d/Mrpl9/Snrpb2/Ncbp2/Vdac3/Acp1/Ywhaq/Psma7/Kpnb1/Usp1/Cct5/Cops5/Nhp2/Psma2/Psmc4/Pgk1/Hprt/Snrpd2/Snrpa/Eif2s2/Mcm2/Ran/Snrpg/Impdh2/Snrpd1/Psmb2/Mcm7/Rrm1/Mcm6/Psma6/Mcm4/Hnrnpa3/Sf3a1/Tcp1/Ndufab1/Cdk4/Rsl1d1/Pcna/Snrpa1/Serbp1/Set/Nme1/Phb2/Psma1/Slc25a3/Ppia/Hspd1/Snrpd3/Trim28/Srsf7/Hspe1/Rpl34/Kars/Dek/Ranbp1/Clns1a/Canx/Eif3b/Cct3/C1qbp/Srsf2/Psmd8/U2af1/Rnps1/Cct2/Smarcc1/Bub3/Pcbp1/Ppm1g/Psmc6/Uba2/Psmd3/Orc2/Xpot/Nap1l1/Rpl18/Pa2g4/Tomm70a/Hnrnpa1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",132,0.499012299691926,2.27642840631308,2.71623475202891e-09,3.2594817024347e-08,1.57255696170095e-08,622,"tags=32%, list=10%, signal=29%","Bst2/Isg20/Isg15/Ifit3/Irf7/Zbp1/Ccl5/Casp3/Xaf1/Klrk1/Rnf213/Ddx60/Slamf7/Epsti1/Psmb10/Psmb9/Psmb8/Gbp9/Ifih1/Irf9/Casp1/Cd86/H2-M3/H2-Q7/Parp14/Ifit2/Psme1/Ifi35/Herc6/Gbp4/Samd9l/Trafd1/Pml/Gpr18/Trim26/Myd88/Psme2/Nmi/Rigi/Eif2ak2/Vamp8/Stat2"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",97,0.533862125841304,2.30684230309875,6.33814943123681e-09,6.08462345398734e-08,2.93556394709915e-08,1369,"tags=51%, list=22%, signal=40%","Rfc3/Rpa2/Dut/Polr2i/Nelfe/Zwint/Alyref/Guk1/Nudt9/Gtf2h5/Polr2h/Tyms/Cox17/Mrpl40/Polr2j/Nt5c3/Rbx1/Arl6ip1/Surf1/Ncbp2/Polr2k/Supt4a/Aprt/Rala/Edf1/Itpa/Eif1b/Snapc5/Hprt/Cetn2/Polr2g/Polr2f/Nudt21/Impdh2/Nt5c/Gtf2b/Rpa3/Sec61a1/Gtf2f1/Pcna/Bola2/Polr2c/Vps28/Prim1/Nme1/Ssrp1/Polr2d/Polr1h/Pom121"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",63,0.59537360943292,2.38504139540132,2.16016128887576e-08,1.7281290311006e-07,8.33746462373099e-08,876,"tags=54%, list=14%, signal=47%","Bst2/Isg20/Isg15/Ifit3/Irf7/Ddx60/Epsti1/Psmb9/Psmb8/Ifih1/Irf9/Casp1/Gbp2/Parp9/H2-Q7/Parp14/Ifit2/Psme1/Ifi35/Herc6/Samd9l/Trafd1/Trim26/Cd47/Psme2/Nmi/Eif2ak2/Stat2/Mov10/B2m/Cxcl10/Tap1/Cnp/Trim12c"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",114,-0.494678254997736,-2.08959416092598,4.20470134948544e-07,2.8832237825043e-06,1.39102901787488e-06,981,"tags=37%, list=16%, signal=32%","Ripk2/Per1/Nfe2l2/Map3k8/Birc2/Klf2/Tnip1/Nr4a1/Pde4b/Ptger4/Nampt/Bcl3/Gem/Nfkbia/Cdkn1a/Cebpb/Cd44/Fosl2/Ccrl2/Stat5a/Birc3/Tnfrsf9/Dusp1/Nr4a3/Dennd5a/Bcl6/Rel/Il6st/Tank/Ets2/Junb/Fosb/Il7r/Nfkb1/Plaur/Fos/Irs2/Zfp36/Jun/Cd80/Ifngr2/Cd83"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",68,-0.544875130286741,-2.10684420396822,2.80443996491269e-06,1.68266397894762e-05,8.11811568790516e-06,1445,"tags=49%, list=24%, signal=38%","Phf3/Zmiz1/Atrx/Mapk14/Prkca/Atp2b1/Cdk13/Nrp1/Rasa2/Tgfbr2/Add3/Nipbl/Wdr37/Slc7a1/Ythdc1/Sfmbt1/Dyrk1a/Mios/Mt1/Cdon/Nr3c1/Akt3/Dusp1/Map2k5/Runx1/Abcc1/Tgfbr3/Inpp4b/Nfkb1/Kit/Acvr2a/Igf1r/Plcb4"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",126,0.433871817679875,1.96389797975636,6.41377692696455e-06,3.42068102771443e-05,1.65032856600258e-05,1495,"tags=42%, list=24%, signal=32%","Birc5/Cks1b/Rfc3/H2ax/Stmn1/Orc6/Spc24/Pttg1/Rpa2/Dut/Racgap1/Hmgb2/Rrm2/Cks2/Pop7/Phf5a/Ncapd2/Mki67/Top2a/Ddx39a/Usp1/Cbx5/Lyar/Jpt1/Naa38/Gins4/Paics/Mcm2/Ran/Dnmt1/Nudt21/Exosc8/Mcm7/Mcm3/Mcm6/Mcm4/Tubb5/Rpa3/Cdk4/Pcna/Snrpb/Hells/Plk4/Nme1/Ssrp1/Ezh2/Tk1/Smc3/Dek/Ranbp1/Lmnb1/Dctpp1/Anp32e"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",127,0.372311032226932,1.68627880108493,0.000443601715381326,0.00212928823383036,0.00102728818298833,1073,"tags=28%, list=17%, signal=23%","Birc5/Cks1b/Hmgn2/H2ax/Stmn1/Orc6/Dtymk/Kif11/Pttg1/Rpa2/Ube2c/Racgap1/Nusap1/Cenpf/Cks2/Smc2/H2az2/Mki67/Pml/Kif15/Tfdp1/Incenp/Top2a/E2f3/Kpnb1/Prc1/Ddx39a/E2f4/Rbl1/Jpt1/Mcm2/Kmt5a/Snrpd1/Mcm3/Mcm6"
