"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",13,0.337962585617633,1.33835736411441,0.0854816824966079,0.756965694958931,0.756965694958931,47,"tags=23%, list=1%, signal=23%","Prf1/Fasl/Gzmb"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",11,-0.495307077387791,-1.28430937583107,0.14457698254915,0.756965694958931,0.756965694958931,1580,"tags=55%, list=29%, signal=39%","Crim1/Lamc1/Ints14/Spp1/Ints6l/Fn1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",16,-0.436647634287927,-1.23502010685309,0.179508890770533,0.756965694958931,0.756965694958931,2754,"tags=81%, list=51%, signal=40%","Rac1/Bcr/Vav3/Grb2/Atf2/Jun/Mapk8ip3/Mapk1/Map2k1/Lyn/Rps6ka1/Sos1/Fos"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",27,0.229582079658459,1.21939878477001,0.161616161616162,0.756965694958931,0.756965694958931,225,"tags=19%, list=4%, signal=18%","Ccl5/Fasl/Ifng/Fgf13/S100a4"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",14,-0.43879162438758,-1.20405063611051,0.218760038548024,0.756965694958931,0.756965694958931,2157,"tags=57%, list=40%, signal=34%","Mfap3/Podnl1/Crim1/Lamc1/Ints14/Spp1/Ints6l/Fn1"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",10,-0.467268567196697,-1.18430285944716,0.243351955307263,0.756965694958931,0.756965694958931,2797,"tags=90%, list=52%, signal=43%","Akt3/Pik3ca/Grb2/Map2k2/Akt2/Map2k1/Akt1/Sos1/Cdkn1a"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",25,-0.375240330318198,-1.15431878165042,0.264937993235626,0.756965694958931,0.756965694958931,2058,"tags=56%, list=38%, signal=35%","Egln2/Adam8/Egln1/Adam17/Adam9/Ctsb/Ctss/Ky/Ctsa/Cst3/Adam10/Adamts6/Cstb/Ctsz"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",36,-0.334209471710459,-1.08655817483322,0.348935740946232,0.869276743634975,0.869276743634975,2806,"tags=69%, list=52%, signal=33%","Ywhag/Rps6kb1/Akt3/Pik3ca/Pak2/Ppp1r13b/Ywhaz/Grb2/Ywhaq/Gsk3b/Ywhae/Bcl2l1/Akt2/Foxo3/Tsc1/Akt1/Ifi27/Rps6ka1/Ebp/Sos1/Ywhah/Cyth3/Ywhab/Nolc1/Irs2"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",32,-0.313319051198192,-1.00135311127285,0.495791501876077,0.869276743634975,0.869276743634975,2806,"tags=62%, list=52%, signal=30%","Ywhag/Rps6kb1/Akt3/Pik3ca/Ywhaz/Grb2/Ywhaq/Cbl/Gsk3b/Ywhae/Akt2/Mapk1/Cap1/Akt1/Rps6ka1/Sos1/Ywhah/Cyth3/Ywhab/Irs2"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",21,-0.330054011489124,-0.983197286744239,0.517112632233976,0.869276743634975,0.869276743634975,2587,"tags=62%, list=48%, signal=32%","Pik3ca/Mapkapk5/Traf2/Map2k4/Mapk14/Mapk8/Mapk8ip3/Mapk1/Dusp1/Nfkbie/Nfkb1/Nfkb2/Nfkbia"
