"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",114,-0.418298882763924,-1.51720378364684,0.000166644500018762,0.00799893600090059,0.0063149494743952,1337,"tags=40%, list=25%, signal=31%","Pim1/Tnfrsf4/Pou2f1/Ikzf4/Snx14/Penk/Socs1/Itgav/Myo1e/Ccnd2/Hipk2/Wls/Plagl1/Spp1/Ahnak/Map3k8/Dcps/Il1r2/Ahr/Il2ra/Gpx4/Il4ra/Lrig1/Furin/P2rx4/Itgae/Tiam1/Gadd45b/Swap70/Syngr2/Cd44/Cd83/St3gal4/Capg/Nfkbiz/Spred2/Rnh1/Ctsz/Cxcl10/Arl4a/Il1rl1/Plscr1/Igf1r/Bmpr2/Cd81/Cyfip1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",160,-0.383598983223546,-1.42141576802901,0.00038961728125617,0.00935081475014809,0.00738222217116955,2359,"tags=60%, list=44%, signal=35%","Mcm4/Psma1/Clns1a/Set/Snrpb2/Canx/Psmd1/Ywhaq/Eif1ax/Ppm1g/Hspd1/Nme1/Cct5/Srsf3/Psmb2/Syncrip/Psmd14/Snrpd1/Ranbp1/Ube2e1/Kpnb1/Cct2/Ndufab1/Uba2/Ywhae/Hnrnpu/Tcp1/Psmc4/Snrpa1/Hnrnpd/Cbx3/Xpo1/Ap3s1/Srsf2/G3bp1/Eif3b/Hdgf/Sf3b3/Erh/Iars/Srpk1/Fbl/Txnl4a/Mcm7/Rsl1d1/Got2/Eif2s2/Trim28/Smarcc1/Psma4/Ube2l3/Pcbp1/Cul1/Rad23b/Fam120a/U2af1/Nop56/Psma6/Eif4g2/Ddx21/Cdk4/Ptges3/Rnps1/Psmc6/Tomm70a/Tardbp/Cct4/Ifrd1/Eif3j1/Eif4a1/Phb2/Ilf2/Ssb/Lsm2/Gnl3/Vdac3/Cct7/Cct3/Etf1/Snrpd3/Acp1/Eprs/Ncbp1/Kars/Vdac1/Abce1/Psmd8/Gspt1/Nolc1/Lsm7/Ssbp1/Eif4e/Glo1/Eif2s1/Ddx18/Pabpc4"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",62,-0.461493945495814,-1.59112513205185,0.00113358232540693,0.0181373172065108,0.0143189346367191,1766,"tags=58%, list=33%, signal=39%","Ap3s1/Uso1/Mapk1/Vamp4/Tsg101/M6pr/Krt18/Kif1b/Snx2/Arfgef2/Stx16/Stx7/Sec22b/Dnm1l/Ap2m1/Stx12/Clcn3/Rab14/Arf1/Copb1/Copb2/Adam10/Ap1g1/Arcn1/Sec31a/Tmed10/Atp1a1/Cltc/Vamp3/Scamp3/Ppt1/Rab22a/Lamp2/Sgms1/Dst/Cd63"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",107,-0.393854869288582,-1.42112642804141,0.002,0.024,0.0189473684210526,1121,"tags=38%, list=21%, signal=31%","Atp2b1/Pdlim5/Nfkbie/Zc3h12a/Areg/Fosl2/Sat1/Nr4a1/Tnfaip8/Icam1/Nfkb1/Tgif1/Map3k8/Zfp36/Smad3/Nfkb2/Gem/Junb/Cebpb/Rnf19b/Mcl1/Ier2/Plaur/Gadd45b/Dusp4/Ier5/Cd44/Cd83/Fos/Nfkbia/Nfe2l2/Cflar/Rela/Nampt/Irs2/Ccrl2/Cxcl10/Fosb/Klf10/Cdkn1a/Ifngr2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",63,-0.418205958301871,-1.44401487653849,0.00850936029632596,0.0816898588447292,0.0644919938247862,1474,"tags=46%, list=27%, signal=34%","Jak2/Endod1/Krt18/Svil/Nrip1/Bag1/Tmem164/Med13l/Areg/Slc2a1/Slc24a3/Retreg1/Mybbp1a/Tbc1d30/Lrig1/Gab2/Fkbp4/Tiam1/Cd44/Aff1/Fos/Krt8/Rara/Flnb/Sh3bp5/Nav2/Klf10/Mast4/Igf1r"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",30,-0.487502789438995,-1.53990865369253,0.0109655802619555,0.0877246420956442,0.0692562963912981,1073,"tags=43%, list=20%, signal=35%","Map3k7/Ctnnb1/Hipk2/Sptbn1/Tgif1/Smad3/Junb/Furin/Skil/Tgfbr1/Klf10/Bmpr2/Ifngr2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",36,-0.445588301585728,-1.44473084682019,0.0243360597798647,0.11681308694335,0.0922208581131714,1484,"tags=44%, list=28%, signal=32%","Lamc1/Notch2/Mcm7/Itgav/Areg/Sat1/Spp1/Flna/Gem/Plaur/Gadd45b/Cd44/Basp1/Capg/Dst/Fn1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",70,-0.389892284928921,-1.3592162882154,0.0232139283570142,0.11681308694335,0.0922208581131714,1130,"tags=40%, list=21%, signal=32%","Nop56/Calr/Hspa5/Cebpg/Cnot6/Tatdn2/Serp1/Banf1/Spcs1/Eif4a1/Herpud1/Eif4a3/Paip1/Lsm1/Srpr/Sec31a/Mtrex/Spcs3/Ssr1/Khsrp/Cebpb/Ero1a/Nolc1/Pdia6/Eif4g1/Eif4e/Hspa9/Eif2s1"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",87,-0.37403971549012,-1.32829082887913,0.0211084433773509,0.11681308694335,0.0922208581131714,1607,"tags=45%, list=30%, signal=32%","Gtf2b/Dad1/Nudt21/Gtf2h1/Mpc2/Tsg101/Dguok/Bcap31/Polb/Polr2f/Rpa3/Polr1h/Guk1/Polr2k/Edf1/Sec61a1/Rala/Polr3c/Eloa/Tk2/Trp53/Polr2e/Rrm2b/Rae1/Gtf2f1/Aprt/Gtf2a2/Polr2g/Srsf6/Polr2j/Ell/Sdcbp/Ddb1/Gpx4/Pold4/Pom121/Sf3a3/Rnmt/Polr2c"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",118,-0.357653353977148,-1.30067330010955,0.0192,0.11681308694335,0.0922208581131714,2359,"tags=57%, list=44%, signal=33%","Mcm4/Psma3/Tfrc/Cxcr4/Pdk1/Tbk1/Canx/Dapp1/Hspd1/Cyb5b/Ppp1r15a/Stip1/Psmd14/Sqstm1/Hmgcr/Gsk3b/Nufip1/Mthfd2/Psmc4/Hspa4/Uso1/Map2k3/Arpc5l/Uchl5/Atp6v1d/Gtf2h1/Acaca/Got1/M6pr/Eif2s2/Prdx1/Psma4/Rab1a/Tes/Calr/Hspa5/Tcea1/Immt/Serp1/Sc5d/Psmc6/Slc2a1/Ifrd1/Ebp/Psmb5/Ddx39a/Cct6a/Pfkl/Nmt1/Psmc2/Ssr1/Ufm1/Etf1/Acly/Eprs/Ero1a/Gmps/Nampt/Pdap1/Psmd12/Slc6a6/Hspa9/Txnrd1/Skap2/Rpn1/Elovl6/Cdkn1a"
