"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",12,0.576942801581081,1.3994099583979,0.0575409487343118,0.520227348712805,0.520227348712805,1442,"tags=58%, list=26%, signal=43%","Plxdc2/Lgals9/Anxa5/Lgals8/Lgals1/Sema6d/Lgals3"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",11,0.573925948890192,1.36761049474816,0.0740023663547381,0.520227348712805,0.520227348712805,1881,"tags=64%, list=34%, signal=42%","Spp1/Fn1/Fgl2/Crim1/Lamc1/Mfap3/Ints14"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",38,0.445296634576544,1.27754898428084,0.0780341023069208,0.520227348712805,0.520227348712805,1108,"tags=32%, list=20%, signal=25%","Irs2/Ywhab/Nolc1/Ebp/Ywhah/Ywhag/Ywhaq/Cyth3/Ifi27/Gsk3a/Ywhae/Akt1"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",14,0.510377870477804,1.2764406104823,0.130521247644965,0.652606238224827,0.652606238224827,1881,"tags=57%, list=34%, signal=38%","Spp1/Fn1/Fgl2/Crim1/Lamc1/Podnl1/Mfap3/Ints14"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",78,0.377198504894789,1.14683772247133,0.164583541645835,0.658334166583342,0.658334166583342,1643,"tags=44%, list=30%, signal=31%","Cxcl10/Areg/Spp1/Cst3/Plxdc2/Ctsz/Tnfsf11/Cstb/Ky/Fn1/S100a13/Lgals9/Adam9/Ctsa/Adam8/Anxa5/Xcl1/Fgl2/Ccl1/Lgals8/Crim1/Zfp91/Lamc1/Lgals1/S100a6/Ctsc/Sema6d/Podnl1/Ctse/Lgals3/Ctsd/Ctsb/Mfap3/Tnfsf8"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",34,0.392965826643992,1.11508532790651,0.284394456718217,0.934875012650541,0.934875012650541,1108,"tags=26%, list=20%, signal=21%","Irs2/Ywhab/Ywhah/Ywhag/Ywhaq/Cyth3/Gsk3a/Ywhae/Akt1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",26,0.389545295854493,1.07062089391942,0.373950005060217,0.934875012650541,0.934875012650541,614,"tags=27%, list=11%, signal=24%","Cst3/Ctsz/Cstb/Ky/Adam9/Ctsa/Adam8"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",64,0.355476397450802,1.067325842663,0.3445,0.934875012650541,0.934875012650541,1643,"tags=42%, list=30%, signal=30%","Cxcl10/Areg/Cst3/Plxdc2/Ctsz/Tnfsf11/Cstb/Ky/S100a13/Lgals9/Adam9/Ctsa/Adam8/Anxa5/Xcl1/Ccl1/Lgals8/Zfp91/Lgals1/S100a6/Ctsc/Sema6d/Ctse/Lgals3/Ctsd/Ctsb/Tnfsf8"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",11,0.419043241629549,0.998539857126249,0.491233731311176,0.991498836150187,0.991498836150187,2436,"tags=55%, list=45%, signal=30%","Cdkn1a/Map2k1/Akt1/Rhoa/Map2k2/Grb2"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",16,0.36252948831978,0.926650341495438,0.616855450483217,0.991498836150187,0.991498836150187,480,"tags=19%, list=9%, signal=17%","Fos/Lyn/Map2k1"
