"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",166,0.521313971867768,1.65414014233881,1.75363450254764e-10,8.41744561222868e-09,4.06104832168927e-09,1920,"tags=69%, list=35%, signal=46%","Ddx18/Acp1/Nolc1/Mcm2/Eif2s1/Nhp2/Pabpc4/Cdk4/Cyc1/Vdac1/Lsm7/Snrpd3/Trim28/Ccna2/Eif4e/Ssbp1/Eif1ax/Hdgf/Nme1/Rnps1/Vdac3/Impdh2/Fbl/Psmd8/Ranbp1/Gspt1/Eif4h/Psmd1/Eif4a1/Cct3/Pcbp1/Txnl4a/Lsm2/Phb2/Ifrd1/Glo1/Snrpd1/U2af1/Ywhaq/Abce1/Eprs/Cct7/Ndufab1/Psma6/Psmc6/Kars/Mcm5/Mcm7/Psma4/Nop56/Mrpl23/Mcm4/Snrpa/Eif2s2/Tcp1/Rsl1d1/Odc1/Ran/Canx/Cct4/Gnl3/Set/C1qbp/Uba2/Tyms/Cct2/Iars/Kpnb1/Psmc4/Snrpa1/Psma7/Ddx21/H2az1/Ldha/Eif3j1/Pa2g4/Ube2l3/Cct5/Erh/Ywhae/Srsf2/Ssb/Etf1/Tomm70a/Psma1/Smarcc1/Snrpb2/Hnrnpu/Ptges3/Ppm1g/G3bp1/Cops5/Srsf1/Psma2/Sf3b3/Psmb2/Pcna/Clns1a/Rrm1/Mrpl9/Psmd14/Eif3d/Cnbp/Srsf3/Mcm6/Ilf2/Rad23b/Cbx3/Eif4g2/Hnrnpa3/Slc25a3/Ube2e1/Pgk1/Ap3s1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",107,0.504132229462127,1.56605901225747,2.08086862312601e-06,2.82722268780499e-05,1.36401094587083e-05,1738,"tags=58%, list=32%, signal=40%","Cxcl10/Cdkn1a/Irs2/Fosb/Areg/Ifngr2/Klf10/Plaur/Ccrl2/Nr4a1/Gadd45b/Rnf19b/Dusp4/Fos/Nfkbia/Sod2/Cd44/Cd80/Gem/Map3k8/Smad3/Nfil3/Ier5/Ier2/Zc3h12a/Tnfaip8/Nfkb2/Tgif1/Cebpb/Cflar/Tiparp/Id2/Pdlim5/Nfkb1/Bhlhe40/Nampt/Ccnl1/Kdm6b/B4galt5/Atp2b1/Nfe2l2/Spsb1/Zfp36/Map2k3/Nfkbie/Fosl2/Dusp1/Birc3/Ehd1/Icam1/Junb/Dusp5/Mcl1/Sqstm1/Tnfrsf9/Cd83/Egr1/Ppp1r15a/Il7r/Rel/Gch1/Relb"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",116,0.501779224168353,1.56544580816115,1.84011280367291e-06,2.82722268780499e-05,1.36401094587083e-05,895,"tags=36%, list=16%, signal=31%","Cxcl10/Furin/Arl4a/Plscr1/Cd81/Il1rl1/Spred2/Igf1r/Bmpr2/Il1r2/Capg/Spp1/Plagl1/Cyfip1/Gadd45b/Syngr2/Ctsz/Rnh1/Tnfsf11/Il2ra/Nfkbiz/Gpr65/Myo1e/Cd44/Gpx4/Map3k8/P2rx4/Ahr/Nfil3/Penk/Ifitm3/Dhrs3/Tnfrsf4/Dcps/Mapkapk2/Car2/Odc1/Pim1/Itgav/Bhlhe40/Il4ra/Fgl2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",120,0.499840783058929,1.56157598461729,2.35601890650416e-06,2.82722268780499e-05,1.36401094587083e-05,2037,"tags=68%, list=37%, signal=44%","Cdkn1a/Rpn1/Slc6a6/Txnrd1/Fkbp2/Sdf2l1/Hspa9/Mcm2/Ebp/Pdap1/Ero1a/Calr/Psmc2/Elovl6/Ufm1/Ddx39a/Ssr1/Cct6a/Hspa5/Nfil3/Psmb5/Acly/Gmps/Psmd12/Stard4/Hmgcr/Ifrd1/Skap2/Eprs/Serp1/Psmc6/Hsp90b1/Psma4/Mcm4/Eif2s2/Ddit4/Canx/M6pr/Bhlhe40/Arpc5l/Nampt/Fgl2/Eno1/Cyb5b/Tpi1/Tes/Psmc4/Psme3/Ldha/Sytl2/Rab1a/Etf1/Map2k3/Sc5d/Ykt6/Nmt1/Tfrc/Got1/Prdx1/Atp2a2/Ctsc/Cops5/Sqstm1/Cxcr4/Slc2a1/Immt/Atp5g1/Ppp1r15a/Tcea1/Psmd13/Psmd14/Glrx/Dapp1/Psma3/Qdpr/Cacybp/Pgk1/Pfkl/Hprt/Pdk1/Nfkbib/Niban1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",137,0.47789205927741,1.50156105482843,4.87356122671145e-06,4.67861877764299e-05,2.25722835763478e-05,1974,"tags=67%, list=36%, signal=44%","Por/Hspa9/Atp6v0b/Fdx1/Cyc1/Polr2f/Grpel1/Vdac1/Gpx4/Ndufs2/Vdac3/Acat1/Atp6v0c/Hsd17b10/Uqcrb/Atp6v0e/Timm13/Sdhd/Atp6v1g1/Ndufv1/Cycs/Ndufb2/Cyb5a/Phb2/Suclg1/Etfb/Ndufb8/Ndufab1/Uqcr11/Etfa/Ndufa4/Tomm22/Vdac2/Sdhb/Lrpprc/Ndufb6/Idh3b/Cox6a1/Uqcrc1/Acaa1a/Cox10/Atp5k/Ndufs6/Ndufa8/Ldha/Timm8b/Atp5pb/Iscu/Ndufc2/Ndufb3/Atp6v1e1/Atp5j2/Tomm70a/Ndufs8/Ndufc1/Atp5o/Ndufa7/Mdh2/Ndufb5/Ndufa9/Ndufa5/Opa1/Ndufs3/Atp5j/Uqcr10/Ndufa3/Uqcrfs1/Atp5d/Sdhc/Cox7a2/Atp5b/Ndufv2/Casp7/Immt/Atp6ap1/Atp5g1/Mrpl15/Etfdh/Mdh1/Ndufa2/Atp5a1/Dld/Bax/Mpc1/Ech1/Slc25a11/Atp6v1c1/Slc25a3/Cox5b/Cox7a2l/Atp6v1f/Slc25a4"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",84,0.524744388531414,1.60534146496656,6.87825982753889e-06,5.50260786203111e-05,2.65476695097992e-05,1620,"tags=63%, list=30%, signal=45%","Ddb1/Polr2c/Polr2f/Gpx4/Nme1/Edf1/Impdh2/Ssrp1/Rpa3/Pold4/Tmed2/Rnmt/Sec61a1/Gtf2f1/Pom121/Aprt/Lig1/Polr2e/Rala/Zwint/Alyref/Mpc2/Sf3a3/Nudt21/Dad1/Nelfe/Sdcbp/Polr1h/Pold3/Tyms/Rfc2/Rbx1/Polr2k/Tsg101/Bcap31/Polr2g/Eloa/Nt5c/Pole4/Gtf2a2/Gtf2h5/Rfc3/Trp53/Gtf2b/Polr2i/Polr1d/Polb/Eif1b/Dctn4/Pcna/Ell/Polr2j/Srsf6"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",36,0.62123901261164,1.76775727848186,1.63887301524591e-05,0.000112379863902577,5.4218355391594e-05,1030,"tags=56%, list=19%, signal=45%","Basp1/Areg/Dst/Capg/Spp1/Plaur/Gadd45b/Cd44/Gem/Fn1/Flna/Emp3/Notch2/Vim/Id2/Mcm7/Copa/Itgav/Lamc1/Lgals1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",69,0.524275268063388,1.58217682395655,6.59921266447253e-05,0.000395952759868352,0.000191029840287363,836,"tags=41%, list=15%, signal=35%","Pdia6/Nolc1/Hspa9/Spcs3/Eif2s1/Herpud1/Nhp2/Banf1/Ero1a/Calr/Dctn1/Spcs1/Eif4e/Ssr1/Hspa5/Eif4g1/Eif4a1/Eif4a3/Cebpb/Cks1b/Serp1/Hsp90b1/Nop56/Ddit4/Sec31a/Khsrp/Nfya/Atf6"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",129,0.457809701912038,1.43497670382053,0.000130368783663072,0.000695300179536384,0.000335451841004396,1890,"tags=57%, list=35%, signal=38%","Cdkn1a/Nolc1/Mcm2/Eif2s1/Cdk4/Ak2/Ddx39a/Dctpp1/Naa38/Nme1/Cbx5/Ssrp1/Rpa3/Paics/Top2a/Ranbp1/Gspt1/Mcm3/Orc6/Lig1/Cks2/Cks1b/Mcm5/Mcm7/Nop56/Mcm4/Msh2/Ran/Birc5/Nudt21/Rfc1/Lyar/Hells/Pold3/Psip1/Rfc2/Spc24/H2az1/Pa2g4/Asf1b/Tipin/Cit/Srsf2/Dnmt1/Cdk1/Snrpb/Plk4/Cdca3/Ccnb2/Tfrc/Pole4/Pttg1/Rad50/Rfc3/Trp53/Srsf1/Mki67/Nup107/Cdca8/Ncapd2/Pcna/Ing3/Brca1/Phf5a/Stmn1/Ipo7/Mcm6/Smc1a/Tacc3/Jpt1/Mre11a/Pnn/Diaph3/Exosc8"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",72,0.50158129011677,1.51940900783562,0.000312150510348751,0.00149832244967401,0.000722874866070792,1974,"tags=64%, list=36%, signal=41%","Furin/Rpn1/Fosb/Nr4a1/Pdap1/Grpel1/Fos/Nfkbia/Sod2/Lyn/Bsg/Ppp1r2/Rrad/Cdc34/Prkcd/Plcl1/Psmc3/Mrpl23/Grina/Car2/Ppt1/Cyb5b/Acaa1a/Ddx21/Chka/Ykt6/Hnrnpu/Tfrc/Icam1/Junb/Nxf1/Ap2s1/Parp2/Sqstm1/Eif2s3x/Selenow/Eif5/Ppat/Gch1/Amd1/Cebpg/Atp6v1c1/H2ax/Tmbim6/Atp6v1f/Slc25a4"
