"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",21,-0.358237885462555,-1.61415830458411,0.00617362133839076,0.123472426767815,0.123472426767815,3664,"tags=100%, list=64%, signal=36%","Mapkapk5/Traf2/Nfkbia/Map2k7/Nfkbib/Mapk8ip3/Nfkbie/Mapk8/Map2k4/Mapk14/Mapk1/Pik3ca/Traf5/Pik3r1/Mapk9/Traf6/Dusp1/Pik3cd/Traf3/Nfkb1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",16,-0.310366506664956,-1.27834519554486,0.118012422360248,0.840437268077425,0.840437268077425,236,"tags=38%, list=4%, signal=36%","Vav1/Rps6ka3/Vav3/Fos/Lyn/Jun"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",12,0.53332516708997,1.25634201346529,0.146590184831103,0.840437268077425,0.840437268077425,1768,"tags=50%, list=31%, signal=35%","Lgals9/Lgals8/Lgals3/Anxa5/Lgals1/Anxa2"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",38,0.42780111457892,1.18321723227954,0.168087453615485,0.840437268077425,0.840437268077425,1825,"tags=37%, list=32%, signal=25%","Ywhag/Ywhab/Ebp/Ywhah/Ywhaq/Akt1/Nolc1/Ifi27/Gsk3a/Ywhae/Ywhaz/Bcl2l1/Rps6ka1/Cdc42"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",11,0.495215238060478,1.14586807504144,0.278542248978714,0.963198941577885,0.963198941577884,1509,"tags=45%, list=26%, signal=33%","Akt1/Map2k1/Map2k2/Rhoa/Cdkn1a"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",23,-0.221845481722832,-1.06310323710995,0.328767123287671,0.963198941577885,0.963198941577884,571,"tags=43%, list=10%, signal=39%","Prex1/Foxo3/Vav1/Ppp1r13b/Rps6ka3/Itpr1/Itpr2/Akt3/Dapp1/Lyn"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",34,0.385903163593122,1.05691151898902,0.393653344044989,0.963198941577885,0.963198941577884,1825,"tags=32%, list=32%, signal=22%","Ywhag/Ywhab/Ywhah/Ywhaq/Akt1/Cap1/Gsk3a/Ywhae/Ywhaz/Rps6ka1/Cdc42"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",16,0.421929695030695,1.04952449349737,0.424070247933884,0.963198941577885,0.963198941577884,3075,"tags=81%, list=54%, signal=37%","Flna/Wasl/Akt1/Actr2/Rock2/Cdc42/Vasp/Actr3/Cfl1/Pfn1/Gdi2/Gdi1/Actg1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",24,0.387066708199741,1.01958072324759,0.473897207608256,0.963198941577885,0.963198941577884,1174,"tags=33%, list=21%, signal=27%","Cstb/Egln1/Ctsa/Ctse/Ctsd/Ctsb/Egln2/Adam10"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",30,-0.189030986187196,-0.995420073889078,0.520547945205479,0.963198941577885,0.963198941577884,571,"tags=33%, list=10%, signal=30%","Inpp5d/Nfatc2/Vav1/Pik3cd/Ppp1r13b/Itpr1/Itpr2/Bcl2/Akt3/Lyn"
