"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",147,0.573013653200334,1.73094890371735,3.07667208674086e-12,1.38450243903339e-10,9.71580658970797e-11,1982,"tags=79%, list=35%, signal=53%","Grpel1/Tomm22/Atp6v1e1/Atp6v0b/Vdac3/Cycs/Ndufv1/Timm8b/Idh3a/Ndufb2/Ndufs8/Atp6v0c/Ndufb8/Ndufs2/Uqcrb/Sdhd/Vdac2/Atp6v0e/Atp6v1g1/Mrpl15/Acaa1a/Polr2f/Ndufa4/Ndufc1/Ndufb6/Por/Hspa9/Sdhb/Suclg1/Cyc1/Phb2/Timm13/Ndufa8/Slc25a4/Mrps15/Ndufb5/Vdac1/Uqcr11/Ndufa7/Cox6a1/Atp5j/Ndufb3/Atp5k/Acat1/Ech1/Ndufc2/Uqcrc1/Cox5b/Ndufab1/Atp5g3/Atp5o/Atp5pb/Ndufs6/Idh3b/Ndufv2/Tomm70a/Ndufa5/Atp5j2/Ndufa3/Etfa/Atp5g1/Atp5c1/Fdx1/Ndufb7/Iscu/Uqcrfs1/Ndufa9/Ndufs3/Etfb/Ndufs7/Mdh2/Cox17/Pdha1/Uqcr10/Cox7a2/Cox7b/Cox6b1/Cpt1a/Cox5a/Atp6v1f/Sdhc/Lrpprc/Bax/Gpx4/Aco2/Ndufa2/Atp6v1c1/Uqcrq/Mdh1/Atp5d/Ndufb1/Surf1/Atp6ap1/Cyb5a/Ndufa6/Dld/Immt/Hadha/Atp5h/Opa1/Cox6c/Atp5b/Ndufs1/Got2/Ndufa1/Hccs/Atp6v1d/Sucla2/Etfdh/Cox7a2l/Slc25a3/Slc25a11/Atp5a1/Cox7c/Afg3l2/Gpi1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",167,0.528522660572597,1.60626219675984,4.01647496266409e-09,9.0370686659942e-08,6.34180257262751e-08,1914,"tags=68%, list=34%, signal=47%","Ssbp1/Acp1/Ddx18/Pabpc4/Eif1ax/Vdac3/Hdgf/Psma4/Psmd8/Kars/Snrpd3/Eif2s1/Eif4e/Cct3/Cbx3/Erh/Cyc1/Cdk4/Eif2s2/Phb2/Psma6/Psmd1/Psmc4/Lsm7/Mcm7/Vdac1/Snrpb2/Cct5/Lsm2/Eif4h/Kpnb1/Cct7/Rsl1d1/Glo1/Ywhaq/Psma7/Rnps1/Psmc6/Nhp2/Snrpd1/U2af1/Ndufab1/Trim28/Tomm70a/Psma2/Tcp1/Psmb2/Ddx21/Psmb3/Snrpa1/Pcbp1/Smarcc1/Mcm4/Nolc1/Nme1/Ranbp1/Cops5/Eif4a1/Mrpl9/Nop56/Eif3b/Set/Srsf2/Cct4/Gspt1/Snrpa/Sf3a1/Ssb/Hspd1/Srsf1/Cct2/Psma1/Cox5a/Ube2l3/Txnl4a/Eif3d/Ran/Abce1/Clns1a/Hnrnpa3/Canx/Uba2/Eif3j1/Eif4g2/Ppm1g/C1qbp/Impdh2/Hprt/Ncbp1/Ptges3/Hnrnpu/Pcna/Ywhae/Hnrnpd/Xpo1/Mcm2/Cul1/Fam120a/Psmd14/Ccna2/Pgk1/Usp1/Dut/Iars/Ilf2/Mcm6/Bub3/Srsf3/Got2/Etf1/Fbl/Ap3s1/Slc25a3/Snrpd2"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",90,0.565444337716065,1.66744832398942,1.16978459865085e-07,1.75467689797627e-06,1.23135220910615e-06,1761,"tags=67%, list=31%, signal=47%","Polr2c/Polr2j/Guk1/Aprt/Polr2k/Edf1/Polr2g/Pom121/Rala/Alyref/Zwint/Polr2f/Gtf2h5/Gtf2f1/Rbx1/Ddb1/Rpa3/Pold4/Sdcbp/Sec61a1/Rnmt/Nelfe/Nudt21/Rfc3/Ell/Eif1b/Polr1d/Gtf2b/Polr1h/Sf3a3/Mpc2/Polr2i/Gtf2a2/Nme1/Rae1/Ssrp1/Bcap31/Nelfb/Cox17/Nt5c/Polr2e/Eloa/Gpx4/Taf12/Gtf2h1/Snapc5/Impdh2/Hprt/Taf10/Tsg101/Dguok/Pcna/Surf1/Dctn4/Dad1/Polb/Srsf6/Dut/Trp53/Supt5"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",96,0.521490442849985,1.54249138280163,1.94080038862241e-05,0.000218340043720021,0.000153221083312295,1660,"tags=57%, list=29%, signal=41%","Grpel1/Ywhag/Idh3a/Ppp1r15b/Samm50/Acly/Nmt1/Dnajb9/Arl4a/Mrpl15/Cmpk1/Mtarc2/Por/Gpat4/Sdhb/Suclg1/Cyc1/Rnf11/Uqcr11/Cox6a1/Ech1/Uqcrc1/Tkt/Mtch2/Ndufab1/Atp5o/Ndufa5/Acadl/Cat/Ndufb7/Ndufs3/Etfb/Mdh2/Ak2/G3bp2/Rreb1/Uqcr10/Ccng2/Cox7b/Sdhc/Sod1/Gpx4/Lpcat3/Reep5/Aco2/Uqcrq/Qdpr/Scp2/Dld/Immt/Preb/Pfkl/Taldo1/Ptcd3/Ghitm"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",122,0.485250201032689,1.45363121011492,4.79877331544161e-05,0.000431889598389745,0.000303080419922628,1982,"tags=58%, list=35%, signal=39%","Ufm1/Psmd12/Pdap1/Ebp/Rpn1/Psmc2/Txnrd1/Psma4/Ddx39a/Slc6a6/Psmb5/Eno1/Acly/Nmt1/Cct6a/Cyb5b/Ykt6/Ssr1/Hspa9/Sdf2l1/Eif2s2/Stard4/Gmps/Fkbp2/Psmc4/Ddit3/Hmgcr/Hspa5/Psmc6/Hsp90b1/Atp2a2/Arpc5l/Atp5g1/Psme3/Rab1a/Mcm4/Cops5/Prdx1/Tes/Cacybp/Hspd1/Calr/Map2k3/M6pr/Tcea1/Canx/Gtf2h1/Serp1/Hprt/Sc5d/Psmd13/Nfil3/Actr2/Cdkn1a/Qdpr/Mcm2/Immt/Pfkl/Psma3/Uso1/Psmd14/Pgk1/Pitpnb/Sqstm1/Tpi1/Etf1/Atp6v1d/Nufip1/Acaca/Aldoa/Gpi1"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",43,0.544864662199806,1.52302339320103,0.00139330240009082,0.00895694400058384,0.00628557473725181,1530,"tags=53%, list=27%, signal=39%","Ssr3/Acp1/Adh5/Pgrmc1/Slc6a6/Kars/Nmt1/Por/Ppard/Tmbim6/Psmb10/Pts/Ech1/Atp2a2/Sar1b/Cat/Pdlim5/Arpp19/Aco2/Hprt/Ptges3/Cyb5a/Dhps"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",73,0.493873735068392,1.43858137029346,0.0013347291603533,0.00895694400058384,0.00628557473725181,2023,"tags=59%, list=36%, signal=38%","Pdia6/Lsm1/Spcs1/Dnajb9/Eif2s1/Eif4e/Ssr1/Hspa9/Sec31a/Banf1/Eif4a3/Srpr/Spcs3/Hspa5/Dctn1/Nhp2/Eif4g1/Hsp90b1/Khsrp/Imp3/Nolc1/Herpud1/Eif4a1/Nop56/Lsm4/Calr/Nfyb/Tatdn2/Mtrex/Serp1/Paip1/Ywhaz/Edc4/Preb/Cebpg/Cxxc1/Exosc5/Iars/Dcp2/Cks1b/Exosc10/Gosr2/Atf6"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",30,0.572324818866205,1.54443491737593,0.00221506242448651,0.0124597261377366,0.00874366746507832,1258,"tags=50%, list=22%, signal=39%","Sod2/Txnrd1/Lamtor5/Selenos/Ndufs2/Prdx2/Glrx2/Cat/Prdx1/Txn1/Egln2/Sod1/Atox1/Gpx4/Cdkn2d"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",57,0.495569510040682,1.41866384959377,0.00450180072028811,0.0202581032412965,0.0142162128009098,2030,"tags=63%, list=36%, signal=41%","Bst2/Isg15/Isg20/Ifitm3/Cxcl10/Mvb12a/Irf9/Samd9l/Adar/Trim25/Parp9/Stat2/Ogfr/Mov10/Casp8/Plscr1/Ifi27/Ifi35/Psme2/Parp14/Trafd1/Cd47/Helz2/Pnpt1/Trim26/Nmi/Herc6/Psmb8/Psma3/Cmtr1/Psme1/Psmb9/Nub1/H2-Q7/Cnp/Ifitm1"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",63,0.4882011144813,1.4078755422775,0.00410082016403281,0.0202581032412965,0.0142162128009098,2046,"tags=62%, list=36%, signal=40%","Ergic3/Copb2/Vamp3/Rab22a/Atp1a1/Rer1/Cope/Ykt6/Lamp2/Sec31a/Ppt1/Arf1/Scamp3/Ap2m1/Cltc/Tmed10/Rab14/Vps4b/Sec22b/Sod1/Rab5a/Adam10/M6pr/Clta/Sec24d/Ap2s1/Anp32e/Tsg101/Arcn1/Uso1/Copb1/Dnm1l/Stx12/Tmx1/Ap2b1/Ap3s1/Ap1g1/Gosr2/Stx16"
