"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.814335677042501,2.60928033223915,1e-10,8e-10,5e-10,810,"tags=52%, list=8%, signal=48%","Ifitm3/Ifi44/Ddx60/Gbp3/Ccrl2/H2-Q7/Cd74/Cxcl10/Gbp2/Psmb8/Parp12/Usp18/Isg15/Dhx58/Rtp4/Oas1a/Bst2/Ube2l6/Ifit3/Herc6/Ifit2/Tap1/Irf7/Csf1/Psmb9/Parp14/Mx2/Epsti1/Ifih1/Parp9/B2m/Ifi35/Trim12c/Uba7/Eif2ak2/Tmem140/Stat2/Samd9l/Irf9/Mov10/Trim21/Procr/Adar"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.736587890231906,2.50812555943307,1e-10,8e-10,5e-10,1159,"tags=45%, list=11%, signal=41%","Ifitm3/Ifi44/Pde4b/Ddx60/Gbp3/H2-Aa/Casp4/H2-Q7/H2-Eb1/Cd74/Cxcl10/Psmb8/Parp12/Usp18/Isg15/Dhx58/Gbp9/Oas3/Ptgs2/Rtp4/Oas2/Xaf1/Bst2/Ube2l6/Gbp8/Ifit3/Herc6/Ifit2/Tap1/Irf7/Psmb9/Cd274/Parp14/Mx2/Epsti1/Fas/Stat1/Ifih1/Rnf213/H2-M3/Zbp1/B2m/Ifi35/Rigi/Eif2ak2/Psmb10/Stat2/Samd9l/Icam1/Il15ra/H2-D1/Irf9/Ptpn6/Samhd1/Pla2g4a/Trim21/Adar/Mthfd2/Nfkb1/Tapbp/Batf2/Ripk2/Psme1/Psme2/Mt2/Pml/Tnfaip3"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",47,0.819118342879755,2.44067576181353,1e-10,8e-10,5e-10,810,"tags=53%, list=8%, signal=49%","Ifitm3/H2-Q7/Gbp2/Psmb8/Usp18/Isg15/Oas3/Oas2/Xaf1/Oas1a/Bst2/Ifit3/Ifit2/Irf7/Mx2/Stat1/H2-M3/Ifi35/Stat2/H2-D1/Irf9/Ptpn6/Samhd1/H2-T23/Adar"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",142,0.705300339864198,2.39089869994584,1e-10,8e-10,5e-10,810,"tags=30%, list=8%, signal=28%","Ifitm3/Gbp7/Gbp3/H2-Aa/H2-Ab1/H2-Q7/H2-Eb1/Gbp2/Psmb8/Sp100/Usp18/Isg15/Gbp9/Oas3/Oas2/Xaf1/Oas1a/Bst2/Ube2l6/Gbp8/Ifit3/Ifit2/Irf7/Mx2/Stat1/H2-M3/B2m/Ifi35/Trim12c/Uba7/Rigi/Eif2ak2/Uba52/Trim34a/Stat2/Icam1/H2-D1/Irf9/Ptpn6/Samhd1/H2-T23/Trim21/Adar"
"REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING",58,0.749572369594655,2.28373600890216,2.08734941443681e-09,1.33590362523956e-08,8.34939765774724e-09,789,"tags=43%, list=7%, signal=40%","Gbp7/Gbp3/H2-Aa/H2-Ab1/H2-Q7/H2-Eb1/Gbp2/Sp100/Gbp9/Oas3/Oas2/Oas1a/Gbp8/Irf7/Stat1/H2-M3/B2m/Trim12c/Trim34a/Icam1/H2-D1/Irf9/Ptpn6/H2-T23/Trim21"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",101,0.575066950083804,1.88678650608943,3.35273307064104e-05,0.000178812430434189,0.000111757769021368,1113,"tags=27%, list=11%, signal=24%","Osm/Il1b/Pde4b/Ccrl2/Cxcl10/Rgs1/Nlrp3/P2rx7/Rtp4/Bst2/Irf7/Csf1/Scn1b/Stab1/Tnfrsf9/Eif2ak2/Sema4d/Icam1/Il15ra/Timp1/Nod2/Cybb/Nfkb1/Tapbp/Il10/Ripk2/Pik3r5"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,0.497193376941293,1.7013170121331,7.89691407175894e-05,0.000361001786137551,0.00022562611633597,1261,"tags=25%, list=12%, signal=22%","Il1b/G0s2/Pde4b/Cd80/Ccrl2/Plek/Cxcl10/Cxcl3/Nr4a3/Ccl4/Ptgs2/Cxcl2/Ifit2/Tap1/Csf1/Csf2/Cxcl1/Ifih1/Plk2/Tnfrsf9/Rigi/Icam1/Il15ra/Plau/Cebpd/Dusp1/Zfp36/Birc3/Rel/Nfkb1/Klf9/Map3k8/Sgk1/Zbtb10/Ripk2/Dram1/Tnfaip3/Irs2/Abca1/Nfkbia"
"GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION",27,0.692307100438798,1.81909880275788,0.00107201430166392,0.00428805720665567,0.00268003575415979,975,"tags=33%, list=9%, signal=30%","Cd74/Thbs1/Ccl3/Rora/Syt11/Stap1/Ptprc/Pla2g4a/Il10"
"GOBP_REGULATION_OF_MACROPHAGE_APOPTOTIC_PROCESS","GOBP_REGULATION_OF_MACROPHAGE_APOPTOTIC_PROCESS","GOBP_REGULATION_OF_MACROPHAGE_APOPTOTIC_PROCESS",7,0.866495371001326,1.75481364792287,0.0040362933364395,0.0143512651962293,0.00896954074764334,676,"tags=43%, list=6%, signal=40%","Irf7/Mef2c/Nod2"
"GOBP_MACROPHAGE_CYTOKINE_PRODUCTION","GOBP_MACROPHAGE_CYTOKINE_PRODUCTION","GOBP_MACROPHAGE_CYTOKINE_PRODUCTION",12,0.7673367742108,1.73449190300069,0.00762714566984544,0.0244068661435054,0.0152542913396909,234,"tags=33%, list=2%, signal=33%","H2-Q7/Cd74/Laptm5/H2-M3"
