"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.628472472313455,2.6250887530222,1e-10,3.2e-09,2.21052631578947e-09,451,"tags=29%, list=4%, signal=28%","Ifit3/Ifi44/Bst2/Usp18/Oasl1/Rtp4/Isg15/Irf7/Oas1a/Mx2/Batf2/Lgals3bp/Parp12/Isg20/Cxcl10/Ube2l6/Ifitm3/Eif2ak2/Gbp2/Ifih1/Dhx58/Ddx60/Ifit2/Irf9"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",47,0.716917503054365,2.57904618570268,3.4787404088835e-10,3.7106564361424e-09,2.56328240654574e-09,451,"tags=36%, list=4%, signal=35%","Ifit3/Bst2/Usp18/Oas3/Oasl1/Oas2/Isg15/Irf7/Oas1a/Mx2/Isg20/Xaf1/Socs3/Ifitm3/Gbp2/Ifit2/Irf9"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.622577068000943,-2.30030586772309,3.07020031589956e-10,3.7106564361424e-09,2.56328240654574e-09,941,"tags=29%, list=9%, signal=27%","Stat5a/Rel/Birc3/Rcan1/Dennd5a/Egr1/Tnfrsf9/Dnajb4/Tank/Nfkb1/Fos/Irs2/Jun/Il6st/Il7r/Lif/Gadd45a/Zfp36/Plaur/Cxcl1/Trip10/Ifngr2/Rhob/Cd80/Plau/Ldlr/Atf3/Vegfa/Zbtb10/Ccnd1/Klf9/Klf4/Il18/Cebpd/Trib1/Marcks/Tsc22d1/Serpine1/F3/Ier3/Il1a/Cxcl2/Ptgs2/Tnfaip2/Abca1/Il1b/G0s2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.453300994174743,2.03297089723127,3.77246421295911e-07,3.01797137036729e-06,2.08478285453004e-06,451,"tags=21%, list=4%, signal=21%","Ifit3/Ifi44/Bst2/Usp18/Oas3/Oasl1/Rtp4/Oas2/Isg15/Irf7/Mx2/Batf2/Lgals3bp/Parp12/Isg20/Vamp5/Xaf1/Zbp1/Cxcl10/Ube2l6/Socs3/Ifitm3/Eif2ak2/Rnf213/Il18bp/Ifih1/Casp3/Dhx58/Ddx60/Ifit2/Gbp9/Irf9"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",101,-0.583171882115531,-2.02239674533287,1.31900383383368e-05,8.44162453653556e-05,5.83138537063312e-05,799,"tags=30%, list=8%, signal=28%","P2rx7/Cd55/Tnfrsf9/Nfkb1/Ahr/Calcrl/Nod2/Il7r/Lif/Acvr2a/Plaur/Osm/Mmp14/Ifngr2/Ldlr/Timp1/Stab1/Cybb/Lyn/Il18/Sgms2/Adm/Serpine1/F3/Il1a/Itga5/Cd14/Nlrp3/Abca1/Il1b"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",142,0.408384358429241,1.80938215922867,2.85990248121422e-05,0.000152528132331425,0.000105364828255261,451,"tags=15%, list=4%, signal=14%","Ifit3/Bst2/Usp18/Oas3/Oasl1/Oas2/Isg15/Irf7/Oas1a/Mx2/Isg20/Xaf1/Ube2l6/Socs3/Ifitm3/Eif2ak2/Gbp2/Trim8/Ifit2/Gbp9/Irf9"
"GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION",27,-0.731122418062583,-2.00637039709296,0.000213542203016925,0.000976192928077372,0.000674343799000817,855,"tags=33%, list=8%, signal=31%","Ccl3/Rora/Grn/Gpr137b/Ldlr/Cd74/Pla2g4a/Thbs1/Tlr4"
"GOBP_MACROPHAGE_CYTOKINE_PRODUCTION","GOBP_MACROPHAGE_CYTOKINE_PRODUCTION","GOBP_MACROPHAGE_CYTOKINE_PRODUCTION",12,-0.818718704135483,-1.91701307758389,0.000490604948018207,0.00196241979207283,0.00135561893531347,590,"tags=42%, list=6%, signal=39%","Plcg2/Irak3/Cd74/Tgfb3/Tlr4"
"WP_MACROPHAGE_MARKERS","WP_MACROPHAGE_MARKERS","WP_MACROPHAGE_MARKERS",6,-0.919007795520348,-1.81041252272408,0.00064518358447526,0.00229398607813426,0.00158466143555327,738,"tags=67%, list=7%, signal=62%","Lyz2/Cd74/F3/Cd14"
"GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",11,-0.731634497111778,-1.66598987027545,0.00751821076548779,0.0240582744495609,0.0166192027447625,609,"tags=36%, list=6%, signal=34%","Grn/Plcg2/Tyrobp/Syk"
