"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",266,0.697781978877756,3.1734503191798,1e-10,7.46393442622951e-09,6.22950819672131e-09,2069,"tags=68%, list=20%, signal=56%","Deptor/Lrr1/Asf1b/Mybl2/Iqgap3/Spc24/Birc5/Fbxo5/Spag5/Ccna2/Pclaf/Haus8/Cep55/Kif4/Ccdc34/Gmnn/Abhd2/Zwilch/Dsn1/Cit/Aurkb/Shcbp1/Stmn1/Brca1/Cenpi/Top2a/Prc1/Trip13/Plk1/Knstrn/Nup107/Kif11/Tacc3/Rfc4/Chaf1b/Ccnb2/Ncaph/Tpx2/Pole/Tk1/Mki67/Cdc45/Nos1ap/Stil/Kif2c/Nusap1/Slc39a8/Ube2c/Aspm/E2f8/Tyms/Ube2t/Fignl1/Traip/Pbk/Tcf19/Incenp/Arhgap11a/Dlgap5/Clspn/Smc2/Lig1/Uhrf1/E2f7/Ncapd2/Mms22l/Skp2/Pold1/Bub1/Ncapg/Troap/Knl1/Kifc1/Cdca4/H2ax/Dut/Ncapg2/Psmc3ip/Nme1/Rfc3/Ttf2/Rrm2/Areg/Plk4/Bub1b/Mtfr2/Xrcc2/Pola1/Spdl1/Gins2/Timeless/Rad51/Dscc1/Polq/Mastl/Cenpn/Dnmt1/Cdk1/Prim1/Fam83d/C1qtnf6/Mis18a/Ncapd3/Rpa3/Pkmyt1/Dna2/Rrm1/Gtse1/Kif23/Espl1/Hells/Atad5/H1f4/Bard1/Brip1/Blm/Ska3/Cbx5/Pold2/Tfdp1/Zfp367/Rad54b/Slc7a5/Dtl/Melk/Cdca5/Cenpm/Exosc2/Mcm5/Esco2/Impa2/Mcm6/Mcm10/Racgap1/Pcna/Pold3/Ddias/Pole2/Tmpo/Prr11/Ctsd/Mcm3/Cdca2/Ebp/Pola2/Mcm2/Ttk/Pttg1/Fen1/Anln/E2f1/Haus4/Rbl1/Fancd2/Gas2l3/E2f2/Tff1/Slc29a1/Ticrr/Gins1/Wdr76/Lmnb1/Gins3/L2hgdh/Tonsl/Rfc5/Cdt1/Snrnp25/Arl3/Mcm4/Rnaseh2a/Colgalt1/Recql4/Brca2/Cdca7/Cdca7l/Hprt/Slc26a2/Fkbp5/Exo1/Nasp"
"KONG_E2F3_TARGETS","KONG_E2F3_TARGETS","KONG_E2F3_TARGETS",86,0.789981915819356,3.06328307583849,1e-10,7.46393442622951e-09,6.22950819672131e-09,1490,"tags=76%, list=14%, signal=65%","Asf1b/Iqgap3/H2ac4/Cenpf/Ccna2/Pclaf/Cdca3/Cdc20/Shcbp1/Brca1/Top2a/Ercc6l/Prc1/Plk1/Depdc1a/Kif11/Tacc3/Chaf1b/Ncaph/H4c1/Tpx2/Kif20a/Tk1/Mki67/Kif2c/Nusap1/Ube2c/Tyms/Ube2t/Fignl1/Pbk/Incenp/Dlgap5/Smc2/Cenph/Hmmr/Ncapd2/Cenpk/Skp2/Hmgb2/Bub1/Ncapg/Spc25/H2ax/Ncapg2/Bub1b/Spdl1/Rad51/Fam111a/Prim1/Ccne1/Ccnb1/Dna2/Ccnf/E2f3/Nuf2/Usp1/Melk/Cdca5/Racgap1/Syce2/Mcm3/Fen1/Hjurp/Rbl1"
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",151,0.727112561788875,3.05513567559589,1e-10,7.46393442622951e-09,6.22950819672131e-09,1596,"tags=70%, list=15%, signal=60%","Msh5/Psrc1/Mybl2/Iqgap3/Cdca8/Cenpf/Birc5/Fbxo5/Spag5/Ckap2/Cdca3/Kif4/Cdc20/H1f1/Dsn1/Aurkb/Shcbp1/Brca1/Top2a/Prc1/Plk1/Knstrn/Depdc1a/Kif11/Cks1b/Tacc3/Ccnb2/Ncaph/Tpx2/Kif20a/Tk1/Mki67/Cdc45/Tubb6/Kif2c/Nusap1/Cenpe/Ube2c/Aspm/E2f8/Ska1/Ube2t/Sgo1/Traip/Pbk/Arhgap11a/Dlgap5/Hmmr/Ncapd2/Cenpk/Hmgb2/Cdkn3/Bub1/Kif18b/Wee1/Troap/Parpbp/Hmgn2/Ckap2l/Spc25/Kifc1/Ncapg2/Arhgap19/Rrm2/Plk4/Kif15/Bub1b/Xrcc2/Timeless/Polq/Fam111a/Cdk1/Cks2/Ldlr/Emp1/Ccnb1/Gtse1/Kif23/Espl1/Brip1/Blm/Ska3/Hba-a1/Nuf2/Dtl/Melk/Cdca5/Cenpm/Esco2/Anxa1/Racgap1/Cep152/Mad2l1/Prr11/Anp32e/Cdca2/Ttk/Pttg1/Anln/Cenpa/Hjurp/Fancd2/Gas2l3/Kif22/Gins1/Rad51ap1"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",153,0.723256151422249,3.0551132727442,1e-10,7.46393442622951e-09,6.22950819672131e-09,1760,"tags=68%, list=17%, signal=57%","Mybl2/Cdca8/Cenpf/Birc5/Fbxo5/Spag5/Ccna2/Cdca3/Cep55/Kif4/Cdc20/Dsn1/Aurkb/Stmn1/Cenpi/Top2a/Prc1/Trip13/Plk1/Kif11/Tacc3/Rfc4/Ccnb2/Ncaph/Tpx2/Kif20a/Mki67/Cdc45/Stil/Kif2c/Nusap1/Cenpe/Ube2c/Aspm/E2f8/Hmgb3/Oip5/Dlgap5/Ect2/Tuba1b/Hmmr/Cdkn3/Bub1/Ncapg/Kif18b/Troap/Parpbp/Kifc1/Ncapg2/Nme1/Rrm2/Kif15/Bub1b/Timeless/Rad51/Dscc1/Tuba1a/Polq/Cenpn/Cdk1/Cks2/Cdc25a/Mis18a/Pkmyt1/Shmt2/Ccnb1/Gtse1/Txn1/Espl1/Blm/Cmc2/Rad54b/Slc7a5/H2az2/Melk/Dnajc9/Snrpf/Mcm6/Mcm10/Racgap1/Mad2l1/Tmpo/H2az1/Mcm3/Lage3/Mcm2/Ormdl2/Bola2/Ttk/Pttg1/Fen1/Cenpa/E2f1/Hjurp/Snrpg/Ddx39a/Gins1/Cox7b/Nudt1/Pfdn6/Lmnb1/Kpna2/Psma7/Ezh2"
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",113,0.744467752447372,3.01334681899446,1e-10,7.46393442622951e-09,6.22950819672131e-09,1783,"tags=70%, list=17%, signal=59%","Mybl2/Cdca8/Cenpf/Birc5/Fbxo5/Spag5/Ccna2/Ckap2/Haus8/Cep55/Cdc20/Top2a/Prc1/Trip13/Knstrn/Nup107/Depdc1a/Kif11/Rfc4/Ccnb2/Kif20a/Nusap1/Ube2c/Aspm/E2f8/Ube2t/Hmgb3/Dlgap5/Smc2/Uhrf1/Hmmr/Cenpk/Hmgb2/Pold1/Alyref/Cdkn3/Bub1/Parpbp/Spc25/Kifc1/Neil3/H2ax/Dtymk/Mtfr2/Timeless/Ranbp1/Cenpn/Cdk1/Magohb/Bora/Ccnb1/Kif23/Nuf2/Paics/Cmc2/Usp1/H2az2/Melk/Dnajc9/Dctpp1/Racgap1/Pcna/Mad2l1/Lxn/Mcm3/Mcm2/Lbr/Ttk/Pttg1/Anln/Cenpa/E2f1/Kif22/Lmnb1/Gins3/Kpna2/Ezh2/Rfc5/Exosc8"
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",136,0.719377470413776,2.9912810373127,1e-10,7.46393442622951e-09,6.22950819672131e-09,1760,"tags=69%, list=17%, signal=58%","Asf1b/Mybl2/Cdca8/Cenpf/Birc5/Fbxo5/Spag5/Ccna2/Pclaf/Cdca3/Cep55/Kif4/Gmnn/Cdc20/Aurkb/Shcbp1/Brca1/Top2a/Ercc6l/Prc1/Trip13/Plk1/Kif11/Tacc3/Chaf1b/Ccnb2/Ncaph/Tpx2/Kif20a/Tk1/Mki67/Stil/Kif2c/Nusap1/Cenpe/Ube2c/Aspm/E2f8/Tyms/Pbk/Oip5/Dlgap5/Ect2/Smc2/Hmmr/Hmgb2/Bub1/Ncapg/Kif18b/Kifc1/H2ax/Rrm2/Kif15/Bub1b/Dtymk/Spdl1/Polq/Cdk1/Cks2/Hmga1/Rpa3/Ccnb1/Dna2/Gtse1/Kif23/Espl1/Hells/Ccnf/Dtl/Kif20b/Melk/Cenpm/Mcm10/Racgap1/Pcna/Mad2l1/Tmpo/Anp32e/H2az1/Ebp/Pola2/Mcm2/Ttk/Pttg1/Fen1/Cenpa/E2f1/Hjurp/Gins1/Rad51ap1/Lmnb1/Sac3d1/Kpna2/Ezh2"
"LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP",84,0.761669806987923,2.95382283836014,1e-10,7.46393442622951e-09,6.22950819672131e-09,1596,"tags=71%, list=15%, signal=61%","Tnfrsf21/Lrr1/Birc5/Cenpw/Pclaf/Cdca3/Cep55/Top2a/Prc1/Kif11/Ccnb2/Kif20a/Mki67/Kif2c/Nusap1/Ube2c/Aspm/E2f8/Tyms/Ube2t/Pbk/Hmgb3/Oip5/Dlgap5/Uhrf1/Diaph3/Hmmr/E2f7/Cdkn3/Bub1/Ncapg/Kif18b/Knl1/Neil3/Tubb4b/Rrm2/Tubb5/Kif15/Bub1b/Dscc1/Cdk1/Cks2/Cdc25a/Ccnb1/Cxxc5/Nuf2/Dtl/Melk/Mcm10/Cep128/Prr11/Cdca2/Mcm2/Ttk/Pttg1/Cenpa/E2f2/Palld/Gins1/Rad51ap1"
"MORI_LARGE_PRE_BII_LYMPHOCYTE_UP","MORI_LARGE_PRE_BII_LYMPHOCYTE_UP","MORI_LARGE_PRE_BII_LYMPHOCYTE_UP",84,0.758841687196609,2.94285513982128,1e-10,7.46393442622951e-09,6.22950819672131e-09,1540,"tags=69%, list=15%, signal=59%","Asf1b/Mybl2/H2ac4/Ccna2/Cdca3/Cdc20/Lgals1/Stmn1/Top2a/Prc1/Cks1b/Ccnb2/Ncaph/Mki67/Cenpe/E2f8/Hmgb3/Hnrnpab/Smc2/Lig1/Alyref/Cdkn3/Hmgn2/H2ax/Tubb4b/Rrm2/Tubb5/Cdkn1a/Tuba1a/Cdk1/Hmga1/Prdx4/Ccnb1/Slbp/Rrm1/Kif23/Txn1/Ramp1/Cmc2/Dtl/H2az2/Melk/Cdca5/Ran/Mcm6/Racgap1/Hmgb1/Tmpo/Anp32e/H2az1/Mcm3/Mcm2/Cbx1/Ttk/Cenpa/Hjurp/Kif22/Slc29a1"
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR",80,0.761357393805792,2.91851597447279,1e-10,7.46393442622951e-09,6.22950819672131e-09,1802,"tags=74%, list=17%, signal=62%","Mybl2/Cdca8/Fbxo5/Ccna2/Pclaf/Haus8/Cep55/Gmnn/Dsn1/Brca1/Trip13/Kif11/Rfc4/Chaf1b/Kif20a/Nusap1/E2f8/Ube2t/Hmgb3/Dlgap5/Smc2/Uhrf1/Cenpk/Hmgb2/Parpbp/Kifc1/H2ax/Dtymk/Mtfr2/Gins2/Timeless/Ranbp1/Rad51/Magohb/Sap30/Paics/Cmc2/Dtl/Usp1/Dek/Cdca5/Dnajc9/Mcm5/Mcm6/Dctpp1/Racgap1/Mad2l1/Mcm3/Mcm2/Lbr/Ttk/Cenpa/E2f1/Kif22/Lmnb1/Gins3/Ezh2/Rfc5/Cdt1"
"BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",140,0.691884587317634,2.88583285845587,1e-10,7.46393442622951e-09,6.22950819672131e-09,2157,"tags=75%, list=20%, signal=61%","Psrc1/Hilpda/Asf1b/Mybl2/Cdca8/Cenpf/Birc5/Spag5/Ccna2/Pclaf/Cdca3/Cep55/Kif4/Cdc25c/Ccdc34/Cit/Aurkb/Shcbp1/Brca1/Cenpi/Top2a/Ercc6l/Prc1/Plk1/Kif11/Tacc3/Ccnb2/Ncaph/Kif20a/Tk1/Cdc45/Kif2c/Nusap1/Cenpe/Ube2c/E2f8/Ska1/Ube2t/Sgo1/Traip/Tcf19/Oip5/Ccdc18/Clspn/Uhrf1/Diaph3/Hmmr/Cdkn3/Ncapg/Kif18b/Troap/Knl1/Spc25/Kifc1/Castor1/Neil3/Ncapg2/Rrm2/Plk4/Kif15/Orc1/Bub1b/Mtfr2/Xrcc2/Gins2/Rad51/Cdc25a/Prim1/Pkmyt1/Atad5/Blm/Ska3/Nuf2/Dtl/Cdca5/Cenpm/Mfsd13a/Mcm10/Prr11/Cdca2/Mcm2/Haspin/Ttk/Pttg1/Fen1/Anln/E2f1/Hjurp/Rbl1/Eme1/Wdr76/Lmnb1/Mnd1/Zfp324/Cdt1/Mcm4/Nsd2/Cdc7/Cdca7/Exo1/Hrob/Depdc1b/Kif14/Dhfr/Suv39h1"
