"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0031226","CC","GO:0031226","intrinsic component of plasma membrane",342,-0.572327842438269,-2.11376060588445,1e-10,5.42166666666667e-08,4.04824561403509e-08,1030,"tags=26%, list=10%, signal=25%","Itgb7/Clcn5/Nlgn2/Gpr55/Grm8/P2rx7/Sema6d/Sema4b/Adcy9/Itgae/Axl/Slc11a2/Psen2/Adgrl3/Scn1b/Tgfbr1/Sgms1/Kcnk2/Lrp12/Fcrla/Acvr1b/Calcrl/Slc19a1/Mfsd12/Ccrl2/Ly96/Itga3/Insr/Nod2/Plxnd1/Plaur/Bmpr2/Slc38a6/Sema4c/Sema4f/Dlg4/Tspan13/Cybb/Tgm2/Itgav/Cd9/Scarb1/Kcnq5/Ncf2/Lmbr1/Slc27a1/Csf2ra/Cd24a/Acvr2a/Mtss1/Cd74/Atp1b1/Marcks/Fcgr3/Ramp1/Lyn/Slc39a8/Fcer1g/Asah2/Lrp1/F3/Plpp1/Eepd1/Igf1r/Ifngr2/Pam/Adgrl2/Fcrl1/Mpzl1/Pkd2/Cd81/Adgrg6/Stab1/Plpp2/Tyrobp/Cd151/Cadm1/Nrp2/Plxnb2/Nectin1/Cd14/Tm4sf1/Tnfrsf21/Cd63/Stom/Tmem150c/Nrg1/Itga5/Eps8/Tlr4"
"GO:0005887","CC","GO:0005887","integral component of plasma membrane",314,-0.576252713051902,-2.10914344680157,1e-10,5.42166666666667e-08,4.04824561403509e-08,1030,"tags=26%, list=10%, signal=24%","Itgb7/Clcn5/Nlgn2/Gpr55/Grm8/P2rx7/Sema6d/Sema4b/Adcy9/Itgae/Axl/Slc11a2/Psen2/Adgrl3/Scn1b/Tgfbr1/Sgms1/Kcnk2/Lrp12/Fcrla/Acvr1b/Calcrl/Slc19a1/Mfsd12/Ccrl2/Itga3/Insr/Plxnd1/Plaur/Bmpr2/Slc38a6/Sema4c/Sema4f/Dlg4/Tspan13/Cybb/Itgav/Cd9/Scarb1/Kcnq5/Ncf2/Lmbr1/Slc27a1/Csf2ra/Acvr2a/Cd74/Atp1b1/Fcgr3/Ramp1/Lyn/Slc39a8/Fcer1g/Asah2/Lrp1/F3/Plpp1/Igf1r/Ifngr2/Pam/Adgrl2/Fcrl1/Mpzl1/Pkd2/Cd81/Adgrg6/Stab1/Plpp2/Tyrobp/Cd151/Cadm1/Nrp2/Plxnb2/Nectin1/Tm4sf1/Tnfrsf21/Cd63/Stom/Tmem150c/Nrg1/Itga5/Eps8/Tlr4"
"GO:0001934","BP","GO:0001934","positive regulation of protein phosphorylation",388,-0.522322108482158,-1.94813608961623,1e-10,5.42166666666667e-08,4.04824561403509e-08,832,"tags=20%, list=8%, signal=19%","Pak1/Ect2/Areg/Tgfbr1/Dock7/Acvr1b/Plk1/Clu/Cdkn1a/Prkag2/Psrc1/Tpx2/Tnfrsf1a/Sdc4/Aurkb/Cdca8/Insr/Nod2/Birc5/Cenpe/Ighm/Plaur/Src/Rgcc/Bmpr2/Nbn/Stil/Thbs1/Dlg4/Ralb/Lif/Telo2/Plcg2/Prr5/Ccnd1/Spry2/App/Iqgap3/Camk1/Pde5a/Fnip2/Osm/Rbpms/Slc27a1/Cd80/Cd24a/Acvr2a/Tgfb3/Cd74/Mob3b/Marcks/Lyn/Vegfa/Tirap/Ptk2/Pkd2/Cd81/Pdgfa/Sh2d1b1/Il1b/Tnfrsf11a/Prnp/Hes1/Fgd4/Dab2/Syk/Peli2/Pparg/Ccdc88a/Il18/Eng/Ctnnd1/Ptgs2/Nrg1/Itga5/Tlr4"
"GO:0098590","CC","GO:0098590","plasma membrane region",471,-0.515112934363758,-1.94577360730295,1e-10,5.42166666666667e-08,4.04824561403509e-08,1273,"tags=25%, list=12%, signal=23%","Jak2/Adam9/Tfrc/Fnbp1/Prkab2/Nme1/Sntg1/Bbs9/Chrna9/Alpk2/Slc7a1/Marcksl1/Cltb/Stx2/Trf/Efcab7/Nlgn2/Fchsd2/Grm8/Picalm/Myo1c/Pik3cb/Sema4b/Abcg2/Plekha1/Pld1/Cyth1/Slc11a2/Psen2/Psd3/Spire1/Ect2/Stxbp1/Ttc8/Slc43a3/Whrn/Kifap3/Sigmar1/Tgfbr1/Stx11/Dstyk/Kcnk2/Kctd12/Lrp12/Myo6/Syne2/Mastl/Slc19a1/Nt5e/Rgs9/Tfpi/Itga3/Insr/Nod2/Birc5/Anxa4/Cacnb3/Src/Akap7/Gnaq/Bmpr2/Sema4c/Cdkl5/Aspm/Sema4f/Dlg4/Itgav/Cnnm2/Cd9/Scarb1/Plcg2/App/Krt8/Ldlr/Slc27a1/Car2/Cd24a/Krt19/Ston1/Atp1b1/Marcks/Slc39a8/Asah2/Lrp1/Tirap/Sh3bp4/Nos1ap/Plpp1/Myo1d/Igf1r/Adgrl2/Vdr/Ptk2/Pkd2/Pemt/Cd81/Myof/Anxa1/Fn1/Plpp2/Rhob/Cpe/Jcad/Cadm1/Nrp2/Dab2/Pard3b/Nectin1/Rab27b/Il18/Stx3/Ctnnd1/Ptgs2/Slc22a21/Slc7a11/Nrg1/Itga5/Anpep/Eps8"
"GO:0042327","BP","GO:0042327","positive regulation of phosphorylation",422,-0.516397720178987,-1.93660986196694,1e-10,5.42166666666667e-08,4.04824561403509e-08,886,"tags=20%, list=8%, signal=19%","Myc/Agrn/Zbtb20/Vav2/Axl/Pak1/Ect2/Areg/Tgfbr1/Dstyk/Dock7/Acvr1b/Plk1/Clu/Cdkn1a/Prkag2/Psrc1/Tpx2/Tnfrsf1a/Sdc4/Aurkb/Cdca8/Insr/Nod2/Birc5/Cenpe/Ighm/Plaur/Src/Rgcc/Bmpr2/Nbn/Stil/Thbs1/Dlg4/Ralb/Lif/Telo2/Plcg2/Prr5/Ccnd1/Spry2/App/Iqgap3/Camk1/Pde5a/Fnip2/Osm/Rbpms/Slc27a1/Cd80/Cd24a/Acvr2a/Tgfb3/Cd74/Mob3b/Marcks/Lyn/Vegfa/Tirap/Igf1r/Ptk2/Pkd2/Cd81/Pdgfa/Sh2d1b1/Il1b/Tnfrsf11a/Prnp/Hes1/Fgd4/Dab2/Syk/Peli2/Lmo4/Pparg/Ccdc88a/Il18/Eng/Ctnnd1/Ptgs2/Nrg1/Itga5/Tlr4"
"GO:0010562","BP","GO:0010562","positive regulation of phosphorus metabolic process",469,-0.511833591895394,-1.9319071589979,1e-10,5.42166666666667e-08,4.04824561403509e-08,886,"tags=19%, list=8%, signal=18%","Myc/Agrn/Zbtb20/Vav2/Axl/Pak1/Mtmr9/Ect2/Areg/Tgfbr1/Dstyk/Dock7/Acvr1b/Plk1/Clu/Cdkn1a/Cdca2/Prkag2/Psrc1/Tpx2/Tnfrsf1a/Sdc4/Aurkb/Cdca8/Insr/Nod2/Birc5/Cenpe/Ighm/Plaur/Src/Rgcc/Bmpr2/Nbn/Stil/Thbs1/Dlg4/Ralb/Lif/Telo2/Plcg2/Prr5/Ccnd1/Spry2/App/Iqgap3/Camk1/Pde5a/Fnip2/Osm/Rbpms/Slc27a1/Cd80/Cd24a/Acsl3/Acvr2a/Tgfb3/Cd74/Mob3b/Marcks/Prkn/Lyn/Vegfa/Tirap/Igf1r/Ptk2/Pkd2/Cd81/Pdgfa/Sh2d1b1/Il1b/Tnfrsf11a/Mef2c/Prnp/Hes1/Fgd4/Dab2/Syk/Peli2/Lmo4/Pparg/Ccdc88a/Guca1a/Il18/Eng/Ctnnd1/Ptgs2/Nrg1/Itga5/Tlr4"
"GO:0045937","BP","GO:0045937","positive regulation of phosphate metabolic process",469,-0.511833591895394,-1.9319071589979,1e-10,5.42166666666667e-08,4.04824561403509e-08,886,"tags=19%, list=8%, signal=18%","Myc/Agrn/Zbtb20/Vav2/Axl/Pak1/Mtmr9/Ect2/Areg/Tgfbr1/Dstyk/Dock7/Acvr1b/Plk1/Clu/Cdkn1a/Cdca2/Prkag2/Psrc1/Tpx2/Tnfrsf1a/Sdc4/Aurkb/Cdca8/Insr/Nod2/Birc5/Cenpe/Ighm/Plaur/Src/Rgcc/Bmpr2/Nbn/Stil/Thbs1/Dlg4/Ralb/Lif/Telo2/Plcg2/Prr5/Ccnd1/Spry2/App/Iqgap3/Camk1/Pde5a/Fnip2/Osm/Rbpms/Slc27a1/Cd80/Cd24a/Acsl3/Acvr2a/Tgfb3/Cd74/Mob3b/Marcks/Prkn/Lyn/Vegfa/Tirap/Igf1r/Ptk2/Pkd2/Cd81/Pdgfa/Sh2d1b1/Il1b/Tnfrsf11a/Mef2c/Prnp/Hes1/Fgd4/Dab2/Syk/Peli2/Lmo4/Pparg/Ccdc88a/Guca1a/Il18/Eng/Ctnnd1/Ptgs2/Nrg1/Itga5/Tlr4"
"GO:0051241","BP","GO:0051241","negative regulation of multicellular organismal process",514,-0.501736927405228,-1.89901228139092,1e-10,5.42166666666667e-08,4.04824561403509e-08,1022,"tags=22%, list=10%, signal=21%","Pdcd1lg2/Idh2/Gpr55/P2rx7/Pik3cb/Rbpj/Sema6d/Sema4b/Id2/Abcg2/Rgs2/Myc/Rab11fip1/Zbtb46/Axl/Pak1/Pik3r2/Stk3/Kifap3/Dand5/Tgfbr1/Zbtb7b/Cptp/Kcnk2/Dock7/Rel/Calcrl/Lgmn/Tfpi/Zfp36/Tnfrsf1a/Nfkb1/Prdx4/Tcf4/Cit/Insr/Nod2/Anxa4/Atf5/Cd2ap/Cacnb3/Plaur/Adm/Rgcc/Bmpr2/Sema4c/Gadd45a/Dock4/Sema4f/Thbs1/Acot11/Grn/Irak3/Cd9/Lif/Spry2/App/Ahr/Pde5a/Lmna/Ldlr/Gpr137b/Cd24a/Tcf7l2/Plau/Tgfb3/Trib1/Cd74/Il1r2/Socs2/Lyn/Hdac9/Prickle1/Vegfa/Hhex/Ccr1/Vdr/Laptm4b/Ptk2/Ecm1/Procr/Plat/Pdgfa/Anxa1/Sh2d1b1/Fn1/Meis1/Stab1/Il1b/Mef2c/Cpe/Prnp/Tyrobp/Rbp4/Hes1/Tmem176b/Nlrp3/Tmem176a/Klf4/Wwc2/Pparg/Tnfrsf21/Rnf128/Cd63/Ltbp3/Id1/Ptgs2/Nrg1/Anpep/Tlr4/Zfp608"
"GO:0035295","BP","GO:0035295","tube development",547,-0.486646653941104,-1.85053344066521,1e-10,5.42166666666667e-08,4.04824561403509e-08,1065,"tags=22%, list=10%, signal=20%","Stx2/Kif20b/Get1/Nedd4/Brca1/Pik3cb/Rbpj/Asah1/Id2/Hs6st1/Myc/Vav2/Ext1/Pak1/Psen2/Timeless/Mks1/Areg/Ttc8/Pik3r2/Stk3/Tgfbr1/Rora/Hk2/Tmem107/Calcrl/Nr4a1/Tnfrsf12a/Tnfrsf1a/Sdc4/Itga3/Tcf4/Wdpcp/Ctsz/Plxnd1/Src/Adm/Rgcc/Bmpr2/Adam15/Ift172/Sema4c/Gadd45a/Stil/Thbs1/Grn/Tgm2/Itgav/Lif/Gpx1/Zfp36l1/Pkdcc/Spry2/Thra/Ahr/Ldlr/Esr1/Tnfsf12/Spp1/Cd24a/Emilin2/Tcf7l2/Mtss1/Plau/Tgfb3/Mfge8/Marcks/Ramp1/Myo1e/Shb/Hdac9/Prickle1/Lrp1/Tbc1d32/Vegfa/Hhex/Fndc3b/F3/Ift122/Vdr/Sox4/Ptk2/Pkd2/Ecm1/Pdgfa/Anxa1/Anxa3/Fn1/Meis1/Stab1/Il1b/Rhob/Mef2c/S100a1/Rbp4/Pbx1/Jcad/Rin2/Hes1/Nrp2/Syk/Ctsh/Tns3/Lmo4/Plxnb2/Klf4/Pparg/Il18/Ltbp3/Id1/Eng/Ptgs2/Enah/Slc7a11/Itga5/Anpep/Tnfaip2/Arhgap22"
"GO:0001932","BP","GO:0001932","regulation of protein phosphorylation",625,-0.471121505372138,-1.80803053114187,1e-10,5.42166666666667e-08,4.04824561403509e-08,1072,"tags=19%, list=10%, signal=18%","Incenp/Ddit4/Pde8a/Rad51/Sh3bp5/Inppl1/Blm/P2rx7/Pik3cb/Pbk/Sesn2/Prkar2b/Rgs2/Agrn/Pak1/Psen2/Ect2/Areg/Ccnb1/Ccnb2/Tgfbr1/Dock7/Acvr1b/Tfap4/Plk1/Clu/Cdkn1a/Dusp16/Prkag2/Psrc1/Tpx2/Tnfrsf1a/Sdc4/Aurkb/Cdca8/Igfbp3/Insr/Nod2/Birc5/Cenpe/Ighm/Plaur/Src/Pkig/Gnaq/Rgcc/Bmpr2/Gadd45a/Nbn/Stil/Thbs1/C9orf72/Dlg4/Irak3/Ralb/Lif/Telo2/Plcg2/Ccna2/Prr5/Ccnd1/Spry2/App/Iqgap3/Camk1/Pde5a/Fnip2/Osm/Cnksr3/Rbpms/Slc27a1/Cd80/Eef2k/Cd24a/Acvr2a/Tgfb3/Trib1/Cd74/Mob3b/Marcks/Prkn/Lyn/Shb/Lrp1/Vegfa/Tirap/Hhex/Ptk2/Pkd2/Cd81/Pdgfa/Myadm/Sh2d1b1/Fn1/Il1b/Tnfrsf11a/Prnp/Hes1/Fgd4/Dab2/Syk/Gprc5a/Peli2/Epm2a/Plxnb2/Pparg/Ccdc88a/Fer/Il18/Eng/Ctnnd1/Ptgs2/Deptor/Nrg1/Itga5/Tlr4"
