"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",47,0.807102224196897,2.80970294802823,1e-10,5.69125e-08,4.15394736842105e-08,708,"tags=49%, list=7%, signal=46%","Ifit3/Usp18/Ifitm3/Bst2/Oas1a/Oas3/Ifitm1/Isg15/Irf7/Oas2/Isg20/Xaf1/Mx2/Oasl1/Irf9/H2-M3/Psmb8/H2-Q7/Gbp2/Ifitm2/Ifi35/H2-T23/Ifit2"
"GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP",127,0.619227666517511,2.61102133933967,1e-10,5.69125e-08,4.15394736842105e-08,1269,"tags=39%, list=12%, signal=35%","Ifit3/Ifit1/Igfbp7/Ifi44/Usp18/Lgals3bp/Bst2/Oas1a/Rtp4/Isg15/Irf7/Zbp1/Oas2/Mx2/Irgm1/Mettl7a1/Ddx60/Irf9/Gbp9/Cpeb3/Ifih1/Resf1/Tor3a/Trim21/Tmem140/Psmb10/Uba7/Ifi204/Dapk2/Gbp2/Trafd1/Parp14/Trim34a/Parp9/Ifi35/Parp12/Mrpl57/Sp100/H2-T23/Ifit2/Trim8/Tubb4b/Cxcl10/Zfp672/Trim12c/Trim25/Plec/Nck1/Eif2ak2/Lipa"
"RADAEVA_RESPONSE_TO_IFNA1_UP","RADAEVA_RESPONSE_TO_IFNA1_UP","RADAEVA_RESPONSE_TO_IFNA1_UP",39,0.790099683176975,2.61028478236962,1e-10,5.69125e-08,4.15394736842105e-08,909,"tags=46%, list=9%, signal=42%","Ifi44/Ifitm3/Lgals3bp/Bst2/Ifitm1/Isg15/Irf7/Mx2/Casp3/Il12rb2/Ube2l6/H2-M3/H2-Q7/Ifitm2/Ifi35/H2-T23/Psme1/Cxcl10"
"CHYLA_CBFA2T3_TARGETS_UP","CHYLA_CBFA2T3_TARGETS_UP","CHYLA_CBFA2T3_TARGETS_UP",182,-0.654330057993063,-2.23850923574704,1e-10,5.69125e-08,4.15394736842105e-08,1114,"tags=36%, list=11%, signal=33%","Ikbke/Zc2hc1a/Mfsd13a/Dstn/Ica1/Plekha1/4931406C07Rik/Vat1/Cdin1/Spns3/Pard3b/Mcub/Tmod1/Plod3/Poglut3/Atrnl1/Rhob/As3mt/Irf6/Gca/Plcg2/Ramp1/Ass1/Hpse/Socs2/Mast4/Fndc3b/Egln3/Alpk1/Idh1/Hdc/Tnfrsf12a/Gprc5a/Pam/Gys1/Rbpms/Trf/Cxxc5/Nostrin/Tcn2/Rab31/Lrp12/Ctsl/Slpi/Plpp2/App/Ncf2/Nav2/Cask/Sgms2/B4galt6/Nim1k/Ldlrad3/Ralb/Krt18/Anxa3/Eepd1/Mctp1/Rab27b/H2-Aa/Vill/Peli2/Nrg1/Fnbp1l/Id1"
"ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP","ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP","ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP",224,-0.61404182648289,-2.13226642422577,1e-10,5.69125e-08,4.15394736842105e-08,1289,"tags=33%, list=12%, signal=30%","Arhgap31/Nfkbia/Cdon/Dot1l/Tnip2/Adm/Stat5a/Maff/Cdkal1/Dusp1/Tnfrsf9/Dennd5a/Kif1b/Plaur/Nampt/Slc2a6/Zeb2/Nr4a3/Aff4/Rcan1/Rel/Nbn/Fry/Kics2/Pim3/Dnhd1/St3gal1/Hectd2/Acsl1/Ldlr/Ndrg1/Nfkb1/Src/Zcwpw1/Serpine1/Bambi/Palld/Vegfa/Osm/Trip10/Fndc3b/Akap12/Cd80/Rnd3/Aff3/Tpd52/Acvr2a/Lif/Catsper2/Ier3/Nedd4l/Dmxl2/Fscn1/Zc3h12c/Psd3/Cxcl2/Il1r1/Il1a/Sgms2/G0s2/Spon1/Basp1/Cxcl1/Cnksr3/Ptgs2/Il1b/Il18/Marcks/F3/Krt19/Adgrl3/Creb5/Abca1/Tcf7l2/Tnfaip2"
"LEE_BMP2_TARGETS_UP","LEE_BMP2_TARGETS_UP","LEE_BMP2_TARGETS_UP",390,-0.58363351253786,-2.08642307224955,1e-10,5.69125e-08,4.15394736842105e-08,1122,"tags=31%, list=11%, signal=29%","Prkd3/Tcp11l2/Jak2/Tmcc3/Lipe/Itpr2/Foxo3/Tbc1d4/Sesn1/Rad51b/Cryz/Zfp467/4931406C07Rik/Rnf130/Vat1/Naglu/Trp53inp1/Pck2/Coq8a/Hsd17b11/Tctn1/Pard3b/Apobec1/Vav3/Rabgap1l/Foxp1/Gpr146/Inpp4b/Jun/Ypel2/Slc39a8/Msrb2/Scarb1/Scmh1/Ripor2/Rftn2/Rab20/Slc31a2/Satb1/Plod1/S100a1/Tmc4/Irf6/Naprt/Plin3/Phactr2/Zfp395/Cryl1/Aldh6a1/Csad/Ramp1/Renbp/Zfp36l1/Msrb3/Inafm1/Ttc28/Clu/Hexa/Tmem176b/Grn/Klf9/Tmem176a/Fcgrt/Tnfsf12/H1f0/Car2/Wfdc2/Spp1/Slc25a23/Ephx1/Rnase4/Ppm1e/Hdc/Gda/Ccdc80/Pam/Blvrb/Rbpms/Ctsh/Tcn2/Rab31/Pld1/Ier3/Plat/Cpq/Plpp2/Cacnb3/Stxbp6/Tmtc2/Sgms2/Lyz2/Krt8/Spon1/Deptor/Lrp1/Apoe/Phldb1/Cd14/Plxnb2/Fgd4/Cpe/Cebpd/Nupr1/Krt18/Bmf/Ampd3/Tsc22d1/Stom/Il18/Rnf128/Peli2/F3/Krt19/Creb5/Slc7a7/Abca1/Arhgap6/Anpep/Eps8/Zfp608"
"RUTELLA_RESPONSE_TO_HGF_UP","RUTELLA_RESPONSE_TO_HGF_UP","RUTELLA_RESPONSE_TO_HGF_UP",302,-0.579072912514226,-2.03774692630551,1e-10,5.69125e-08,4.15394736842105e-08,1131,"tags=27%, list=11%, signal=25%","Gsr/Mfhas1/Sccpdh/Gm2a/G6pc3/Ly75/Tbc1d4/Matk/Cers6/Nr4a3/Plpp1/Cryz/Dpagt1/Psen2/Fastkd1/Vat1/Mpzl1/Rftn1/Gna12/Pck2/Il6st/Runx1/Oaz2/Cd2ap/Ncoa3/Osbpl1a/St3gal1/Cpd/Epb41l2/Plod3/Ldlr/Csf2ra/Crebl2/Rab20/Gpr137b/Ndrg1/Sgms1/Tpst1/Scd2/Serpine1/Ramp1/Klf9/Il1r2/Trip10/Spp1/Cd80/Rgl1/Acsl3/Cd9/Mreg/Ctsl/Dmxl2/Fscn1/Cybb/Psd3/Cd81/Cxcl2/Tgm2/Il1r1/Dock4/Il1a/Scd1/Ccr1/Apoe/Mitf/Cxcl1/Tns3/Chst15/Tsc22d1/Mctp1/Il1b/Pla2g7/Stom/Tmem51/Cd63/Ccnd1/Il18/Marcks/Myof/Slc7a11/Bhlhe41/Atp6v0a1/Arhgap22"
"WONG_ADULT_TISSUE_STEM_MODULE","WONG_ADULT_TISSUE_STEM_MODULE","WONG_ADULT_TISSUE_STEM_MODULE",383,-0.569863796239181,-2.03621266222562,1e-10,5.69125e-08,4.15394736842105e-08,1056,"tags=32%, list=10%, signal=30%","Atf3/Plxdc2/Ly75/Marcksl1/Cd244a/Elovl5/Sesn1/Pkd2/Aff4/Plpp1/H2-DMa/Dip2c/Tmbim1/4931406C07Rik/Fosb/Phtf2/Ctsz/Junb/Mpzl1/Apobr/Pde8a/Pck2/Rgs2/Mdfic/Map7/Rora/Abcc1/Tcf4/Osbpl1a/Foxp1/Antxr2/Jun/Rai14/Slc39a8/Ssbp2/Csf2ra/Retreg1/Gnaq/Yes1/Fos/Rhob/Rab20/Ndrg1/S100a1/Cnn3/Dbndd2/Nrip1/Elovl6/Tubb6/Myo1b/Ell2/Irf6/Usp2/Gstk1/Tpst1/Scd2/Serpine1/Meis1/Rflnb/Flnb/Zbtb20/Ttc28/Tspan4/Tmem176b/Adcy9/Klf9/Tmem176a/Gatm/Socs2/Nicn1/Ptov1/Abcg2/Ltbp3/Patj/Mgst1/Rbpms/Cxxc5/Dock7/Itgae/Myadm/Cald1/Ctsl/Ier3/Cpq/Klf4/App/Cxcl2/Tgm2/Dst/Il1r1/Scd1/Pex11a/Spon1/Basp1/Apoe/Mitf/Enah/Ube2e2/Nfix/Tle1/Procr/Cebpd/Nupr1/Thbs1/Igfbp3/Ampd3/Tsc22d1/Ptgs2/Il1b/Fn1/Ccnd1/Il18/Marcks/Eng/F3/Dab2/Id1/Abca1/Arhgap6/Cadm1/Sox4/Pbx1/Trim47/Eps8"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN","DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN","DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN",320,-0.547362175986019,-1.93440068933734,1.17141517146227e-10,5.92605919518636e-08,4.32533063895484e-08,896,"tags=24%, list=8%, signal=23%","Gadd45a/Rcan1/Junb/Trp53inp1/Rftn1/Lrrc1/Cln8/St3gal1/Cmya5/Epb41l2/Jun/Ypel2/Pparg/Cdkl5/Slc31a2/Baz2b/Bckdhb/Prr5/Arhgap5/Tfpi/Myo1b/Irf6/Usp2/Zfp281/Phactr2/Prickle1/Dusp10/Myo1e/Ahr/Zfp36l1/Msrb3/Itgav/Socs2/Palld/Fam171b/Abcg2/Egln3/Id3/Rnd3/Ext1/Ston1/Pam/Mid1/Ctsh/Rgl1/Tnfrsf21/Il13ra1/Myadm/Acsl3/Cald1/Rnd1/Nedd4l/Psd3/Ncf2/Il1r1/Sgms2/Basp1/Trib1/Phldb1/Tns3/Tle1/Cd24a/Igfbp3/Nuak2/Wwc2/Anxa3/Bmf/Sh3bp4/Tm4sf1/Rab27b/Hes1/Fn1/Marcks/Fnbp1l/Dab2/Evi5/Abca1/Sox4"
"FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP","FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP","FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP",405,-0.524414630511918,-1.87830578366886,1.72099980377141e-10,7.83571210657122e-08,5.71915408474351e-08,1370,"tags=24%, list=13%, signal=22%","Cd55/Lrrc32/Birc3/Foxn3/Sesn3/Vcl/Hipk2/Tpmt/Eya3/Mt1/Dcun1d1/Bzw2/Ets2/Gsr/Prkd3/Maff/Tnfrsf9/Marcksl1/Plaur/Tbc1d4/Cers6/Nr4a3/Marchf3/Fastkd1/Slc39a11/Rcan1/Phtf2/Rel/Mpzl1/Lat2/Cln8/Runx1/Abcc1/Tcf4/Eef2k/Jun/Rai14/Rab11fip1/Dusp6/Irf2bp2/St3gal2/Csf2ra/Mccc2/Ndrg1/Rgcc/Src/Tubb6/Tfpi/Map2k6/Sh3bp5/Il7r/Phactr2/Sulf2/Tgfbr1/Rflnb/Myo1e/Pdlim7/Ptgr1/Socs2/Spp1/Gsn/Il1rn/Mgst1/Cfp/Tiam1/Rab31/Acsl3/Cald1/Mob3b/Slc44a1/Lonrf1/Plat/Marchf8/Nedd4l/Fscn1/Cybb/Asph/Cxcl2/St3gal5/Tgm2/Tnfrsf11a/Map3k20/Il1a/Cxcl1/Plau/Procr/Bcar3/Tsc22d1/Il1b/Snx8/Fn1/Myof/F3/Fmnl2/Slc7a11/Bhlhe41/Sox4/Arhgap22"
