"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.681942367810541,2.6710889275002,1e-10,5e-09,2.63157894736842e-09,1411,"tags=60%, list=13%, signal=53%","Ifit3/Ifi44/Usp18/Ifitm3/Lgals3bp/Bst2/Oas1a/Rtp4/Ifitm1/Isg15/Irf7/Isg20/Mx2/Oasl1/Ddx60/Ube2l6/Irf9/Epsti1/Ifih1/Trim21/Tmem140/Psmb9/Uba7/Psmb8/H2-Q7/Gbp2/Ifitm2/Trafd1/Trim26/Parp14/Parp9/Ifi35/Parp12/Ifit2/Cd47/Herc6/Samd9l/Psme1/Cxcl10/Nmi/Gbp3/Trim12c/Trim25/Stat2/B2m/Dhx58/Eif2ak2/Psme2/Tap1/Cnp"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",104,-0.653274582137605,-2.10479986153135,6.00432906412086e-08,1.00072151068681e-06,5.26695531940426e-07,1291,"tags=38%, list=12%, signal=34%","Dhrs3/Elf1/Slc19a2/Bcl2/Jak2/Elovl5/Inpp5f/Aff1/Il6st/Scarb1/Retreg1/Fos/Tbc1d30/Nrip1/Sh3bp5/Rps6ka2/Flnb/Adcy9/Mast4/Gab2/Blvrb/Tiam1/Rab31/Syngr1/Mreg/Igf1r/Klf4/Tgm2/Nav2/Igfbp4/Pex11a/Krt8/Deptor/Papss2/Ttc39a/Krt18/Hes1/Ccnd1/Myof/Krt19"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.595202032399312,-2.01282388288665,5.74097119241697e-08,1.00072151068681e-06,5.26695531940426e-07,1173,"tags=36%, list=11%, signal=32%","Gem/Birc3/Bcl6/Nfkbia/Tnip2/Ets2/Stat5a/Maff/Dusp1/Atf3/Tnfrsf9/Dennd5a/Plaur/Nampt/Slc2a6/Nr4a3/Gadd45a/Fosb/Rcan1/Rel/Junb/Il6st/Tank/Jun/Ldlr/Fos/Rhob/Nfkb1/Il7r/Irs2/Serpine1/Zfp36/Klf9/Vegfa/Trip10/Cd80/Lif/Ier3/Klf4/Cxcl2/Zbtb10/Il1a/G0s2/Cxcl1/Trib1/Ifngr2/Plau/Cebpd/Tsc22d1/Ptgs2/Il1b/Hes1/Ccnd1/Il18/Marcks/F3/Abca1/Tnfaip2"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",107,-0.639655017175345,-2.06228755825019,1.5271840459318e-07,1.90898005741475e-06,1.00472634600777e-06,1086,"tags=35%, list=10%, signal=31%","Tmem158/Mmd/Plaur/Pecam1/Lat2/Map7/Rabgap1l/Dusp6/Csf2ra/Etv5/Fcer1g/Satb1/Tfpi/Il7r/Tspan13/Tmem176b/Tmem176a/Car2/Spp1/Akap12/Lif/St6gal1/Plat/Slpi/Klf4/Rbp4/G0s2/Spon1/Trib1/Plau/Cpe/Igfbp3/Hdac9/Ptgs2/Il1b/Eng/Evi5"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.479428776172307,2.05341915436828,3.27430739479494e-07,3.27430739479494e-06,1.72331968147102e-06,1292,"tags=41%, list=12%, signal=36%","Ifit3/Ifi44/Usp18/Ifitm3/Lgals3bp/Bst2/Rtp4/Oas3/Isg15/Irf7/Zbp1/Oas2/Isg20/Ccl5/Xaf1/Mx2/Il18bp/Casp3/Oasl1/Rnf213/Vamp5/Ddx60/Ube2l6/Irf9/Gbp9/Epsti1/Ifih1/Trim21/Psmb10/Mt2/H2-M3/Psmb9/Psmb8/H2-Q7/Ifitm2/Trafd1/Trim26/Parp14/Gpr18/Ifi35/Parp12/Ifit2/Znfx1/Pml/Rigi/Herc6/Samd9l/Psme1/Myd88/Cxcl10/Nmi/Nod1/Gbp3/Trim25/H2-D1/Stat2/B2m/Dhx58/Vamp8/Eif2ak2/Psme2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,0.404268535499031,1.76377232279858,6.79161508225259e-06,5.65967923521049e-05,2.97877854484763e-05,2431,"tags=47%, list=23%, signal=37%","Nqo2/Slc25a4/Cox5b/Cox17/Cox7b/Cycs/Grpel1/Ndufb4/Idh3a/Ndufb1/Mtrf1/Cox7c/Ndufb8/Fdx1/Ndufb2/Atp5l/Acadm/Surf1/Ndufb6/Cox8a/Atp6v1e1/Cox6b1/Ndufa9/Cox6c/Ndufb7/Uqcrq/Atp5j2/Mrpl11/Tomm22/Cox5a/Timm17a/Vdac2/Atp6v1g1/Cox6a1/Ndufc1/Ndufa1/Ndufa7/Atp5j/Mrps12/Atp5k/Atp5c1/Mrpl35/Uqcrh/Cox7a2/Uqcr10/Acaa2/Ech1/Sdhb/Etfb/Atp5h/Ndufb3/Cox4i1/Cyc1/Slc25a20/Idh3b/Ndufa5/Cpt1a/Ndufa8/Gpi1/Atp5e/Mrps30/Ndufa3/Atp6v0e/Atp6v1f/Uqcrb/Atp6v0b/Hsd17b10/Atp6ap1/Ndufs6/Atp5g1/Pdhx/Isca1/Atp5d/Ndufa4/Polr2f/Mrps22/Ndufv1/Cox15/Pdp1/Rhot2/Etfdh/Bax/Atp6v0c/Timm8b/Ndufa6/Ndufs8/Ndufc2/Vdac3/Mrpl15/Ndufa2/Ndufab1"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",139,-0.556240092923203,-1.850140690919,1.14012213700364e-05,8.14372955002602e-05,4.28617344738211e-05,1847,"tags=43%, list=17%, signal=36%","Eef1akmt1/Fah/Wls/Cish/Nrp1/Csf2/Ccnd3/Ecm1/P2rx4/Eno3/Cd44/Huwe1/Dhrs3/Hycc2/Myo1c/Capg/Hipk2/Pou2f1/Bcl2/Maff/Tnfrsf9/Dennd5a/Il4ra/Plpp1/Syngr2/Phtf2/Ctsz/Rora/Nt5e/Ncoa3/Rabgap1l/Lclat1/Ikzf2/Serpinc1/Slc39a8/Rhob/Anxa4/Ndrg1/S100a1/Cyfip1/Irf6/Ikzf4/Myo1e/Ahr/Itgav/Socs2/Il1r2/Amacr/Bmpr2/Car2/Spp1/Lif/Prnp/Tiam1/Swap70/Tnfrsf21/Itgae/Igf1r/Cd81/Tgm2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",70,-0.6424485700906,-1.95236932801219,1.30780846131079e-05,8.17380288319242e-05,4.3020015174697e-05,896,"tags=43%, list=8%, signal=39%","Gadd45a/Prss2/Try5/Nt5e/Jun/Plod3/Rhob/Plod1/Serpine1/Itgav/Vegfa/Spp1/Tnfrsf12a/Cald1/Cxcl2/Tgm2/Dst/Igfbp4/Mmp14/Basp1/Lrp1/Cxcl1/Thbs1/Igfbp3/Fn1/Edil3/Itga5/Dab2/Cadm1/Anpep"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",44,-0.669829074671694,-1.90160266684782,0.00011229979640448,0.000623887757802667,0.000328361977790877,456,"tags=23%, list=4%, signal=22%","Tgfbr1/Serpine1/Bmpr2/Id3/Rab31/Ifngr2/Bcar3/Thbs1/Eng/Id1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",91,-0.569130567941653,-1.80440807257067,0.000233171483276459,0.0011658574163823,0.000613609166516998,1279,"tags=29%, list=12%, signal=25%","Nr3c1/Cdon/Mt1/Dusp1/Map2k5/Ica1/Prkar2b/Runx1/Abcc1/Inpp4b/Ldlr/Pparg/Vav2/Anxa4/Nfkb1/Bckdhb/Tfpi/Serpine1/Rnd3/Acvr2a/Rbpms/Igf1r/F3/Apbb2/Dab2/Id1"
