"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000313","CC","GO:0000313","organellar ribosome",92,0.625520149814432,2.57832772577752,1e-10,1.16178571428571e-08,8.07518796992481e-09,2680,"tags=70%, list=25%, signal=52%","Mrpl53/Mrpl49/Mrpl50/Mrpl27/Mrpl43/Mrpl35/Mrpl30/Mrps10/Mrps18a/Mrps35/Mrps12/Mrpl22/Mrpl20/Mrpl55/Mrps22/Mrpl51/Mrpl40/Mrps24/Mrps17/Mrpl12/Mrpl21/Mrps34/Mrps21/Mrpl2/Mrps25/Mrpl15/Mrpl39/Mrpl38/Mrpl14/Mrpl34/Mrpl11/Mrps7/Mrpl58/Mrps5/Mrps18c/Mtg2/Mrpl17/Mrpl19/Mrpl18/Mrps11/Mrpl42/Ndufa7/Mrps14/Mrps33/Mpv17l2/Mrpl28/Chchd1/Mrpl9/Dap3/Mrpl46/Mrps15/Ndufab1/Mrpl16/Mrps23/Mrpl57/Mrpl36/Mterf4/Mrps31/Mrpl4/Gadd45gip1/Mrps16/Mrpl33/Aurkaip1/Mrps26"
"GO:0005761","CC","GO:0005761","mitochondrial ribosome",92,0.625520149814432,2.57832772577752,1e-10,1.16178571428571e-08,8.07518796992481e-09,2680,"tags=70%, list=25%, signal=52%","Mrpl53/Mrpl49/Mrpl50/Mrpl27/Mrpl43/Mrpl35/Mrpl30/Mrps10/Mrps18a/Mrps35/Mrps12/Mrpl22/Mrpl20/Mrpl55/Mrps22/Mrpl51/Mrpl40/Mrps24/Mrps17/Mrpl12/Mrpl21/Mrps34/Mrps21/Mrpl2/Mrps25/Mrpl15/Mrpl39/Mrpl38/Mrpl14/Mrpl34/Mrpl11/Mrps7/Mrpl58/Mrps5/Mrps18c/Mtg2/Mrpl17/Mrpl19/Mrpl18/Mrps11/Mrpl42/Ndufa7/Mrps14/Mrps33/Mpv17l2/Mrpl28/Chchd1/Mrpl9/Dap3/Mrpl46/Mrps15/Ndufab1/Mrpl16/Mrps23/Mrpl57/Mrpl36/Mterf4/Mrps31/Mrpl4/Gadd45gip1/Mrps16/Mrpl33/Aurkaip1/Mrps26"
"GO:0009897","CC","GO:0009897","external side of plasma membrane",142,-0.689382045174566,-2.48247551847154,1e-10,1.16178571428571e-08,8.07518796992481e-09,799,"tags=36%, list=8%, signal=34%","P2rx7/Abcg2/Cd55/Pecam1/Tnfrsf9/Mfge8/Ly75/Fcer1g/Cd244a/Rtn4rl1/Nt5e/Enox2/Ccr9/Tcn2/Il6st/Insr/Tnfrsf11a/Il7r/Trf/Ighm/Tnfrsf23/Cd4/Il13ra1/Itgae/Itgav/Csf2ra/Cd80/Ldlr/Il6ra/Apoe/Fcgr3/Cd9/Cd74/H2-Ab1/H2-Eb1/Fcgrt/Anxa1/Lrp1/Eng/Itgam/Cd24a/Ctsl/Krt18/H2-Aa/Thbs1/Ccr1/Anpep/Itga5/Cd14/Abca1/Tlr4"
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex",266,0.500543719522235,2.39236054089305,1e-10,1.16178571428571e-08,8.07518796992481e-09,3315,"tags=64%, list=31%, signal=45%","Mrpl53/Mrpl49/Tomm22/Mrpl50/Mrpl27/Timm17a/Grpel1/Mrpl43/Mrpl35/Mrpl30/Phb/Mrps10/Pmpcb/Mrps18a/Mtx1/Tomm5/Mrps35/Mrps12/Mrpl22/Timm10/Mrpl20/Mrpl55/Mrps22/Mrpl51/Mrpl40/Mrps24/Mrps17/Mrpl12/Mrpl21/Ndufb4/Mrps34/Uqcrb/Dbt/Mrps21/Idh3a/Mrpl2/Mrps25/Ndufb2/Romo1/Mrpl15/Mrpl39/Mrpl38/Hsd17b10/Ndufb8/Ndufa11/Mrpl14/Ndufb6/Ndufc1/Mrpl34/Mrpl11/Dnajc11/Mrps7/Atp5md/Mrpl58/Grpel2/Ndufa13/Ndufa4/Sdhb/Samm50/Ndufb10/Mrps5/Ndufa8/Ndufs8/Ndufb9/Ndufv1/Atp5j/Mrps18c/Mrpl17/Mrpl19/Trmt10c/Ndufb3/Mrpl18/Ndufs5/Slc25a4/Mrps11/Mrpl42/Ndufb5/Ndufa7/Trmt10b/Mrps14/Mrps33/Sdhd/Mpv17l2/Mrpl28/Cyc1/Atp5k/Suclg1/Timm13/Timm8a1/Chchd1/Mrpl9/Dap3/Pam16/Atp5j2/Ndufa12/Mtx2/Atp5pb/Mrpl46/Mrps15/Ndufab1/Ndufa5/Micos13/Mrpl16/Ndufs2/Dnajc15/Cox5b/Mrps23/Atp5g1/Atp5o/Etfb/Ndufa3/Mrpl57/Mrpl36/Tomm6/Mrps36/Uqcr11/Atp5c1/Tomm40/Idh3b/Cox6a1/Mterf4/Mrps31/Ndufs6/Tomm20/Ndufv2/Mrpl4/Ndufb7/Uqcrfs1/Gadd45gip1/Cox7b/Mrps16/Cox6b1/Mrpl33/Phb2/Aurkaip1/Atp5g3/Dnajc19/Smdt1/Mrps26/Timm23/Cox5a/Timm10b/Mcub/Uqcc3/Uqcrc1/Cox7a2/Tomm7/Mtx3/Ndufv3/Vdac1/Ndufs7/Mrps2/Uqcr10/Ndufs3/Mrpl32/Micos10/Ndufc2/Mrpl47/Foxred1/Mrpl52/Atp5h/Mrps30/Uqcrq/Tomm40l/Pam16l/Mrpl13/Ndufa6/Ndufa10/Bax/Ndufa2"
"GO:0098552","CC","GO:0098552","side of membrane",271,-0.605936488518409,-2.33837303136668,1e-10,1.16178571428571e-08,8.07518796992481e-09,919,"tags=26%, list=9%, signal=24%","Spa17/Rgs2/Traf3/Ptk2/P2rx7/Snx18/Gm2a/Abcg2/Cd55/Pecam1/Tnfrsf9/Cyth1/Mfge8/Ly75/Plekha4/Fcer1g/Cd244a/Rtn4rl1/Pkd2/Pkp4/Nt5e/Enox2/Gnaq/Ccr9/Tcn2/Il6st/Insr/Tnfrsf11a/Il7r/Trf/Ighm/Tnfrsf23/Cd4/Il13ra1/Itgae/Itgav/Csf2ra/Cd80/Tiam1/Ldlr/Il6ra/Apoe/Fcgr3/Lyn/Dst/Cd9/Cd74/H2-Ab1/H2-Eb1/Fcgrt/Anxa1/Lrp1/Mtss1/Eng/Itgam/Cd24a/Ctsl/Mcf2l/Krt18/H2-Aa/Syk/Thbs1/Epm2a/Ccr1/Anpep/Fer/Itga5/Cd14/Abca1/Tlr4"
"GO:0050900","BP","GO:0050900","leukocyte migration",173,-0.626875480538775,-2.31135989872383,1e-10,1.16178571428571e-08,8.07518796992481e-09,495,"tags=20%, list=5%, signal=20%","Nod2/Ripor2/Spp1/Ext1/Cd81/Ecm1/Cxcl1/Tirap/Swap70/Mmp14/Lgmn/Vegfa/Fcgr3/Lyn/Cd9/Cd74/Pla2g7/Anxa1/Itgam/App/Cd24a/S100a9/S100a8/Cxcl16/Serpine1/Syk/Thbs1/Ccr1/Il1a/F11r/Cxcl2/Fer/Cadm1/Il1b/Eps8"
"GO:0042060","BP","GO:0042060","wound healing",164,-0.625846885890475,-2.2980008408122,1e-10,1.16178571428571e-08,8.07518796992481e-09,376,"tags=22%, list=4%, signal=22%","Papss2/Ext1/Plaur/Serpinc1/Plau/Tfpi/Timp1/Il6ra/Vegfa/Hmox1/Apoe/Lyn/Cask/Dst/Cd9/Cd151/Tnfrsf12a/Pparg/Anxa1/Eng/Procr/Myof/Emilin2/S100a9/Pla2g4a/Serpine1/Syk/Thbs1/F3/Fn1/Plat/Il1a/F11r/Nrg1/Slc7a11/Tlr4"
"GO:0009986","CC","GO:0009986","cell surface",308,-0.587275017976542,-2.29107008285167,1e-10,1.16178571428571e-08,8.07518796992481e-09,823,"tags=29%, list=8%, signal=27%","Picalm/Abca7/P2rx7/Pkd1l3/Abcg2/Cd55/Cdon/Pecam1/Tnfrsf9/Mfge8/Ly75/Cd46/Fcer1g/Cd244a/Rtn4rl1/H2-DMa/Tgfbr1/Mmp25/Ramp1/Nt5e/Enox2/Nod2/Anxa4/Bmpr2/Scarb1/Ccr9/Tcn2/Il6st/Insr/Adgrg6/Prnp/Tnfrsf11a/Il7r/Acvr2a/Trf/Ighm/Pam/Tyrobp/Sulf2/Tnfrsf23/Cd4/Il13ra1/Itgae/Itgav/Csf2ra/Plaur/Cd80/Wnt5b/Plau/Ldlr/Tfpi/Il6ra/Vegfa/Fcrl1/Apoe/Fcgr3/Cd9/Cd151/Tnfrsf12a/Clu/Cd74/H2-Ab1/H2-Eb1/Dscaml1/Fcgrt/Anxa1/Lrp1/Eng/Itgam/App/Tgfb3/Cd24a/Ctsl/Krt18/H2-Aa/Thbs1/F3/Plat/Ccr1/Il1a/Cd63/Mrc1/Anpep/Itga5/Cd14/Slc7a11/Abca1/Tlr4"
"GO:0006935","BP","GO:0006935","chemotaxis",212,-0.602881695407189,-2.27945034759938,1e-10,1.16178571428571e-08,8.07518796992481e-09,708,"tags=24%, list=7%, signal=23%","Foxp1/Vav3/Fcer1g/Rtn4rl1/Nod2/Bmpr2/Sema4f/Ccr9/Ripor2/Ttc8/Nectin1/Spp1/Ext1/Itgav/Trio/Cxcl1/Tirap/Swap70/Dock4/Lgmn/Sema4c/Vegfa/Fcgr3/Lyn/Hspb1/Nrp2/Cd74/Plxnb2/Pla2g7/Dscaml1/Anxa1/St6gal1/Lrp1/Eng/Itgam/App/Mef2c/S100a9/Apbb2/S100a8/Cxcl16/Serpine1/Syk/Thbs1/Fn1/Stx3/Ccr1/Cxcl2/Fer/Nrg1/Il1b"
"GO:0042330","BP","GO:0042330","taxis",212,-0.602881695407189,-2.27945034759938,1e-10,1.16178571428571e-08,8.07518796992481e-09,708,"tags=24%, list=7%, signal=23%","Foxp1/Vav3/Fcer1g/Rtn4rl1/Nod2/Bmpr2/Sema4f/Ccr9/Ripor2/Ttc8/Nectin1/Spp1/Ext1/Itgav/Trio/Cxcl1/Tirap/Swap70/Dock4/Lgmn/Sema4c/Vegfa/Fcgr3/Lyn/Hspb1/Nrp2/Cd74/Plxnb2/Pla2g7/Dscaml1/Anxa1/St6gal1/Lrp1/Eng/Itgam/App/Mef2c/S100a9/Apbb2/S100a8/Cxcl16/Serpine1/Syk/Thbs1/Fn1/Stx3/Ccr1/Cxcl2/Fer/Nrg1/Il1b"
