"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",136,-0.703485184228178,-3.06781143327633,1e-10,9.68723404255319e-09,7.94624860022396e-09,2335,"tags=73%, list=22%, signal=57%","Lrp8/Ccnf/Tmpo/Kif14/Mcub/Espl1/Cenpu/Hmgb2/Mrps15/Brca1/Rad51ap1/Ncaph/Gins4/Prelid3b/Hjurp/Slc25a15/Fen1/Gins1/Trip13/Cks2/Mcm4/H2az1/Anp32e/Dhfr/Kpna2/Spdl1/Nek2/Dna2/H2ax/Kifc1/Dtl/Pcna/Dlgap5/Fanci/Spag5/Mybl2/Mcm2/Neto2/Ncapg/Ebp/Ube2c/Hells/Dtymk/Ttk/Kif20b/Tacc3/Kif4/Gtse1/Kif23/Bub1b/Cdca8/Rpa3/Cdk1/Ccne2/Ccnb2/Mcm10/E2f1/Mki67/Smc2/Gmnn/Kif11/Nusap1/Cenpm/Plk1/Tyms/Fbxo5/Prc1/Melk/Stil/Tpx2/Cep55/Cdca3/Chaf1b/Tk1/Aurkb/Car2/Ccnb1/Hmga1/Pclaf/Cenpf/Hmmr/Bub1/Kif2c/Oip5/Aspm/E2f8/Asf1b/Top2a/Ect2/Birc5/Shcbp1/Ercc6l/Kif20a/Cenpe/Cdc20/Kif18b/Ccna2/Pbk/Rrm2"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",153,-0.682902113706502,-3.01693376760362,1e-10,9.68723404255319e-09,7.94624860022396e-09,2288,"tags=69%, list=22%, signal=55%","Tmpo/Kif14/Mrps17/Cdk2/Snrpc/Blm/Psma7/Espl1/Gtpbp4/Cenpu/Tuba1c/Ncaph/Ncapg2/Troap/Cdkn3/Pimreg/Hjurp/Hmgb3/Fen1/Gins1/Trip13/Cks2/Mcm4/Timeless/Mcm6/H2az1/Psmd12/Kpna2/Ormdl2/Nek2/Dsn1/Kifc1/Dlgap5/Shmt2/Mcm3/Spag5/Lage3/Mybl2/Mcm2/Pfdn6/Rnaseh2a/Ncapg/Ube2c/Pkmyt1/Ttk/Tacc3/Kif4/Rfc4/Rad54b/Gtse1/Bub1b/Txnrd1/Cdca8/Cdk1/Stmn1/Slc7a5/Ddx39a/Ccne2/Cdc45/Ccnb2/Mcm10/Dscc1/E2f1/Mrpl12/Mki67/Mis18a/Cmc2/Kif11/Nusap1/Tuba1a/Cdc25a/Tuba1b/Plk1/Rad51/Fbxo5/Cenpn/Exo1/Prc1/Melk/Stil/Tpx2/Nme1/Cep55/Cdca3/Nudt1/Aurkb/Bysl/Ccnb1/Cenpf/Hmmr/Bub1/Kif2c/Oip5/Aspm/E2f8/Top2a/Ect2/Birc5/Kif20a/Cenpe/Cdc20/Kif18b/Cenpi/Ccna2/Rrm2"
"BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",140,-0.67268250795038,-2.95678015110743,1e-10,9.68723404255319e-09,7.94624860022396e-09,2117,"tags=66%, list=20%, signal=54%","Ska3/Nuf2/Brca1/Diaph3/Cdca7/Ncaph/Ncapg2/Ccdc18/Gins4/Clspn/Troap/Cdkn3/Pimreg/Hjurp/Fen1/Mcm4/Dhfr/Plk4/Suv39h1/Atad5/Mnd1/Nek2/Mcm7/Kifc1/Dtl/Fanci/Phgdh/Spag5/Mybl2/Mcm2/Cdc25c/Prim1/Ube2t/Ncapg/Cdca5/Ube2c/Prr11/Cit/Ska1/Pkmyt1/Ttk/Gins2/Tacc3/Kif4/Bub1b/Cdca8/Castor1/Chtf18/Cdc45/Ccnb2/Anln/Mcm10/E2f1/Spc25/Kif11/Neil3/Nusap1/Cenpm/Cdc25a/Knl1/Plk1/Rad51/Sgo1/Exo1/Prc1/Zfp324/Cep55/Uhrf1/Cdca3/Tk1/Aurkb/Psrc1/Pclaf/Tcf19/Cenpf/Hmmr/Ccdc34/Hilpda/Kif2c/Oip5/E2f8/Asf1b/Top2a/Birc5/Shcbp1/Mfsd13a/Ercc6l/Kif20a/Cenpe/Kif18b/Cenpi/Ccna2/Rrm2"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",266,-0.612212800533799,-2.90352637670454,1e-10,9.68723404255319e-09,7.94624860022396e-09,2591,"tags=66%, list=24%, signal=51%","Zfp367/Cdca7l/Pttg1/L2hgdh/Pola2/Fanca/Rad54l/C1qtnf6/Cenpl/Traip/Dars2/Exosc2/Xbp1/Haus4/Tfap4/Brip1/Kntc1/Tmpo/E2f7/Cdk2/Blm/Espl1/Nasp/Cenpu/Rrm1/Ska3/Brca1/Areg/Cdca7/Ncaph/Ncapg2/Dut/Clspn/Troap/Ttf2/Ncapd3/Pold3/Incenp/Mms22l/Abhd2/Gas2l3/Tff1/Ung/Fen1/Gins1/Rfc3/Bard1/Trip13/Mcm4/Timeless/Mcm6/Pola1/Brca2/Skp2/Slc26a2/Plk4/Suv39h1/Dnmt1/Atad5/Rfc5/Spdl1/Mcm7/Dna2/Dsn1/H2ax/Kifc1/Chaf1a/Dtl/Pcna/Dlgap5/Fanci/Mcm3/Spag5/Ncapd2/Mybl2/Mcm2/Prim1/Ube2t/Pole/Rnaseh2a/Ncapg/Cd320/Ebp/Mcm5/Cdca5/Colgalt1/Ube2c/Prr11/Knstrn/Cit/Slc39a8/Pold2/Hells/Pkmyt1/Zwilch/Ttk/Gins2/Tacc3/Nup107/Kif4/Rfc4/Rad54b/Gtse1/Kif23/Mastl/Bub1b/Rpa3/Cdk1/Stmn1/Slc7a5/Haus8/Ccne2/Arl3/Chtf18/Cdc45/Ccnb2/Anln/Mcm10/Dscc1/Dclre1b/E2f1/Mki67/Mis18a/Lig1/Esco2/Cbx5/Smc2/Gmnn/Kif11/Nusap1/Tfdp1/Fancd2/Cenpm/Mcm8/Knl1/Plk1/Tyms/Pold1/Fignl1/Rad51/Fbxo5/Cenpn/Exo1/Prc1/Melk/Stil/Tpx2/Nme1/Cdca4/Cep55/Uhrf1/Chaf1b/Tk1/Aurkb/Psmc3ip/Pclaf/Tcf19/Bub1/Ccdc34/Kif2c/Slc29a1/Aspm/E2f8/Asf1b/Top2a/Spc24/Birc5/Shcbp1/Iqgap3/Cenpi/Ccna2/Pbk/Rrm2/Deptor/Nos1ap"
"GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP","GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP","GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP",151,-0.65877294606489,-2.90278718731396,1e-10,9.68723404255319e-09,7.94624860022396e-09,1700,"tags=58%, list=16%, signal=49%","Nudt4/Zfp593/Fen1/Gins1/Rfc3/Trip13/Mcm4/Dhfr/Kpna2/Nek2/Eif1ax/H2ax/Dlgap5/Shmt2/Prdx4/Lrrc59/Fanci/Spag5/Nt5dc2/Mcm2/Rnaseh2a/Ncapg/Mcm5/Ube2c/Acot7/Ttk/Gins2/Gspt1/Kif4/Rfc4/Slc25a13/Bub1b/Snrpd1/Rpa3/Cdk1/Stmn1/Slc7a5/Ccne2/Cdc45/Ccnb2/Mcm10/Dscc1/Spc25/Mrps28/Smc2/Gmnn/Kif11/Nusap1/Cenpm/Tyms/Rad51/Fbxo5/Ranbp1/Prc1/Melk/Tpx2/Arhgap19/Cep55/Cks1b/Tk1/Nudt1/Aurkb/Sfxn1/Ccnb1/Pclaf/Abcd3/Cenpf/Hmmr/Bub1/Kif2c/Oip5/Aspm/E2f8/Top2a/Ect2/Birc5/Prkar2b/Hbb-bt/Kif20a/Cdc20/Kif18b/Ccna2/Tubb6/Pbk/Sord/Pdlim1/Rrm2"
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",113,-0.68210749937374,-2.87953168843854,1e-10,9.68723404255319e-09,7.94624860022396e-09,1917,"tags=63%, list=18%, signal=52%","Ift20/Chac2/Cdkn3/Pimreg/Hmgb3/Cenpk/Exosc8/Trip13/Timeless/Kpna2/Rfc5/Nek2/Mcm7/H2ax/Kifc1/Pcna/Dlgap5/Mcm3/Spag5/Mybl2/Mcm2/Eif2s1/Ube2t/Dctpp1/Ube2c/Knstrn/Dtymk/Magohb/Ttk/Nup107/Rfc4/Kif23/Cdca8/Cdk1/Haus8/Paics/Ccnb2/Anln/E2f1/Spc25/Cmc2/Smc2/Kif11/Neil3/Nusap1/Mcm8/Pold1/Fbxo5/Depdc1a/Ranbp1/Cenpn/Exo1/Alyref/Prc1/Melk/Cep55/Uhrf1/Ccnb1/Ckap2/Cenpf/Hmmr/Bub1/Aspm/E2f8/Top2a/Birc5/Kif20a/Cdc20/Lxn/Ccna2/Qser1"
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",151,-0.647411291386495,-2.85272370819853,1e-10,9.68723404255319e-09,7.94624860022396e-09,2319,"tags=70%, list=22%, signal=56%","Kif22/Brip1/Kntc1/Kif14/Blm/Espl1/Cenpu/Ska3/Hmgb2/Nuf2/Brca1/Rad51ap1/Ncaph/Ncapg2/Hmgn2/Troap/Wee1/Cdkn3/Pimreg/Hjurp/Gas2l3/Cenpk/Fgfr2/Gins1/Cks2/Timeless/Brca2/Msh5/Anp32e/Plk4/Kpna2/Mnd1/Nek2/Dsn1/Kifc1/Dtl/Dlgap5/Fanci/Phgdh/Spag5/Ckap2l/Ncapd2/Mybl2/Fam72a/Ube2t/Gem/Cdca5/Ube2c/Prr11/Knstrn/Ska1/Ttk/Sgo2a/Tacc3/Kif4/Gtse1/Kif23/Bub1b/Cdca8/Cdk1/Cdc45/Ccnb2/Anln/Spc25/Mki67/Esco2/Kif11/Nusap1/Fancd2/Cenpm/Plk1/Fbxo5/Sgo1/Depdc1a/Exo1/Hba-a1/Prc1/Melk/Hba-a2/Tpx2/Arhgap19/Cks1b/Cdca3/Tk1/Aurkb/Psrc1/Ccnb1/Ckap2/Cenpf/Hmmr/Bub1/Kif2c/Aspm/E2f8/Top2a/Birc5/Shcbp1/H1f1/Kif20a/Cenpe/Cdc20/Kif18b/Iqgap3/Tubb6/Pbk/Rrm2"
"KONG_E2F3_TARGETS","KONG_E2F3_TARGETS","KONG_E2F3_TARGETS",86,-0.704450302571923,-2.845251757768,1e-10,9.68723404255319e-09,7.94624860022396e-09,2365,"tags=74%, list=22%, signal=58%","Ccne1/Ccnf/Psip1/Nasp/Hmgb2/Nuf2/Brca1/Rad51ap1/Ncaph/Cenph/Ncapg2/Incenp/Hjurp/Cenpk/Fen1/Skp2/Spdl1/Dna2/H2ax/Dlgap5/H4c1/Mcm3/Ncapd2/Prim1/Ube2t/Ncapg/Cdca5/Ube2c/Tacc3/Bub1b/E2f3/Spc25/Mki67/Smc2/Kif11/Nusap1/Plk1/Tyms/Fignl1/Rad51/Depdc1a/Prc1/Melk/Tpx2/H2ac4/Syce2/Cdca3/Chaf1b/Tk1/Ccnb1/Pclaf/Cenpf/Hmmr/Bub1/Kif2c/Asf1b/Top2a/Shcbp1/Ercc6l/Kif20a/Cdc20/Iqgap3/Ccna2/Pbk"
"CROONQUIST_IL6_DEPRIVATION_DN","CROONQUIST_IL6_DEPRIVATION_DN","CROONQUIST_IL6_DEPRIVATION_DN",92,-0.690128946862571,-2.83086080964292,1e-10,9.68723404255319e-09,7.94624860022396e-09,2319,"tags=76%, list=22%, signal=60%","Kif22/Kntc1/Ccnf/Kif14/Nasp/Hmgb2/Brca1/Ncaph/Dut/Wee1/Cdkn3/Spp1/Galk1/Gins1/Rfc3/Trip13/Cks2/Mcm4/Gpx4/Anp32e/Dhfr/Skp2/Plk4/Kpna2/Mcm7/Rrp12/Kifc1/Chaf1a/Pcna/Fanci/Mcm3/Spag5/Mybl2/Mcm2/Ube2c/Snrpa1/Dtymk/Bub1b/Cdk1/Stmn1/Ccne2/Cdc45/Ccnb2/Spc25/Mki67/Lig1/Smc2/Kif11/Cdc25a/Plk1/Tyms/Pold1/Stil/Tpx2/Cks1b/Tk1/Aurkb/Ccnb1/Hmga1/Pclaf/Hmmr/Bub1/Kif2c/Oip5/Top2a/Cenpe/Cdc20/Gale/Ccna2/Rrm2"
"GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN","GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN","GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN",78,-0.70949918668954,-2.8155610644244,1e-10,9.68723404255319e-09,7.94624860022396e-09,2130,"tags=69%, list=20%, signal=56%","Cenpu/Rrm1/Rad51ap1/Hat1/Dut/Cdkn3/Fen1/Gins1/Rfc3/Trip13/Mcm4/Mcm6/Dhfr/Dtl/Pcna/Dlgap5/Vdac3/Mcm2/Rnaseh2a/Ncapg/Mcm5/Gins2/Rfc4/Bub1b/Cdk1/Slc7a5/Ccne2/Cdc45/Ccnb2/Mcm10/Dscc1/Smc2/Gmnn/Kif11/Nusap1/Cenpm/Cdc25a/Tyms/Prc1/Melk/Cep55/Cks1b/Tk1/Pclaf/Bub1/Kif2c/Oip5/Top2a/Birc5/Hbb-bt/Cdc20/Kif18b/Ccna2/Rrm2"
