"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.593640828046146,-2.6931992608893,1e-10,1.66666666666667e-09,1.15789473684211e-09,2393,"tags=60%, list=23%, signal=48%","Nop56/Naa38/Ccne1/Kif22/Psip1/Tmpo/Slbp/Espl1/Nasp/Mxd3/Hmgb2/Brca1/Diaph3/Snrpb/Rad51ap1/Tbrg4/Dut/Gins4/Wee1/Cdkn3/Pold3/Srsf2/Mms22l/Tipin/Smc1a/Hmgb3/Ung/Exosc8/Gins1/Rfc3/Bard1/Trip13/Cks2/Mcm4/Timeless/Mcm6/H2az1/Brca2/Anp32e/Plk4/Kpna2/Suv39h1/Pa2g4/Dnmt1/Ssrp1/Mcm7/Nudt21/H2ax/Pcna/Dlgap5/Prdx4/Mcm3/Spag5/Ncapd2/Mybl2/Mcm2/Eif2s1/Lyar/Ube2t/Pole/Rnaseh2a/Tubb5/Mcm5/Dctpp1/Cit/Pold2/Hells/Cdk4/Ran/Gspt1/Tacc3/Nup107/Kif4/Ak2/Bub1b/Cdca8/Rpa3/Cdk1/Stmn1/Tubg1/Ddx39a/Paics/Ccnb2/Dscc1/Dclre1b/Spc25/Mki67/Lig1/Orc6/Cbx5/Cenpm/Cdc25a/Plk1/Pold1/Depdc1a/Ranbp1/Melk/Nme1/Cks1b/Cdca3/Tk1/Myc/Aurkb/Psmc3ip/Hmga1/Tcf19/Hmmr/Kif2c/Nolc1/E2f8/Asf1b/Top2a/Spc24/Birc5/Nbn/Cenpe/Cdkn1a/Cdc20/Kif18b/Rrm2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",201,-0.562150459406016,-2.54930606511904,1e-10,1.66666666666667e-09,1.15789473684211e-09,3048,"tags=60%, list=29%, signal=44%","Snrpb2/Psma2/Psmd8/Serbp1/Cct5/Kpnb1/Hnrnpa3/Hprt/Cox5a/Usp1/Odc1/Snrpa/Ilf2/Cnbp/Psma6/Ssbp1/Clns1a/Mrpl23/Ptges3/Uba2/Srsf1/Psma1/Mad2l1/Srsf3/Dek/Psmd7/Glo1/Nop56/Psmb2/Ywhae/Psmd1/Phb2/Abce1/Tufm/Cdk2/Psmc4/Psmc6/Erh/Ube2l3/Psma7/Ppm1g/Rrm1/Eif2s2/Prdx3/Eif4h/Cct2/Tcp1/Ddx21/Dut/Pabpc4/Ldha/Srsf2/Eif4e/Eif4a1/Cct4/Pcbp1/Hdac2/Mcm4/C1qbp/Cct7/Mcm6/Rnps1/Pole3/H2az1/U2af1/Lsm2/Hspd1/Kpna2/Pa2g4/Fbl/Mcm7/Pwp1/Eif1ax/Impdh2/Pcna/Ndufab1/Txnl4a/Prdx4/Lsm7/Vdac3/Mcm2/Eif2s1/Hdgf/Vdac1/Cct3/Apex1/Trim28/Mcm5/Rrp9/Psma4/Snrpa1/Snrpd3/Pold2/Set/Cdk4/Ran/Cyc1/Gspt1/Rsl1d1/Rfc4/Ddx18/Phb/Snrpd1/Exosc7/Cdc45/Prpf31/Tfdp1/Nop16/Tyms/Acp1/Ruvbl2/Ranbp1/Mrps18b/Nme1/Myc/Ncbp2/Nhp2/Nolc1/Cdc20/Ccna2/Srm"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,-0.529657459749892,-2.37912106376853,1e-10,1.66666666666667e-09,1.15789473684211e-09,1901,"tags=41%, list=18%, signal=34%","Hmgn2/Troap/Cdkn3/Incenp/Srsf2/Smc1a/Hmgb3/Bard1/Cks2/Mcm6/H2az1/Brca2/Atf5/Plk4/Kpna2/Suv39h1/Nek2/H2ax/Chaf1a/Slc7a1/Cbx1/Dkc1/Mcm3/Mybl2/Mcm2/Pole/Mcm5/Ube2c/Dtymk/Cdk4/Ttk/Gins2/Kif20b/Gspt1/Tacc3/Kif4/Kif23/Kmt5a/Snrpd1/Cdk1/E2f3/Stmn1/Slc7a5/Ddx39a/Cdc45/Ccnb2/E2f1/Mki67/Orc6/Smc2/Kif11/Nusap1/Tfdp1/Cdc25a/Knl1/Plk1/Fbxo5/Exo1/Prc1/Stil/Tpx2/Prmt5/Cks1b/Myc/Aurkb/Hmga1/Cenpf/Hmmr/Bub1/Kif2c/Nolc1/Top2a/Birc5/Cenpe/Cdc20/Ccna2/Pbk/Meis1"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",56,-0.657080787492045,-2.42269080079648,2.56380216201112e-09,3.20475270251391e-08,2.22645977227282e-08,2393,"tags=70%, list=23%, signal=54%","Nop56/Wdr74/Noc4l/Tmem97/Tfb2m/Tbrg4/Rabepk/Ung/Pus1/Mcm4/Ndufaf4/Hspd1/Plk4/Pa2g4/Rrp12/Pes1/Slc19a1/Mcm5/Rrp9/Dctpp1/Nop2/Rcl1/Cdk4/Nip7/Ddx18/Phb/Mrto4/Imp4/Mybbp1a/Grwd1/Nop16/Plk1/Ipo4/Myc/Bysl/Nolc1/Hk2/Sord/Srm"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,0.502800872264913,2.06429020355505,7.04914685786455e-06,7.04914685786455e-05,4.89730202756905e-05,860,"tags=15%, list=8%, signal=14%","G0s2/Plk2/Il1a/Egr3/Abca1/Csf1/Il1b/Serpine1/Cxcl2/Ier3/Ccl5/Sgk1/Cxcl1/Cxcl3/F3/Trip10/Il6st/Dnajb4/Ccl4/Edn1/Klf2/Trib1/Lamb3/Marcks/Egr1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,-0.397838876761233,-1.79193261560964,1.94301367024749e-05,0.000161917805853957,0.000112490265119591,2865,"tags=41%, list=27%, signal=30%","Cox5a/Ndufs6/Ndufc1/Mrpl15/Ndufc2/Ndufs2/Mdh2/Cox7a2/Idh3a/Atp5d/Atp5b/Ndufa8/Tomm22/Atp5j2/Cox6a1/Atp5pb/Mdh1/Ndufv1/Ndufb8/Ndufs3/Sdhd/Uqcr11/Cox10/Slc25a5/Vdac2/Atp6v1g1/Slc25a11/Atp5j/Phb2/Atp5o/Ndufs7/Ndufb6/Acat1/Htra2/Atp5g1/Atp6v0b/Lrpprc/Sdhb/Prdx3/Timm17a/Mrps15/Uqcr10/Ndufa4/Atp5k/Ldha/Fdx1/Suclg1/Mrps11/Polr2f/Mrps12/Timm9/Alas1/Gpx4/Mrpl35/Oat/Cycs/Ndufab1/Cox15/Vdac3/Uqcrb/Atp6v0e/Ndufb2/Timm13/Pdp1/Vdac1/Por/Hspa9/Grpel1/Cyc1/Eci1/Decr1/Etfb/Timm50/Mrpl34/Acadm/Mrpl11/Nqo2/Atp1b1/Mtx2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",183,-0.388979058687463,-1.73501067441578,8.5834019585507e-05,0.000613100139896479,0.000425943255085975,3086,"tags=46%, list=29%, signal=33%","Glrx/Sla/Mthfd2/Tfrc/Stard4/Aurka/Hprt/Egln3/Tpi1/Ssr1/Bhlhe40/Sytl2/Cacybp/Nmt1/Slc2a1/Fads1/Ero1a/Stip1/Hsp90b1/Psmd13/Xbp1/Ccnf/Psmc4/Psmc6/Atp5g1/Tmem97/Hspa5/Eif2s2/Eno1/Ldha/Nfil3/Ddit4/Ufm1/Ung/M6pr/Mcm4/Cct6a/Slc6a6/Acsl3/Dhfr/Psmd12/Slc7a11/Hspd1/Cyp51/Shmt2/Arpc5l/Phgdh/Psmc2/Mcm2/Pdap1/Psmb5/Rpn1/Insig1/Psat1/Ebp/Ifi30/Dhcr24/Rrp9/Psma4/Calr/Plod2/Hspa9/Tomm40/Ppa1/Txnrd1/Psmg1/Hmgcs1/Slc7a5/Tubg1/Ddx39a/Gclc/Cdc25a/Plk1/Pno1/Idi1/Sdf2l1/Eef1e1/Bub1/Fkbp2/Cdkn1a/Hk2/Hmbs/Sord/Rrm2"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",119,0.486278709830513,1.91327779254302,0.000359379464627633,0.00218173146092073,0.00151572922548177,1148,"tags=25%, list=11%, signal=23%","Pla2g7/S100a9/Itgam/Serpine1/Mmp13/Hspa1a/Cxcl2/Cdk5r1/Timp1/Ccl5/Cd46/Cxcl1/Cxcl3/Dusp6/Mmp14/Ctsl/F3/Dock9/Plat/Cd55/Clu/Ctsc/Fn1/Cblb/Fyn/Brpf3/Psen1/Serpinc1/Irf1/Raf1"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",137,-0.397039089752048,-1.69875845330819,0.000392711662965732,0.00218173146092073,0.00151572922548177,3314,"tags=54%, list=31%, signal=38%","Gtf2b/Smad5/Taf10/Pde4b/Trp53/Polh/Gtf2h5/Zwint/Pole4/Rfc2/Ak3/Brf2/Nme3/Umps/Taf12/Srsf6/Taf6/Pold4/Hprt/Gmpr2/Rala/Polr2i/Nt5c3/Pola2/Polr1h/Gtf2h3/Cant1/Tmed2/Polr2e/Rnmt/Polr1c/Gtf2f1/Mpc2/Dut/Ddb1/Stx3/Pom121/Pold3/Rbx1/Polr2f/Fen1/Rfc3/Aprt/Dad1/Pola1/Ercc1/Gpx4/Rfc5/Ssrp1/Nudt21/Impdh2/Pcna/Edf1/Sf3a3/Polr2d/Nelfe/Prim1/Gtf3c5/Tarbp2/Nudt9/Rfc4/Rpa3/Mrpl40/Lig1/Polr2c/Tyms/Pold1/Rad51/Alyref/Nme1/Ncbp2/Polr2h/Ada/Gsdme"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",99,-0.430823131685131,-1.75856930585874,0.000687028203076395,0.00343514101538198,0.00238651902121274,2551,"tags=39%, list=24%, signal=30%","Nfya/Ero1a/Exosc2/Hsp90b1/Xbp1/Nop56/Dctn1/Tspyl2/Vegfa/Exosc1/Khsrp/Hspa5/Shc1/Eif4g1/Hyou1/Ddit4/Eif4a3/Eif4e/Eif4a1/Spcs3/Yif1a/Nop14/H2ax/Spcs1/Dkc1/Herpud1/Eif2s1/Psat1/Rrp9/Calr/Hspa9/Slc7a5/Pdia6/Cks1b/Banf1/Tubb2a/Atf3/Nhp2/Nolc1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,-0.437674936677607,-1.7391365893186,0.00134279363694708,0.00559497348727948,0.00388703421221522,1501,"tags=27%, list=14%, signal=23%","Ccrl2/Ly6e/Lap3/Isg20/Tdrd7/Plscr1/Ifi30/Eif2ak2/Dhx58/Irf7/Isg15/Parp12/Lgals3bp/Ube2l6/Oas1a/Ifi44/Rtp4/Usp18/Bst2/Mx2/Cxcl10/Batf2"
